Year,Groupes racialisés,Selected sociodemographic characteristics,Value
2021,,,79.0
2021,Total - Canada,Hommes+,81.5
2021,Total - Canada,Femmes+,76.0
2021,Total - Canada,15 à 24 ans,78.0
2021,Total - Canada,25 à 64 ans,80.4
2021,Total - Canada,65 ans et plus,75.0
2021,Total - Canada,Non-immigrants,79.0
2021,Total - Canada,Immigrants,78.0
2021,Total de la population des minorités visibles,"Total, 15 ans et plus",77.0
2021,Total de la population des minorités visibles,Hommes+,79.0
2021,Total de la population des minorités visibles,Femmes+,75.0
2021,Total de la population des minorités visibles,15 à 24 ans,75.0
2021,Total de la population des minorités visibles,25 à 64 ans,78.0
2021,Total de la population des minorités visibles,65 ans et plus,78.0
2021,Total de la population des minorités visibles,Non-immigrants,72.0
2021,Total de la population des minorités visibles,Immigrants,78.0
2021,"Sud-Asiatique
","Total, 15 ans et plus",81.0
2021,"Sud-Asiatique
",Hommes+,83.6
2021,"Sud-Asiatique
",Femmes+,78.0
2021,"Sud-Asiatique
",15 à 24 ans,80.0
2021,"Sud-Asiatique
",25 à 64 ans,80.5
2021,"Sud-Asiatique
",65 ans et plus,85.5
2021,"Sud-Asiatique
",Non-immigrants,71.0
2021,"Sud-Asiatique
",Immigrants,83.2
2021,"Chinois
","Total, 15 ans et plus",76.0
2021,"Chinois
",Hommes+,77.0
2021,"Chinois
",Femmes+,76.0
2021,"Chinois
",15 à 24 ans,76.0
2021,"Chinois
",25 à 64 ans,76.0
2021,"Chinois
",65 ans et plus,78.0
2021,"Chinois
",Non-immigrants,72.0
2021,"Chinois
",Immigrants,77.0
2021,"Noir
","Total, 15 ans et plus",75.0
2021,"Noir
",Hommes+,77.0
2021,"Noir
",Femmes+,74.0
2021,"Noir
",15 à 24 ans,75.0
2021,"Noir
",25 à 64 ans,76.0
2021,"Noir
",65 ans et plus,76.0
2021,"Noir
",Non-immigrants,76.0
2021,"Noir
",Immigrants,74.0
2021,"Philippin
","Total, 15 ans et plus",77.0
2021,"Philippin
",Hommes+,77.0
2021,"Philippin
",Femmes+,76.0
2021,"Philippin
",15 à 24 ans,74.0
2021,"Philippin
",25 à 64 ans,78.0
2021,"Philippin
",65 ans et plus,71.0
2021,"Philippin
",Non-immigrants,74.0
2021,"Philippin
",Immigrants,76.0
2021,"Arabe
","Total, 15 ans et plus",76.0
2021,"Arabe
",Hommes+,80.0
2021,"Arabe
",Femmes+,72.0
2021,"Arabe
",15 à 24 ans,70.0
2021,"Arabe
",25 à 64 ans,78.0
2021,"Arabe
",65 ans et plus,67.0
2021,"Arabe
",Non-immigrants,63.0
2021,"Arabe
",Immigrants,79.0
2021,"Latino-Américain
","Total, 15 ans et plus",78.0
2021,"Latino-Américain
",Hommes+,80.0
2021,"Latino-Américain
",Femmes+,77.0
2021,"Latino-Américain
",15 à 24 ans,74.0
2021,"Latino-Américain
",25 à 64 ans,81.2
2021,"Latino-Américain
",65 ans et plus,65.0
2021,"Latino-Américain
",Non-immigrants,76.0
2021,"Latino-Américain
",Immigrants,78.0
2021,"Asiatique du Sud-Est
","Total, 15 ans et plus",67.0
2021,"Asiatique du Sud-Est
",Hommes+,75.0
2021,"Asiatique du Sud-Est
",Femmes+,63.0
2021,"Asiatique du Sud-Est
",15 à 24 ans,57.0
2021,"Asiatique du Sud-Est
",25 à 64 ans,69.0
2021,"Asiatique du Sud-Est
",65 ans et plus,78.0
2021,"Asiatique du Sud-Est
",Non-immigrants,59.0
2021,"Asiatique du Sud-Est
",Immigrants,66.0
2021,"Pas une minorité visible
","Total, 15 ans et plus",80.0
2021,"Pas une minorité visible
",Hommes+,82.6
2021,"Pas une minorité visible
",Femmes+,77.0
2021,"Pas une minorité visible
",15 à 24 ans,80.8
2021,"Pas une minorité visible
",25 à 64 ans,81.6
2021,"Pas une minorité visible
",65 ans et plus,74.0
2021,"Pas une minorité visible
",Non-immigrants,80.0
2021,"Pas une minorité visible
",Immigrants,79.0
