Year,Géographie,Type de famille économique,Niveau de sécurité alimentaire du ménage,GeoCode,Value
2018,,,,,11.6
2019,,,,,10.8
2020,,,,,11.2
2021,,,,,12.9
2018,Canada,Toutes les personnes,Sécurité alimentaire,,83.2
2018,Canada,Toutes les personnes,Insécurité alimentaire,,16.8
2018,Canada,Toutes les personnes,Insécurité alimentaire marginale,,5.2
2018,Canada,Toutes les personnes,Insécurité alimentaire modérée ou grave,,11.6
2018,Canada,Toutes les personnes,Insécurité alimentaire modérée,,8.0
2018,Canada,Toutes les personnes,Insécurité alimentaire grave,,3.6
2018,Canada,Personnes dans les familles économiques,Sécurité alimentaire,,83.9
2018,Canada,Personnes dans les familles économiques,Insécurité alimentaire,,16.1
2018,Canada,Personnes dans les familles économiques,Insécurité alimentaire marginale,,5.2
2018,Canada,Personnes dans les familles économiques,Insécurité alimentaire modérée ou grave,,10.9
2018,Canada,Personnes dans les familles économiques,Insécurité alimentaire modérée,,7.9
2018,Canada,Personnes dans les familles économiques,Insécurité alimentaire grave,,3.0
2018,Canada,Personnes dans les familles de personnes âgées,Sécurité alimentaire,,92.9
2018,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire,,7.1
2018,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire marginale,,2.7
2018,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée ou grave,,4.5
2018,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée,,3.0
2018,Canada,Personnes dans les familles de personnes âgées,Insécurité alimentaire grave,,1.5
2018,Canada,Personnes dans les couples de personnes âgées,Sécurité alimentaire,,95.1
2018,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire,,4.9
2018,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire marginale,,2.0
2018,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée ou grave,,2.9
2018,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée,,2.1
2018,Canada,Personnes dans les couples de personnes âgées,Insécurité alimentaire grave,,0.8
2018,Canada,Personnes dans les autres familles de personnes âgées,Sécurité alimentaire,,87.4
2018,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire,,12.6
