Year,Severity,Value
2000,,9.3
2001,,9.0
2002,,8.9
2003,,8.8
2004,,8.8
2005,,8.7
2006,,8.7
2007,,8.7
2008,,8.7
2009,,8.7
2010,,8.7
2011,,8.8
2012,,8.8
2013,,9.0
2014,,9.1
2015,,9.3
2016,,9.5
2017,,9.7
2018,,10.0
2019,,10.4
2000,Sévère,0.4
2001,Sévère,0.4
2002,Sévère,0.3
2003,Sévère,0.3
2004,Sévère,0.3
2005,Sévère,0.3
2006,Sévère,0.3
2007,Sévère,0.3
2008,Sévère,0.3
2009,Sévère,0.3
2010,Sévère,0.3
2011,Sévère,0.3
2012,Sévère,0.3
2013,Sévère,0.3
2014,Sévère,0.3
2015,Sévère,0.3
2016,Sévère,0.3
2017,Sévère,0.3
2018,Sévère,0.3
2019,Sévère,0.3
2000,Modéré,2.3
2001,Modéré,2.2
2002,Modéré,2.1
2003,Modéré,2.1
2004,Modéré,2.0
2005,Modéré,2.0
2006,Modéré,2.0
2007,Modéré,2.0
2008,Modéré,2.0
2009,Modéré,2.0
2010,Modéré,2.0
2011,Modéré,2.0
2012,Modéré,2.0
2013,Modéré,2.0
2014,Modéré,2.1
2015,Modéré,2.1
2016,Modéré,2.2
2017,Modéré,2.3
2018,Modéré,2.4
2019,Modéré,2.6
2000,Doux,6.6
2001,Doux,6.5
2002,Doux,6.4
2003,Doux,6.4
2004,Doux,6.4
2005,Doux,6.4
2006,Doux,6.4
2007,Doux,6.4
2008,Doux,6.4
2009,Doux,6.4
2010,Doux,6.5
2011,Doux,6.5
2012,Doux,6.6
2013,Doux,6.7
2014,Doux,6.8
2015,Doux,6.9
2016,Doux,7.0
2017,Doux,7.1
2018,Doux,7.3
2019,Doux,7.5
