Year,Géographie,GeoCode,Value
2015,,,5.29
2015,Terre-Neuve-et-Labrador,10,4.9
2015,Île-du-Prince-Édouard,11,3.03
2015,Nouvelle-Écosse,12,4.46
2015,Nouveau-Brunswick,13,4.82
2015,Québec,24,5.62
2015,Ontario,35,5.01
2015,Manitoba,46,7.47
2015,Saskatchewan,47,6.58
2015,Alberta,48,5.55
2015,Colombie-Britannique,59,3.97
2015,Yukon,60,9.62
2015,Territoires du Nord-Ouest,61,5.26
2015,Nunavut,62,27.46
2016,,,5.28
2016,Terre-Neuve-et-Labrador,10,4.69
2016,Île-du-Prince-Édouard,11,7.27
2016,Nouvelle-Écosse,12,5.69
2016,Nouveau-Brunswick,13,5.69
2016,Québec,24,5.0
2016,Ontario,35,5.29
2016,Manitoba,46,6.61
2016,Saskatchewan,47,7.12
2016,Alberta,48,5.26
2016,Colombie-Britannique,59,4.1
2016,Yukon,60,7.19
2016,Territoires du Nord-Ouest,61,6.94
2016,Nunavut,62,39.47
2017,,,5.24
2017,Terre-Neuve-et-Labrador,10,4.87
2017,Île-du-Prince-Édouard,11,3.05
2017,Nouvelle-Écosse,12,4.43
2017,Nouveau-Brunswick,13,3.36
2017,Québec,24,4.68
2017,Ontario,35,5.35
2017,Manitoba,46,8.23
2017,Saskatchewan,47,7.37
2017,Alberta,48,5.75
2017,Colombie-Britannique,59,3.73
2017,Territoires du Nord-Ouest,61,4.2
2017,Nunavut,62,27.27
2018,,,5.46
2018,Terre-Neuve-et-Labrador,10,5.97
2018,Île-du-Prince-Édouard,11,5.46
2018,Nouvelle-Écosse,12,4.23
2018,Nouveau-Brunswick,13,3.76
2018,Québec,24,4.89
2018,Ontario,35,5.24
2018,Manitoba,46,7.87
2018,Saskatchewan,47,6.75
2018,Alberta,48,6.3
2018,Colombie-Britannique,59,4.64
2018,Territoires du Nord-Ouest,61,8.12
2018,Nunavut,62,65.69
2019,,,5.12
2019,Terre-Neuve-et-Labrador,10,5.57
2019,Île-du-Prince-Édouard,11,3.84
2019,Nouvelle-Écosse,12,6.0
2019,Nouveau-Brunswick,13,5.07
2019,Québec,24,4.84
2019,Ontario,35,5.11
2019,Manitoba,46,6.63
2019,Saskatchewan,47,7.16
2019,Alberta,48,5.18
2019,Colombie-Britannique,59,3.92
2019,Territoires du Nord-Ouest,61,1.58
2019,Nunavut,62,44.16
2020,,,5.15
2020,Terre-Neuve-et-Labrador,10,5.84
2020,Île-du-Prince-Édouard,11,6.19
2020,Nouvelle-Écosse,12,4.69
2020,Nouveau-Brunswick,13,4.98
2020,Québec,24,4.83
2020,Ontario,35,4.75
2020,Manitoba,46,7.27
2020,Saskatchewan,47,8.26
2020,Alberta,48,5.78
2020,Colombie-Britannique,59,4.2
2020,Territoires du Nord-Ouest,61,7.51
2020,Nunavut,62,25.79
