Year,Âge,Sexe,Value
2015,,,4.5
2016,,,4.5
2017,,,4.6
2018,,,4.8
2019,,,4.4
2020,,,4.5
2015,Total infant deaths under 1 year,Hommes,4.8
2015,Total infant deaths under 1 year,Femmes,4.3
2015,Neonatal 0 to 27 days,Les deux sexes,3.5
2015,Neonatal 0 to 27 days,Hommes,3.7
2015,Neonatal 0 to 27 days,Femmes,3.4
2015,Neonatal under 1 day,Les deux sexes,2.5
2015,Neonatal under 1 day,Hommes,2.5
2015,Neonatal under 1 day,Femmes,2.4
2015,Neonatal 1 day,Les deux sexes,0.1
2015,Neonatal 1 day,Hommes,0.1
2015,Neonatal 1 day,Femmes,0.1
2015,Neonatal 2 days,Les deux sexes,0.1
2015,Neonatal 2 days,Hommes,0.1
2015,Neonatal 2 days,Femmes,0.1
2015,Neonatal 3 days,Les deux sexes,0.1
2015,Neonatal 3 days,Hommes,0.1
2015,Neonatal 3 days,Femmes,0.1
2015,Neonatal 4 days,Les deux sexes,0.1
2015,Neonatal 4 days,Hommes,0.1
2015,Neonatal 4 days,Femmes,0.1
2015,Neonatal 5 days,Les deux sexes,0.0
2015,Neonatal 5 days,Hommes,0.1
2015,Neonatal 5 days,Femmes,0.0
2015,Neonatal 6 days,Les deux sexes,0.1
2015,Neonatal 6 days,Hommes,0.1
2015,Neonatal 6 days,Femmes,0.1
2015,Neonatal 7 to 13 days,Les deux sexes,0.2
2015,Neonatal 7 to 13 days,Hommes,0.3
2015,Neonatal 7 to 13 days,Femmes,0.2
2015,Neonatal 14 to 20 days,Les deux sexes,0.1
2015,Neonatal 14 to 20 days,Hommes,0.1
2015,Neonatal 14 to 20 days,Femmes,0.1
2015,Neonatal 21 to 27 days,Les deux sexes,0.1
2015,Neonatal 21 to 27 days,Hommes,0.1
2015,Neonatal 21 to 27 days,Femmes,0.2
2015,Post-neonatal 1 to 11 months,Les deux sexes,1.0
2015,Post-neonatal 1 to 11 months,Hommes,1.1
2015,Post-neonatal 1 to 11 months,Femmes,0.9
2015,Post-neonatal 1 month,Les deux sexes,0.3
2015,Post-neonatal 1 month,Hommes,0.3
2015,Post-neonatal 1 month,Femmes,0.3
2015,Post-neonatal 2 months,Les deux sexes,0.2
2015,Post-neonatal 2 months,Hommes,0.2
2015,Post-neonatal 2 months,Femmes,0.1
2015,Post-neonatal 3 months,Les deux sexes,0.2
2015,Post-neonatal 3 months,Hommes,0.2
2015,Post-neonatal 3 months,Femmes,0.1
2015,Post-neonatal 4 months,Les deux sexes,0.1
2015,Post-neonatal 4 months,Hommes,0.1
2015,Post-neonatal 4 months,Femmes,0.1
2015,Post-neonatal 5 months,Les deux sexes,0.1
2015,Post-neonatal 5 months,Hommes,0.1
2015,Post-neonatal 5 months,Femmes,0.1
2015,Post-neonatal 6 months,Les deux sexes,0.1
2015,Post-neonatal 6 months,Hommes,0.1
2015,Post-neonatal 6 months,Femmes,0.1
2015,Post-neonatal 7 months,Les deux sexes,0.0
2015,Post-neonatal 7 months,Hommes,0.0
2015,Post-neonatal 7 months,Femmes,0.0
2015,Post-neonatal 8 months,Les deux sexes,0.0
2015,Post-neonatal 8 months,Hommes,0.0
2015,Post-neonatal 8 months,Femmes,0.0
2015,Post-neonatal 9 months,Les deux sexes,0.0
2015,Post-neonatal 9 months,Hommes,0.0
2015,Post-neonatal 9 months,Femmes,0.0
2015,Post-neonatal 10 months,Les deux sexes,0.0
2015,Post-neonatal 10 months,Hommes,0.0
2015,Post-neonatal 10 months,Femmes,0.0
2015,Post-neonatal 11 months,Les deux sexes,0.0
2015,Post-neonatal 11 months,Hommes,0.0
2015,Post-neonatal 11 months,Femmes,0.0
2016,Total infant deaths under 1 year,Hommes,4.6
2016,Total infant deaths under 1 year,Femmes,4.4
2016,Neonatal 0 to 27 days,Les deux sexes,3.4
2016,Neonatal 0 to 27 days,Hommes,3.4
2016,Neonatal 0 to 27 days,Femmes,3.3
2016,Neonatal under 1 day,Les deux sexes,2.3
2016,Neonatal under 1 day,Hommes,2.4
2016,Neonatal under 1 day,Femmes,2.3
2016,Neonatal 1 day,Les deux sexes,0.1
2016,Neonatal 1 day,Hommes,0.1
2016,Neonatal 1 day,Femmes,0.1
2016,Neonatal 2 days,Les deux sexes,0.1
2016,Neonatal 2 days,Hommes,0.1
2016,Neonatal 2 days,Femmes,0.1
2016,Neonatal 3 days,Les deux sexes,0.1
2016,Neonatal 3 days,Hommes,0.1
2016,Neonatal 3 days,Femmes,0.1
2016,Neonatal 4 days,Les deux sexes,0.1
2016,Neonatal 4 days,Hommes,0.1
2016,Neonatal 4 days,Femmes,0.1
2016,Neonatal 5 days,Les deux sexes,0.1
2016,Neonatal 5 days,Hommes,0.1
2016,Neonatal 5 days,Femmes,0.1
2016,Neonatal 6 days,Les deux sexes,0.1
2016,Neonatal 6 days,Hommes,0.0
2016,Neonatal 6 days,Femmes,0.1
2016,Neonatal 7 to 13 days,Les deux sexes,0.2
2016,Neonatal 7 to 13 days,Hommes,0.2
2016,Neonatal 7 to 13 days,Femmes,0.3
2016,Neonatal 14 to 20 days,Les deux sexes,0.1
2016,Neonatal 14 to 20 days,Hommes,0.1
2016,Neonatal 14 to 20 days,Femmes,0.1
2016,Neonatal 21 to 27 days,Les deux sexes,0.1
2016,Neonatal 21 to 27 days,Hommes,0.1
2016,Neonatal 21 to 27 days,Femmes,0.1
