Year,Sexe,Value
2010,,9.73
2011,,16.37
2012,,16.35
2013,,16.26
2014,,15.16
2015,,14.03
2016,,14.41
2017,,14.04
2018,,13.57
2019,,13.45
2020,,8.19
2010,Femme,8.32
2011,Femme,14.24
2012,Femme,14.12
2013,Femme,14.25
2014,Femme,13.84
2015,Femme,11.83
2016,Femme,12.19
2017,Femme,11.86
2018,Femme,11.86
2019,Femme,11.63
2020,Femme,6.97
2010,Homme,11.12
2011,Homme,18.47
2012,Homme,18.59
2013,Homme,18.29
2014,Homme,16.44
2015,Homme,16.17
2016,Homme,16.62
2017,Homme,16.2
2018,Homme,15.2
2019,Homme,15.05
2020,Homme,9.25
