Year,Series,Sexe,Value
2010,Lèpre,,0.01
2011,Lèpre,,0.03
2012,Lèpre,,0.03
2013,Lèpre,,0.01
2014,Lèpre,,0.02
2015,Lèpre,,0.03
2016,Lèpre,,0.02
2017,Lèpre,,0.003
2018,Lèpre,,0.03
2019,Lèpre,,0.01
2020,Lèpre,,0.003
2021,Lèpre,,0.02
2010,Lèpre,Homme,0.01
2011,Lèpre,Homme,0.04
2012,Lèpre,Homme,0.04
2013,Lèpre,Homme,0.01
2014,Lèpre,Homme,0.03
2015,Lèpre,Homme,0.03
2016,Lèpre,Homme,0.03
2017,Lèpre,Homme,0.01
2018,Lèpre,Homme,0.05
2019,Lèpre,Homme,0.01
2020,Lèpre,Homme,0.01
2021,Lèpre,Homme,0.02
2010,Lèpre,Femme,0.01
2011,Lèpre,Femme,0.02
2012,Lèpre,Femme,0.01
2013,Lèpre,Femme,0.01
2014,Lèpre,Femme,0.01
2015,Lèpre,Femme,0.02
2016,Lèpre,Femme,0.01
2017,Lèpre,Femme,0.0
2018,Lèpre,Femme,0.01
2019,Lèpre,Femme,0.01
2020,Lèpre,Femme,0.0
2021,Lèpre,Femme,0.01
2010,Rage,,0.0
2011,Rage,,0.0
2012,Rage,,0.003
2013,Rage,,0.0
2014,Rage,,0.0
2015,Rage,,0.0
2016,Rage,,0.0
2017,Rage,,0.0
2018,Rage,,0.0
2019,Rage,,0.003
2020,Rage,,0.0
2021,Rage,,0.0
2010,Rage,Homme,0.0
2011,Rage,Homme,0.0
2012,Rage,Homme,0.01
2013,Rage,Homme,0.0
2014,Rage,Homme,0.0
2015,Rage,Homme,0.0
2016,Rage,Homme,0.0
2017,Rage,Homme,0.0
2018,Rage,Homme,0.0
2019,Rage,Homme,0.01
2020,Rage,Homme,0.0
2021,Rage,Homme,0.0
2010,Rage,Femme,0.0
2011,Rage,Femme,0.0
2012,Rage,Femme,0.0
2013,Rage,Femme,0.0
2014,Rage,Femme,0.0
2015,Rage,Femme,0.0
2016,Rage,Femme,0.0
2017,Rage,Femme,0.0
2018,Rage,Femme,0.0
2019,Rage,Femme,0.0
2020,Rage,Femme,0.0
2021,Rage,Femme,0.0
