Year,Âge au décès,Sexe,Causes of death,Value
2015,Tous les âges,Les deux sexes,Malignant neoplasms,215.0
2015,Tous les âges,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.3
2015,Tous les âges,Les deux sexes,Diabetes mellitus,20.0
2015,Tous les âges,Les deux sexes,Diseases of heart,143.8
2015,Tous les âges,Les deux sexes,Influenza and pneumonia,21.3
2015,Tous les âges,Les deux sexes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Les deux sexes,Chronic lower respiratory diseases,35.1
2015,Tous les âges,Hommes,Malignant neoplasms,227.4
2015,Tous les âges,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.7
2015,Tous les âges,Hommes,Diabetes mellitus,22.2
2015,Tous les âges,Hommes,Diseases of heart,153.6
2015,Tous les âges,Hommes,Influenza and pneumonia,19.2
2015,Tous les âges,Hommes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Hommes,Chronic lower respiratory diseases,35.1
2015,Tous les âges,Femmes,Malignant neoplasms,202.8
2015,Tous les âges,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.9
2015,Tous les âges,Femmes,Diabetes mellitus,17.8
2015,Tous les âges,Femmes,Diseases of heart,134.2
2015,Tous les âges,Femmes,Influenza and pneumonia,23.3
2015,Tous les âges,Femmes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Femmes,Chronic lower respiratory diseases,35.1
2015,1 à 14 ans,Les deux sexes,Malignant neoplasms,2.4
2015,1 à 14 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,1 à 14 ans,Les deux sexes,Diabetes mellitus,0.0
2015,1 à 14 ans,Les deux sexes,Diseases of heart,0.3
2015,1 à 14 ans,Les deux sexes,Influenza and pneumonia,0.3
2015,1 à 14 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 14 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,1 à 14 ans,Hommes,Malignant neoplasms,2.5
2015,1 à 14 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,1 à 14 ans,Hommes,Diabetes mellitus,0.0
2015,1 à 14 ans,Hommes,Diseases of heart,0.3
2015,1 à 14 ans,Hommes,Influenza and pneumonia,0.4
2015,1 à 14 ans,Hommes,Acute bronchitis and bronchiolitis,0.1
2015,1 à 14 ans,Hommes,Chronic lower respiratory diseases,0.1
2015,1 à 14 ans,Femmes,Malignant neoplasms,2.4
2015,1 à 14 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,1 à 14 ans,Femmes,Diabetes mellitus,0.0
2015,1 à 14 ans,Femmes,Diseases of heart,0.2
2015,1 à 14 ans,Femmes,Influenza and pneumonia,0.3
2015,1 à 14 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 14 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,1 à 4 ans,Les deux sexes,Malignant neoplasms,2.1
2015,1 à 4 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,1 à 4 ans,Les deux sexes,Diabetes mellitus,0.0
2015,1 à 4 ans,Les deux sexes,Diseases of heart,0.6
2015,1 à 4 ans,Les deux sexes,Influenza and pneumonia,0.6
2015,1 à 4 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.1
2015,1 à 4 ans,Les deux sexes,Chronic lower respiratory diseases,0.0
2015,1 à 4 ans,Hommes,Malignant neoplasms,2.2
2015,1 à 4 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,1 à 4 ans,Hommes,Diabetes mellitus,0.0
2015,1 à 4 ans,Hommes,Diseases of heart,0.9
2015,1 à 4 ans,Hommes,Influenza and pneumonia,0.6
2015,1 à 4 ans,Hommes,Acute bronchitis and bronchiolitis,0.3
2015,1 à 4 ans,Hommes,Chronic lower respiratory diseases,0.0
2015,1 à 4 ans,Femmes,Malignant neoplasms,2.0
2015,1 à 4 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,1 à 4 ans,Femmes,Diabetes mellitus,0.0
2015,1 à 4 ans,Femmes,Diseases of heart,0.4
2015,1 à 4 ans,Femmes,Influenza and pneumonia,0.5
2015,1 à 4 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 4 ans,Femmes,Chronic lower respiratory diseases,0.0
2015,5 à 9 ans,Les deux sexes,Malignant neoplasms,2.8
2015,5 à 9 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,5 à 9 ans,Les deux sexes,Diabetes mellitus,0.0
2015,5 à 9 ans,Les deux sexes,Diseases of heart,0.1
2015,5 à 9 ans,Les deux sexes,Influenza and pneumonia,0.3
2015,5 à 9 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Les deux sexes,Chronic lower respiratory diseases,0.2
2015,5 à 9 ans,Hommes,Malignant neoplasms,2.9
2015,5 à 9 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,5 à 9 ans,Hommes,Diabetes mellitus,0.0
2015,5 à 9 ans,Hommes,Diseases of heart,0.0
2015,5 à 9 ans,Hommes,Influenza and pneumonia,0.3
2015,5 à 9 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Hommes,Chronic lower respiratory diseases,0.1
2015,5 à 9 ans,Femmes,Malignant neoplasms,2.6
2015,5 à 9 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,5 à 9 ans,Femmes,Diabetes mellitus,0.0
2015,5 à 9 ans,Femmes,Diseases of heart,0.1
2015,5 à 9 ans,Femmes,Influenza and pneumonia,0.3
2015,5 à 9 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,10 à 14 ans,Les deux sexes,Malignant neoplasms,2.4
2015,10 à 14 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,10 à 14 ans,Les deux sexes,Diabetes mellitus,0.1
2015,10 à 14 ans,Les deux sexes,Diseases of heart,0.2
2015,10 à 14 ans,Les deux sexes,Influenza and pneumonia,0.2
2015,10 à 14 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Les deux sexes,Chronic lower respiratory diseases,0.3
2015,10 à 14 ans,Hommes,Malignant neoplasms,2.4
2015,10 à 14 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,10 à 14 ans,Hommes,Diabetes mellitus,0.1
2015,10 à 14 ans,Hommes,Diseases of heart,0.2
2015,10 à 14 ans,Hommes,Influenza and pneumonia,0.2
2015,10 à 14 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Hommes,Chronic lower respiratory diseases,0.3
2015,10 à 14 ans,Femmes,Malignant neoplasms,2.4
2015,10 à 14 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,10 à 14 ans,Femmes,Diabetes mellitus,0.0
2015,10 à 14 ans,Femmes,Diseases of heart,0.1
2015,10 à 14 ans,Femmes,Influenza and pneumonia,0.1
2015,10 à 14 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,15 à 24 ans,Les deux sexes,Malignant neoplasms,3.3
2015,15 à 24 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 à 24 ans,Les deux sexes,Diabetes mellitus,0.2
2015,15 à 24 ans,Les deux sexes,Diseases of heart,0.9
2015,15 à 24 ans,Les deux sexes,Influenza and pneumonia,0.3
2015,15 à 24 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,15 à 24 ans,Hommes,Malignant neoplasms,4.1
2015,15 à 24 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 à 24 ans,Hommes,Diabetes mellitus,0.3
2015,15 à 24 ans,Hommes,Diseases of heart,1.1
2015,15 à 24 ans,Hommes,Influenza and pneumonia,0.5
2015,15 à 24 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Hommes,Chronic lower respiratory diseases,0.1
2015,15 à 24 ans,Femmes,Malignant neoplasms,2.5
2015,15 à 24 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,15 à 24 ans,Femmes,Diabetes mellitus,0.1
2015,15 à 24 ans,Femmes,Diseases of heart,0.8
2015,15 à 24 ans,Femmes,Influenza and pneumonia,0.1
2015,15 à 24 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,15 à 19 ans,Les deux sexes,Malignant neoplasms,2.8
2015,15 à 19 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 à 19 ans,Les deux sexes,Diabetes mellitus,0.1
2015,15 à 19 ans,Les deux sexes,Diseases of heart,0.4
2015,15 à 19 ans,Les deux sexes,Influenza and pneumonia,0.3
2015,15 à 19 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,15 à 19 ans,Hommes,Malignant neoplasms,3.2
2015,15 à 19 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 à 19 ans,Hommes,Diabetes mellitus,0.2
