Year,Âge,Sexe,Cause of death,Value
2015,,,,6.4
2016,,,,5.9
2017,,,,6.2
2018,,,,6.2
2019,,,,5.7
2020,,,,5.1
2021,,,,5.0
2015,Tous les âges,Les deux sexes,Accidents de véhicule à moteur,5.8
2015,Tous les âges,Les deux sexes,Autres accidents de transport terrestre,0.2
2015,Tous les âges,Hommes,Accidents de transport,9.5
2015,Tous les âges,Hommes,Accidents de véhicule à moteur,8.4
2015,Tous les âges,Hommes,Autres accidents de transport terrestre,0.3
2015,Tous les âges,Femmes,Accidents de transport,3.4
2015,Tous les âges,Femmes,Accidents de véhicule à moteur,3.2
2015,Tous les âges,Femmes,Autres accidents de transport terrestre,0.1
2015,Moins d'un an,Les deux sexes,Accidents de transport,1.6
2015,Moins d'un an,Les deux sexes,Accidents de véhicule à moteur,1.6
2015,Moins d'un an,Les deux sexes,Autres accidents de transport terrestre,0.0
2015,Moins d'un an,Hommes,Accidents de transport,1.0
2015,Moins d'un an,Hommes,Accidents de véhicule à moteur,1.0
2015,Moins d'un an,Hommes,Autres accidents de transport terrestre,0.0
2015,Moins d'un an,Femmes,Accidents de transport,2.1
2015,Moins d'un an,Femmes,Accidents de véhicule à moteur,2.1
2015,Moins d'un an,Femmes,Autres accidents de transport terrestre,0.0
2015,1 à 4 ans,Les deux sexes,Accidents de transport,1.6
2015,1 à 4 ans,Les deux sexes,Accidents de véhicule à moteur,1.6
2015,1 à 4 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,1 à 4 ans,Hommes,Accidents de transport,1.8
2015,1 à 4 ans,Hommes,Accidents de véhicule à moteur,1.8
2015,1 à 4 ans,Hommes,Autres accidents de transport terrestre,0.0
2015,1 à 4 ans,Femmes,Accidents de transport,1.5
2015,1 à 4 ans,Femmes,Accidents de véhicule à moteur,1.3
2015,1 à 4 ans,Femmes,Autres accidents de transport terrestre,0.1
2015,5 à 9 ans,Les deux sexes,Accidents de transport,0.9
2015,5 à 9 ans,Les deux sexes,Accidents de véhicule à moteur,0.8
2015,5 à 9 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,5 à 9 ans,Hommes,Accidents de transport,1.5
2015,5 à 9 ans,Hommes,Accidents de véhicule à moteur,1.3
2015,5 à 9 ans,Hommes,Autres accidents de transport terrestre,0.2
2015,5 à 9 ans,Femmes,Accidents de transport,0.3
2015,5 à 9 ans,Femmes,Accidents de véhicule à moteur,0.3
2015,5 à 9 ans,Femmes,Autres accidents de transport terrestre,0.0
2015,10 à 14 ans,Les deux sexes,Accidents de transport,1.1
2015,10 à 14 ans,Les deux sexes,Accidents de véhicule à moteur,1.1
2015,10 à 14 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,10 à 14 ans,Hommes,Accidents de transport,1.0
2015,10 à 14 ans,Hommes,Accidents de véhicule à moteur,1.0
2015,10 à 14 ans,Hommes,Autres accidents de transport terrestre,0.0
2015,10 à 14 ans,Femmes,Accidents de transport,1.2
2015,10 à 14 ans,Femmes,Accidents de véhicule à moteur,1.1
2015,10 à 14 ans,Femmes,Autres accidents de transport terrestre,0.1
2015,15 à 19 ans,Les deux sexes,Accidents de transport,7.3
2015,15 à 19 ans,Les deux sexes,Accidents de véhicule à moteur,7.2
2015,15 à 19 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,15 à 19 ans,Hommes,Accidents de transport,9.8
2015,15 à 19 ans,Hommes,Accidents de véhicule à moteur,9.8
2015,15 à 19 ans,Hommes,Autres accidents de transport terrestre,0.0
2015,15 à 19 ans,Femmes,Accidents de transport,4.6
2015,15 à 19 ans,Femmes,Accidents de véhicule à moteur,4.4
2015,15 à 19 ans,Femmes,Autres accidents de transport terrestre,0.2
2015,20 à 24 ans,Les deux sexes,Accidents de transport,9.7
2015,20 à 24 ans,Les deux sexes,Accidents de véhicule à moteur,8.9
2015,20 à 24 ans,Les deux sexes,Autres accidents de transport terrestre,0.4
2015,20 à 24 ans,Hommes,Accidents de transport,14.3
2015,20 à 24 ans,Hommes,Accidents de véhicule à moteur,13.2
2015,20 à 24 ans,Hommes,Autres accidents de transport terrestre,0.4
2015,20 à 24 ans,Femmes,Accidents de transport,4.8
2015,20 à 24 ans,Femmes,Accidents de véhicule à moteur,4.4
2015,20 à 24 ans,Femmes,Autres accidents de transport terrestre,0.3
2015,25 à 29 ans,Les deux sexes,Accidents de transport,7.7
2015,25 à 29 ans,Les deux sexes,Accidents de véhicule à moteur,7.1
2015,25 à 29 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,25 à 29 ans,Hommes,Accidents de transport,12.4
2015,25 à 29 ans,Hommes,Accidents de véhicule à moteur,11.4
2015,25 à 29 ans,Hommes,Autres accidents de transport terrestre,0.2
2015,25 à 29 ans,Femmes,Accidents de transport,2.9
2015,25 à 29 ans,Femmes,Accidents de véhicule à moteur,2.9
2015,25 à 29 ans,Femmes,Autres accidents de transport terrestre,0.0
2015,30 à 34 ans,Les deux sexes,Accidents de transport,6.0
2015,30 à 34 ans,Les deux sexes,Accidents de véhicule à moteur,5.4
2015,30 à 34 ans,Les deux sexes,Autres accidents de transport terrestre,0.3
2015,30 à 34 ans,Hommes,Accidents de transport,9.6
2015,30 à 34 ans,Hommes,Accidents de véhicule à moteur,8.3
2015,30 à 34 ans,Hommes,Autres accidents de transport terrestre,0.6
2015,30 à 34 ans,Femmes,Accidents de transport,2.6
2015,30 à 34 ans,Femmes,Accidents de véhicule à moteur,2.5
2015,30 à 34 ans,Femmes,Autres accidents de transport terrestre,0.1
2015,35 à 39 ans,Les deux sexes,Accidents de transport,4.4
2015,35 à 39 ans,Les deux sexes,Accidents de véhicule à moteur,4.1
2015,35 à 39 ans,Les deux sexes,Autres accidents de transport terrestre,0.2
2015,35 à 39 ans,Hommes,Accidents de transport,6.5
2015,35 à 39 ans,Hommes,Accidents de véhicule à moteur,5.8
2015,35 à 39 ans,Hommes,Autres accidents de transport terrestre,0.3
2015,35 à 39 ans,Femmes,Accidents de transport,2.3
2015,35 à 39 ans,Femmes,Accidents de véhicule à moteur,2.3
2015,35 à 39 ans,Femmes,Autres accidents de transport terrestre,0.0
2015,40 à 44 ans,Les deux sexes,Accidents de transport,5.9
2015,40 à 44 ans,Les deux sexes,Accidents de véhicule à moteur,5.2
2015,40 à 44 ans,Les deux sexes,Autres accidents de transport terrestre,0.2
2015,40 à 44 ans,Hommes,Accidents de transport,9.2
2015,40 à 44 ans,Hommes,Accidents de véhicule à moteur,8.0
2015,40 à 44 ans,Hommes,Autres accidents de transport terrestre,0.3
2015,40 à 44 ans,Femmes,Accidents de transport,2.6
2015,40 à 44 ans,Femmes,Accidents de véhicule à moteur,2.5
2015,40 à 44 ans,Femmes,Autres accidents de transport terrestre,0.1
2015,45 à 49 ans,Les deux sexes,Accidents de transport,6.4
2015,45 à 49 ans,Les deux sexes,Accidents de véhicule à moteur,5.7
2015,45 à 49 ans,Les deux sexes,Autres accidents de transport terrestre,0.1
2015,45 à 49 ans,Hommes,Accidents de transport,9.2
2015,45 à 49 ans,Hommes,Accidents de véhicule à moteur,7.9
2015,45 à 49 ans,Hommes,Autres accidents de transport terrestre,0.2
2015,45 à 49 ans,Femmes,Accidents de transport,3.6
2015,45 à 49 ans,Femmes,Accidents de véhicule à moteur,3.5
