Year,Géographie,Value
2015,,9.5
2016,,8.5
2017,,7.8
2018,,6.7
2019,,6.2
2020,,5.7
2021,,4.9
2015,Canada,9.5
2015,Terre-Neuve-et-Labrador,11.2
2015,Île-du-Prince-Édouard,10.2
2015,Nouvelle-Écosse,12.9
2015,Nouveau-Brunswick,15.2
2015,Québec,7.2
2015,Ontario,7.2
2015,Manitoba,22.0
2015,Saskatchewan,25.1
2015,Alberta,12.8
2015,Colombie-Britannique,6.2
2015,Yukon,10.0
2015,Territoires du Nord-Ouest,32.1
2015,Nunavut,107.0
2016,Canada,8.5
2016,Terre-Neuve-et-Labrador,12.7
2016,Île-du-Prince-Édouard,8.0
2016,Nouvelle-Écosse,11.4
2016,Nouveau-Brunswick,12.1
2016,Québec,6.6
2016,Ontario,6.3
2016,Manitoba,20.6
2016,Saskatchewan,23.7
2016,Alberta,11.0
2016,Colombie-Britannique,5.3
2016,Yukon,7.0
2016,Territoires du Nord-Ouest,24.6
2016,Nunavut,105.9
2017,Canada,7.8
2017,Terre-Neuve-et-Labrador,11.1
2017,Île-du-Prince-Édouard,8.9
2017,Nouvelle-Écosse,11.3
2017,Nouveau-Brunswick,12.5
2017,Québec,6.2
2017,Ontario,5.8
2017,Manitoba,18.6
2017,Saskatchewan,20.8
2017,Alberta,9.9
2017,Colombie-Britannique,4.7
2017,Territoires du Nord-Ouest,32.6
2017,Nunavut,98.4
2018,Canada,6.7
2018,Terre-Neuve-et-Labrador,10.0
2018,Île-du-Prince-Édouard,6.8
2018,Nouvelle-Écosse,8.4
2018,Nouveau-Brunswick,10.7
2018,Québec,5.6
2018,Ontario,4.8
2018,Manitoba,17.6
2018,Saskatchewan,19.9
2018,Alberta,8.2
2018,Colombie-Britannique,3.7
2018,Territoires du Nord-Ouest,29.0
2018,Nunavut,101.2
2019,Canada,6.2
2019,Terre-Neuve-et-Labrador,8.6
2019,Île-du-Prince-Édouard,6.2
2019,Nouvelle-Écosse,9.3
2019,Nouveau-Brunswick,10.0
2019,Québec,5.5
2019,Ontario,4.4
2019,Manitoba,16.0
2019,Saskatchewan,18.2
2019,Alberta,6.9
2019,Colombie-Britannique,3.7
2019,Territoires du Nord-Ouest,23.7
2019,Nunavut,96.1
2020,Canada,5.7
2020,Terre-Neuve-et-Labrador,6.5
2020,Île-du-Prince-Édouard,5.9
2020,Nouvelle-Écosse,7.4
2020,Nouveau-Brunswick,8.6
2020,Québec,5.2
2020,Ontario,3.8
2020,Manitoba,15.1
2020,Saskatchewan,16.7
2020,Alberta,6.6
2020,Colombie-Britannique,3.5
2020,Territoires du Nord-Ouest,18.5
2020,Nunavut,104.2
2021,Canada,4.9
2021,Terre-Neuve-et-Labrador,7.0
2021,Île-du-Prince-Édouard,4.4
2021,Nouvelle-Écosse,5.8
2021,Nouveau-Brunswick,7.8
2021,Québec,4.7
2021,Ontario,3.2
2021,Manitoba,10.2
2021,Saskatchewan,16.4
2021,Alberta,5.9
2021,Colombie-Britannique,3.0
2021,Territoires du Nord-Ouest,13.0
2021,Nunavut,74.4
