Year,Sexe,Groupe d’âge,Produits du tabac,Value
2015,Les deux sexes,15-19 years-old,Tout produit du tabac,13.1
2017,Les deux sexes,15-19 years-old,Tout produit du tabac,9.2
2019,Les deux sexes,15-19 years-old,Tout produit du tabac,7.4
2019,Homme,15-19 years-old,Tout produit du tabac,9.1
2019,Femme,15-19 years-old,Tout produit du tabac,5.0
2020,Les deux sexes,15-19 years-old,Tout produit du tabac,6.0
2020,Homme,15-19 years-old,Tout produit du tabac,7.3
2015,Les deux sexes,15-19 years-old,Cigarettes,9.8
2017,Les deux sexes,15-19 years-old,Cigarettes,6.6
2019,Les deux sexes,15-19 years-old,Cigarettes,5.1
2019,Homme,15-19 years-old,Cigarettes,6.0
2020,Les deux sexes,15-19 years-old,Cigarettes,3.1
2015,Les deux sexes,15-19 years-old,Cigares,1.3
2017,Les deux sexes,15-19 years-old,Cigares,1.0
2015,Les deux sexes,15-19 years-old,Cigarettes électroniques,6.3
2017,Les deux sexes,15-19 years-old,Cigarettes électroniques,6.3
2015,Les deux sexes,15-19 years-old,Petits cigares ou cigarillos,3.0
2017,Les deux sexes,15-19 years-old,Petits cigares ou cigarillos,2.2
2015,Les deux sexes,15-19 years-old,Tabac sans fumée,0.9
2017,Les deux sexes,15-19 years-old,Tabac sans fumée,1.6
2019,Les deux sexes,15-19 years-old,Vapotage,15.1
2019,Homme,15-19 years-old,Vapotage,16.1
2019,Femme,15-19 years-old,Vapotage,13.6
2020,Les deux sexes,15-19 years-old,Vapotage,14.4
2020,Homme,15-19 years-old,Vapotage,14.7
2020,Femme,15-19 years-old,Vapotage,13.9
2015,Les deux sexes,15-19 years-old,Pipe à eau avec du tabac,1.7
2017,Les deux sexes,15-19 years-old,Pipe à eau avec du tabac,1.5
2015,Les deux sexes,20-24 years-old,Tout produit du tabac,23.8
2017,Les deux sexes,20-24 years-old,Tout produit du tabac,20.6
2019,Les deux sexes,20-24 years-old,Tout produit du tabac,18.3
2019,Homme,20-24 years-old,Tout produit du tabac,21.6
2019,Femme,20-24 years-old,Tout produit du tabac,14.2
2020,Les deux sexes,20-24 years-old,Tout produit du tabac,12.5
2020,Homme,20-24 years-old,Tout produit du tabac,17.8
2020,Femme,20-24 years-old,Tout produit du tabac,6.8
2015,Les deux sexes,20-24 years-old,Cigarettes,18.9
2017,Les deux sexes,20-24 years-old,Cigarettes,15.6
2019,Les deux sexes,20-24 years-old,Cigarettes,13.3
2019,Homme,20-24 years-old,Cigarettes,15.3
2019,Femme,20-24 years-old,Cigarettes,10.6
2020,Les deux sexes,20-24 years-old,Cigarettes,8.4
2020,Homme,20-24 years-old,Cigarettes,12.3
2020,Femme,20-24 years-old,Cigarettes,4.3
2015,Les deux sexes,20-24 years-old,Cigares,2.3
2017,Les deux sexes,20-24 years-old,Cigares,2.1
2015,Les deux sexes,20-24 years-old,Cigarettes électroniques,6.3
2017,Les deux sexes,20-24 years-old,Cigarettes électroniques,6.0
2015,Les deux sexes,20-24 years-old,Petits cigares ou cigarillos,5.7
2017,Les deux sexes,20-24 years-old,Petits cigares ou cigarillos,3.7
2019,Les deux sexes,20-24 years-old,Petits cigares ou cigarillos,3.9
2020,Les deux sexes,20-24 years-old,Petits cigares ou cigarillos,2.8
2015,Les deux sexes,20-24 years-old,Pipe,1.5
2015,Les deux sexes,20-24 years-old,Tabac sans fumée,1.8
2017,Les deux sexes,20-24 years-old,Tabac sans fumée,1.4
2019,Les deux sexes,20-24 years-old,Vapotage,15.2
2019,Homme,20-24 years-old,Vapotage,18.0
2019,Femme,20-24 years-old,Vapotage,11.8
2020,Les deux sexes,20-24 years-old,Vapotage,13.0
2020,Homme,20-24 years-old,Vapotage,15.7
2020,Femme,20-24 years-old,Vapotage,10.2
2015,Les deux sexes,20-24 years-old,Pipe à eau avec du tabac,2.7
2017,Les deux sexes,20-24 years-old,Pipe à eau avec du tabac,3.1
2015,Les deux sexes,25+ years-old,Tout produit du tabac,14.9
2017,Les deux sexes,25+ years-old,Tout produit du tabac,18.2
2019,Les deux sexes,25+ years-old,Tout produit du tabac,14.4
2019,Homme,25+ years-old,Tout produit du tabac,16.3
2019,Femme,25+ years-old,Tout produit du tabac,12.5
2020,Les deux sexes,25+ years-old,Tout produit du tabac,12.5
2020,Homme,25+ years-old,Tout produit du tabac,15.1
2020,Femme,25+ years-old,Tout produit du tabac,10.0
2015,Les deux sexes,25+ years-old,Cigarettes,12.9
2017,Les deux sexes,25+ years-old,Cigarettes,16.0
2019,Les deux sexes,25+ years-old,Cigarettes,12.5
2019,Homme,25+ years-old,Cigarettes,13.2
2019,Femme,25+ years-old,Cigarettes,11.8
2020,Les deux sexes,25+ years-old,Cigarettes,11.0
2020,Homme,25+ years-old,Cigarettes,12.7
2020,Femme,25+ years-old,Cigarettes,9.4
2015,Les deux sexes,25+ years-old,Cigares,1.1
2017,Les deux sexes,25+ years-old,Cigares,0.6
2019,Les deux sexes,25+ years-old,Cigares,1.3
2019,Homme,25+ years-old,Cigares,2.3
2020,Les deux sexes,25+ years-old,Cigares,1.1
2020,Homme,25+ years-old,Cigares,1.9
2015,Les deux sexes,25+ years-old,Cigarettes électroniques,2.6
2017,Les deux sexes,25+ years-old,Cigarettes électroniques,2.3
2015,Les deux sexes,25+ years-old,Petits cigares ou cigarillos,1.3
2017,Les deux sexes,25+ years-old,Petits cigares ou cigarillos,1.1
2019,Les deux sexes,25+ years-old,Petits cigares ou cigarillos,1.7
2019,Homme,25+ years-old,Petits cigares ou cigarillos,2.6
2019,Femme,25+ years-old,Petits cigares ou cigarillos,0.8
2020,Les deux sexes,25+ years-old,Petits cigares ou cigarillos,1.6
2020,Homme,25+ years-old,Petits cigares ou cigarillos,2.6
2015,Les deux sexes,25+ years-old,Pipe,0.4
2015,Les deux sexes,25+ years-old,Tabac sans fumée,0.2
2019,Les deux sexes,25+ years-old,Vapotage,2.9
2019,Homme,25+ years-old,Vapotage,3.8
2019,Femme,25+ years-old,Vapotage,2.1
2020,Les deux sexes,25+ years-old,Vapotage,3.2
2020,Homme,25+ years-old,Vapotage,4.1
2020,Femme,25+ years-old,Vapotage,2.3
2015,Les deux sexes,25-44 years-old,Tout produit du tabac,17.8
2017,Les deux sexes,25-44 years-old,Tout produit du tabac,22.4
2019,Les deux sexes,25-44 years-old,Tout produit du tabac,16.0
2019,Homme,25-44 years-old,Tout produit du tabac,18.2
2019,Femme,25-44 years-old,Tout produit du tabac,13.8
2020,Les deux sexes,25-44 years-old,Tout produit du tabac,12.4
2020,Homme,25-44 years-old,Tout produit du tabac,15.6
2020,Femme,25-44 years-old,Tout produit du tabac,9.1
2015,Les deux sexes,25-44 years-old,Cigarettes,15.3
2017,Les deux sexes,25-44 years-old,Cigarettes,18.7
2019,Les deux sexes,25-44 years-old,Cigarettes,13.2
2019,Homme,25-44 years-old,Cigarettes,13.7
2019,Femme,25-44 years-old,Cigarettes,12.8
2020,Les deux sexes,25-44 years-old,Cigarettes,10.5
2020,Homme,25-44 years-old,Cigarettes,12.5
2020,Femme,25-44 years-old,Cigarettes,8.5
2015,Les deux sexes,25-44 years-old,Cigares,1.1
2015,Les deux sexes,25-44 years-old,Cigarettes électroniques,3.4
2017,Les deux sexes,25-44 years-old,Cigarettes électroniques,3.2
2015,Les deux sexes,25-44 years-old,Petits cigares ou cigarillos,1.7
2017,Les deux sexes,25-44 years-old,Petits cigares ou cigarillos,1.9
2019,Les deux sexes,25-44 years-old,Petits cigares ou cigarillos,1.7
2020,Les deux sexes,25-44 years-old,Petits cigares ou cigarillos,2.0
2019,Les deux sexes,25-44 years-old,Vapotage,5.0
2019,Homme,25-44 years-old,Vapotage,6.7
2019,Femme,25-44 years-old,Vapotage,3.3
2020,Les deux sexes,25-44 years-old,Vapotage,5.1
2020,Homme,25-44 years-old,Vapotage,7.0
2015,Les deux sexes,45+ years-old,Tout produit du tabac,13.0
2017,Les deux sexes,45+ years-old,Tout produit du tabac,15.6
2019,Les deux sexes,45+ years-old,Tout produit du tabac,13.4
2019,Homme,45+ years-old,Tout produit du tabac,15.1
2019,Femme,45+ years-old,Tout produit du tabac,11.8
2020,Les deux sexes,45+ years-old,Tout produit du tabac,12.6
2020,Homme,45+ years-old,Tout produit du tabac,14.8
2020,Femme,45+ years-old,Tout produit du tabac,10.6
2015,Les deux sexes,45+ years-old,Cigarettes,11.4
2017,Les deux sexes,45+ years-old,Cigarettes,14.2
2019,Les deux sexes,45+ years-old,Cigarettes,12.0
2019,Homme,45+ years-old,Cigarettes,12.9
2019,Femme,45+ years-old,Cigarettes,11.3
2020,Les deux sexes,45+ years-old,Cigarettes,11.4
2020,Homme,45+ years-old,Cigarettes,12.8
2020,Femme,45+ years-old,Cigarettes,10.0
2015,Les deux sexes,45+ years-old,Cigares,1.0
2019,Les deux sexes,45+ years-old,Cigares,0.9
2019,Homme,45+ years-old,Cigares,1.5
2020,Les deux sexes,45+ years-old,Cigares,0.7
2015,Les deux sexes,45+ years-old,Cigarettes électroniques,2.1
2017,Les deux sexes,45+ years-old,Cigarettes électroniques,1.7
2015,Les deux sexes,45+ years-old,Petits cigares ou cigarillos,1.0
2017,Les deux sexes,45+ years-old,Petits cigares ou cigarillos,0.6
2019,Les deux sexes,45+ years-old,Petits cigares ou cigarillos,1.6
2019,Homme,45+ years-old,Petits cigares ou cigarillos,2.6
2020,Les deux sexes,45+ years-old,Petits cigares ou cigarillos,1.3
2020,Homme,45+ years-old,Petits cigares ou cigarillos,2.2
2019,Les deux sexes,45+ years-old,Vapotage,1.6
2019,Homme,45+ years-old,Vapotage,1.9
2019,Femme,45+ years-old,Vapotage,1.3
2020,Les deux sexes,45+ years-old,Vapotage,2.0
2020,Homme,45+ years-old,Vapotage,2.1
2020,Femme,45+ years-old,Vapotage,1.8
2015,Femme,Tous les groupes d’âge,Tout produit du tabac,11.6
2015,Homme,Tous les groupes d’âge,Tout produit du tabac,19.5
2017,Femme,Tous les groupes d’âge,Tout produit du tabac,14.4
2017,Homme,Tous les groupes d’âge,Tout produit du tabac,21.2
2019,Homme,Tous les groupes d’âge,Tout produit du tabac,15.9
2019,Femme,Tous les groupes d’âge,Tout produit du tabac,12.0
