Year,"Type d'aide
",Value
2012,Santé de base,383.472
2013,Santé de base,457.793
2014,Santé de base,343.104
2015,Santé de base,291.535
2016,Santé de base,324.04
2017,Santé de base,324.412
2018,Santé de base,289.851
2019,Santé de base,221.434
2020,Santé de base,293.247
2021,Santé de base,1030.238
2012,"Recherche médicale
",37.88
2013,"Recherche médicale
",43.977
2014,"Recherche médicale
",44.892
2015,"Recherche médicale
",33.069
2016,"Recherche médicale
",25.909
2017,"Recherche médicale
",5.802
2018,"Recherche médicale
",7.867
2019,"Recherche médicale
",6.501
2020,"Recherche médicale
",6.258
2021,"Recherche médicale
",4.438
2012,,421.352
2013,,501.77
2014,,387.996
2015,,324.604
2016,,349.949
2017,,330.214
2018,,297.718
2019,,227.935
2020,,299.505
2021,,1034.676
