Year,Géographie,Type of provider,Value
2015,Alberta,Audiologistes,4.0
2015,Alberta,Chiropraticiens,25.0
2015,Alberta,Assistants dentaires,119.6
2015,Alberta,Hygiénistes dentaires,74.0
2015,Alberta,Dentistes,58.6
2015,Alberta,Diététistes,29.9
2015,Alberta,Professionnels de la santé publique environnementale,9.0
2015,Alberta,Médecins de famille,125.8
2015,Alberta,Conseillers en génétique,0.7
2015,Alberta,Professionnels de la gestion de l’information sur la santé,
2015,Alberta,Professionnels de la gestion de l’information sur la santé,0.0
2015,Alberta,Infirmières auxiliaires autorisées,297.5
2015,Alberta,Technologistes de laboratoire médical,61.0
2015,Alberta,Physiciens médicaux,1.1
2015,Alberta,Technologues en radiation médicale,52.9
2015,Alberta,Sages-femmes,2.3
2015,Alberta,Infirmières praticiennes,10.0
2015,Alberta,Ergothérapeutes,49.1
2015,Alberta,Opticiens,
2015,Alberta,Opticiens,0.0
2015,Alberta,Optométristes,17.9
2015,Alberta,Ambulanciers paramédicaux,199.5
2015,Alberta,Pharmaciens,116.3
2015,Alberta,Techniciens en pharmacie,32.5
2015,Alberta,Adjoints au médecin,0.6
2015,Alberta,Médecins,241.7
2015,Alberta,Physiothérapeutes,63.4
2015,Alberta,Psychologues,
2015,Alberta,Psychologues,0.0
2015,Alberta,Infirmières autorisées,838.8
2015,Alberta,Infirmières psychiatriques autorisées,31.6
2015,Alberta,Personnel infirmier réglementé,1177.9
2015,Alberta,Inhalothérapeutes,40.5
2015,Alberta,Travailleurs sociaux,164.8
2015,Alberta,Spécialistes,116.0
2015,Alberta,Orthophonistes,32.6
2015,Alberta,Orthophonistes,32.6
2016,Alberta,Audiologistes,4.1
2016,Alberta,Chiropraticiens,24.8
2016,Alberta,Assistants dentaires,131.7
2016,Alberta,Hygiénistes dentaires,74.6
2016,Alberta,Dentistes,58.7
2016,Alberta,Diététistes,30.4
2016,Alberta,Professionnels de la santé publique environnementale,9.3
2016,Alberta,Médecins de famille,126.8
2016,Alberta,Conseillers en génétique,0.7
2016,Alberta,Professionnels de la gestion de l’information sur la santé,17.1
2016,Alberta,Infirmières auxiliaires autorisées,316.0
2016,Alberta,Technologistes de laboratoire médical,60.4
2016,Alberta,Physiciens médicaux,1.1
2016,Alberta,Technologues en radiation médicale,57.6
2016,Alberta,Sages-femmes,2.6
2016,Alberta,Infirmières praticiennes,10.7
2016,Alberta,Ergothérapeutes,49.4
2016,Alberta,Opticiens,25.1
2016,Alberta,Optométristes,18.3
2016,Alberta,Ambulanciers paramédicaux,197.7
2016,Alberta,Pharmaciens,122.0
2016,Alberta,Techniciens en pharmacie,33.0
2016,Alberta,Adjoints au médecin,0.7
2016,Alberta,Médecins,245.3
2016,Alberta,Physiothérapeutes,66.0
2016,Alberta,Psychologues,80.9
2016,Alberta,Infirmières autorisées,833.9
2016,Alberta,Infirmières psychiatriques autorisées,31.3
2016,Alberta,Personnel infirmier réglementé,1192.0
2016,Alberta,Inhalothérapeutes,39.9
2016,Alberta,Travailleurs sociaux,171.8
2016,Alberta,Spécialistes,118.5
2016,Alberta,Orthophonistes,33.5
2016,Alberta,Orthophonistes,33.5
2017,Alberta,Audiologistes,4.0
2017,Alberta,Chiropraticiens,25.0
2017,Alberta,Assistants dentaires,139.1
2017,Alberta,Hygiénistes dentaires,74.9
2017,Alberta,Dentistes,59.4
2017,Alberta,Diététistes,30.4
2017,Alberta,Professionnels de la santé publique environnementale,9.4
2017,Alberta,Médecins de famille,130.2
2017,Alberta,Conseillers en génétique,0.7
2017,Alberta,Professionnels de la gestion de l’information sur la santé,17.7
2017,Alberta,Infirmières auxiliaires autorisées,329.1
2017,Alberta,Technologistes de laboratoire médical,60.5
2017,Alberta,Physiciens médicaux,1.0
2017,Alberta,Technologues en radiation médicale,54.3
2017,Alberta,Sages-femmes,2.8
2017,Alberta,Infirmières praticiennes,11.3
2017,Alberta,Ergothérapeutes,50.6
2017,Alberta,Opticiens,24.5
2017,Alberta,Opticiens,24.5
2017,Alberta,Optométristes,18.7
2017,Alberta,Ambulanciers paramédicaux,195.4
2017,Alberta,Pharmaciens,124.4
2017,Alberta,Techniciens en pharmacie,34.3
2017,Alberta,Adjoints au médecin,0.9
2017,Alberta,Médecins,251.8
2017,Alberta,Physiothérapeutes,67.1
2017,Alberta,Psychologues,84.6
2017,Alberta,Psychotherapists/counselling therapists,
2017,Alberta,Psychotherapists/counselling therapists,0.0
2017,Alberta,Infirmières autorisées,835.8
2017,Alberta,Infirmières psychiatriques autorisées,31.1
2017,Alberta,Personnel infirmier réglementé,1207.3
2017,Alberta,Inhalothérapeutes,43.0
2017,Alberta,Travailleurs sociaux,165.9
2017,Alberta,Spécialistes,121.6
2017,Alberta,Orthophonistes,33.7
2017,Alberta,Orthophonistes,33.7
2018,Alberta,Audiologistes,4.3
2018,Alberta,Chiropraticiens,25.4
2018,Alberta,Assistants dentaires,137.4
2018,Alberta,Hygiénistes dentaires,75.6
2018,Alberta,Dentistes,62.7
2018,Alberta,Diététistes,30.6
2018,Alberta,Professionnels de la santé publique environnementale,9.0
2018,Alberta,Médecins de famille,127.7
2018,Alberta,Conseillers en génétique,0.6
2018,Alberta,Professionnels de la gestion de l’information sur la santé,
2018,Alberta,Professionnels de la gestion de l’information sur la santé,0.0
2018,Alberta,Infirmières auxiliaires autorisées,344.4
2018,Alberta,Technologistes de laboratoire médical,59.7
2018,Alberta,Physiciens médicaux,1.1
2018,Alberta,Technologues en radiation médicale,56.2
2018,Alberta,Sages-femmes,3.0
2018,Alberta,Infirmières praticiennes,12.3
2018,Alberta,Ergothérapeutes,51.4
2018,Alberta,Opticiens,
2018,Alberta,Opticiens,0.0
2018,Alberta,Optométristes,18.6
2018,Alberta,Ambulanciers paramédicaux,191.8
2018,Alberta,Pharmaciens,126.4
2018,Alberta,Techniciens en pharmacie,35.2
2018,Alberta,Adjoints au médecin,0.9
2018,Alberta,Médecins,251.4
2018,Alberta,Physiothérapeutes,69.1
2018,Alberta,Psychologues,86.7
2018,Alberta,Psychotherapists/counselling therapists,
2018,Alberta,Psychotherapists/counselling therapists,0.0
2018,Alberta,Infirmières autorisées,830.4
2018,Alberta,Infirmières psychiatriques autorisées,31.0
2018,Alberta,Personnel infirmier réglementé,1218.1
2018,Alberta,Inhalothérapeutes,43.1
2018,Alberta,Travailleurs sociaux,170.1
2018,Alberta,Spécialistes,123.7
2018,Alberta,Orthophonistes,34.5
2018,Alberta,Orthophonistes,34.5
2019,Alberta,Audiologistes,4.3
2019,Alberta,Chiropraticiens,27.0
