Year,Géographie,Groupe d'âge,"Type d'institution fréquentée
",GeoCode,Value
2014/2015,Canada,15 à 19 ans,Total taux de participation,,83.0
2014/2015,Canada,15 à 19 ans,Primaire/Secondaire,,58.0
2014/2015,Canada,15 à 19 ans,Collège,,12.0
2014/2015,Canada,15 à 19 ans,Université,,12.0
2014/2015,Canada,20 à 24 ans,Total taux de participation,,40.0
2014/2015,Canada,20 à 24 ans,Primaire/Secondaire,,2.0
2014/2015,Canada,20 à 24 ans,Collège,,12.0
2014/2015,Canada,20 à 24 ans,Université,,26.0
2014/2015,Canada,25 à 29 ans,Total taux de participation,,12.0
2014/2015,Canada,25 à 29 ans,Primaire/Secondaire,,1.0
2014/2015,Canada,25 à 29 ans,Collège,,4.0
2014/2015,Canada,25 à 29 ans,Université,,8.0
2014/2015,Terre-Neuve-et-Labrador,15 à 19 ans,Total taux de participation,10,85.0
2014/2015,Terre-Neuve-et-Labrador,15 à 19 ans,Primaire/Secondaire,10,62.0
2014/2015,Terre-Neuve-et-Labrador,15 à 19 ans,Collège,10,7.0
2014/2015,Terre-Neuve-et-Labrador,15 à 19 ans,Université,10,15.0
2014/2015,Terre-Neuve-et-Labrador,20 à 24 ans,Total taux de participation,10,36.0
2014/2015,Terre-Neuve-et-Labrador,20 à 24 ans,Primaire/Secondaire,10,
2014/2015,Terre-Neuve-et-Labrador,20 à 24 ans,Collège,10,11.0
2014/2015,Terre-Neuve-et-Labrador,20 à 24 ans,Université,10,24.0
2014/2015,Terre-Neuve-et-Labrador,25 à 29 ans,Total taux de participation,10,14.0
2014/2015,Terre-Neuve-et-Labrador,25 à 29 ans,Primaire/Secondaire,10,
2014/2015,Terre-Neuve-et-Labrador,25 à 29 ans,Collège,10,3.0
2014/2015,Terre-Neuve-et-Labrador,25 à 29 ans,Université,10,11.0
2014/2015,Île-du-Prince-Édouard,15 à 19 ans,Total taux de participation,11,83.0
2014/2015,Île-du-Prince-Édouard,15 à 19 ans,Primaire/Secondaire,11,63.0
2014/2015,Île-du-Prince-Édouard,15 à 19 ans,Collège,11,6.0
2014/2015,Île-du-Prince-Édouard,15 à 19 ans,Université,11,14.0
2014/2015,Île-du-Prince-Édouard,20 à 24 ans,Total taux de participation,11,38.0
2014/2015,Île-du-Prince-Édouard,20 à 24 ans,Primaire/Secondaire,11,
2014/2015,Île-du-Prince-Édouard,20 à 24 ans,Collège,11,10.0
2014/2015,Île-du-Prince-Édouard,20 à 24 ans,Université,11,28.0
2014/2015,Île-du-Prince-Édouard,25 à 29 ans,Total taux de participation,11,11.0
2014/2015,Île-du-Prince-Édouard,25 à 29 ans,Primaire/Secondaire,11,
2014/2015,Île-du-Prince-Édouard,25 à 29 ans,Collège,11,4.0
2014/2015,Île-du-Prince-Édouard,25 à 29 ans,Université,11,7.0
2014/2015,Nouvelle-Écosse,15 à 19 ans,Total taux de participation,12,83.0
2014/2015,Nouvelle-Écosse,15 à 19 ans,Primaire/Secondaire,12,64.0
2014/2015,Nouvelle-Écosse,15 à 19 ans,Collège,12,7.0
2014/2015,Nouvelle-Écosse,15 à 19 ans,Université,12,11.0
2014/2015,Nouvelle-Écosse,20 à 24 ans,Total taux de participation,12,34.0
2014/2015,Nouvelle-Écosse,20 à 24 ans,Primaire/Secondaire,12,
2014/2015,Nouvelle-Écosse,20 à 24 ans,Collège,12,9.0
2014/2015,Nouvelle-Écosse,20 à 24 ans,Université,12,24.0
2014/2015,Nouvelle-Écosse,25 à 29 ans,Total taux de participation,12,12.0
