Year,État matrimonial,Groupe d'âge,Géographie,Value
1996,Marié ou vivant en union libre,15 à 19 ans,Alberta,4.64
1996,Marié ou vivant en union libre,20 à 24 ans,Alberta,33.7
1996,Marié,15 à 19 ans,Alberta,1.1
1996,Marié,20 à 24 ans,Alberta,18.26
1996,Vivant en union libre,15 à 19 ans,Alberta,3.54
1996,Vivant en union libre,20 à 24 ans,Alberta,15.44
1996,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,3.39
1996,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,27.99
1996,Marié,15 à 19 ans,Colombie-Britannique,0.87
1996,Marié,20 à 24 ans,Colombie-Britannique,15.07
1996,Vivant en union libre,15 à 19 ans,Colombie-Britannique,2.51
1996,Vivant en union libre,20 à 24 ans,Colombie-Britannique,12.92
1996,Marié ou vivant en union libre,15 à 19 ans,Canada,3.41
1996,Marié ou vivant en union libre,20 à 24 ans,Canada,27.77
1996,Marié,15 à 19 ans,Canada,0.78
1996,Marié,20 à 24 ans,Canada,13.18
1996,Vivant en union libre,15 à 19 ans,Canada,2.64
1996,Vivant en union libre,20 à 24 ans,Canada,14.6
1996,Marié ou vivant en union libre,15 à 19 ans,Manitoba,4.26
1996,Marié ou vivant en union libre,20 à 24 ans,Manitoba,30.53
1996,Marié,15 à 19 ans,Manitoba,1.12
1996,Marié,20 à 24 ans,Manitoba,16.96
1996,Vivant en union libre,15 à 19 ans,Manitoba,3.14
1996,Vivant en union libre,20 à 24 ans,Manitoba,13.57
1996,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,3.66
1996,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,31.38
1996,Marié,15 à 19 ans,Nouveau-Brunswick,0.69
1996,Marié,20 à 24 ans,Nouveau-Brunswick,13.42
1996,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.97
1996,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,17.96
1996,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,2.16
1996,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,24.37
1996,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.42
1996,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10.93
1996,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.76
1996,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,13.44
1996,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,11.15
1996,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,45.45
1996,Marié,15 à 19 ans,Territoires du Nord-Ouest,0.58
1996,Marié,20 à 24 ans,Territoires du Nord-Ouest,11.31
1996,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,10.58
1996,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,34.14
1996,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,2.4
1996,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,25.61
1996,Marié,15 à 19 ans,Nouvelle-Écosse,0.44
1996,Marié,20 à 24 ans,Nouvelle-Écosse,11.71
1996,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.96
1996,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,13.9
1996,Marié ou vivant en union libre,15 à 19 ans,Ontario,2.71
1996,Marié ou vivant en union libre,20 à 24 ans,Ontario,22.83
1996,Marié,15 à 19 ans,Ontario,0.87
1996,Marié,20 à 24 ans,Ontario,13.64
1996,Vivant en union libre,15 à 19 ans,Ontario,1.84
1996,Vivant en union libre,20 à 24 ans,Ontario,9.2
1996,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.56
1996,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,27.81
1996,Marié,15 à 19 ans,Île-du-Prince-Édouard,0.51
1996,Marié,20 à 24 ans,Île-du-Prince-Édouard,14.07
1996,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.15
1996,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,13.74
1996,Marié ou vivant en union libre,15 à 19 ans,Québec,3.76
1996,Marié ou vivant en union libre,20 à 24 ans,Québec,31.55
1996,Marié,15 à 19 ans,Québec,0.52
1996,Marié,20 à 24 ans,Québec,8.43
1996,Vivant en union libre,15 à 19 ans,Québec,3.24
1996,Vivant en union libre,20 à 24 ans,Québec,23.12
1996,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,4.59
1996,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,34.07
1996,Marié,15 à 19 ans,Saskatchewan,0.7
1996,Marié,20 à 24 ans,Saskatchewan,18.05
1996,Vivant en union libre,15 à 19 ans,Saskatchewan,3.89
1996,Vivant en union libre,20 à 24 ans,Saskatchewan,16.02
1996,Marié ou vivant en union libre,15 à 19 ans,Yukon,6.88
1996,Marié ou vivant en union libre,20 à 24 ans,Yukon,37.68
1996,Marié,15 à 19 ans,Yukon,0.53
1996,Marié,20 à 24 ans,Yukon,14.98
1996,Vivant en union libre,15 à 19 ans,Yukon,6.35
1996,Vivant en union libre,20 à 24 ans,Yukon,22.71
2001,Marié ou vivant en union libre,15 à 19 ans,Alberta,3.96
2001,Marié ou vivant en union libre,20 à 24 ans,Alberta,31.14
2001,Marié,15 à 19 ans,Alberta,0.75
2001,Marié,20 à 24 ans,Alberta,14.92
2001,Vivant en union libre,15 à 19 ans,Alberta,3.21
2001,Vivant en union libre,20 à 24 ans,Alberta,16.23
2001,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,2.76
2001,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,22.99
2001,Marié,15 à 19 ans,Colombie-Britannique,0.65
2001,Marié,20 à 24 ans,Colombie-Britannique,10.83
2001,Vivant en union libre,15 à 19 ans,Colombie-Britannique,2.11
2001,Vivant en union libre,20 à 24 ans,Colombie-Britannique,12.16
2001,Marié ou vivant en union libre,15 à 19 ans,Canada,2.96
2001,Marié ou vivant en union libre,20 à 24 ans,Canada,25.61
2001,Marié,15 à 19 ans,Canada,0.61
2001,Marié,20 à 24 ans,Canada,10.19
2001,Vivant en union libre,15 à 19 ans,Canada,2.35
2001,Vivant en union libre,20 à 24 ans,Canada,15.42
2001,Marié ou vivant en union libre,15 à 19 ans,Manitoba,3.74
2001,Marié ou vivant en union libre,20 à 24 ans,Manitoba,28.83
2001,Marié,15 à 19 ans,Manitoba,0.89
2001,Marié,20 à 24 ans,Manitoba,14.65
2001,Vivant en union libre,15 à 19 ans,Manitoba,2.84
2001,Vivant en union libre,20 à 24 ans,Manitoba,14.18
2001,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,3.39
2001,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,30.28
2001,Marié,15 à 19 ans,Nouveau-Brunswick,0.46
2001,Marié,20 à 24 ans,Nouveau-Brunswick,10.84
2001,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.91
2001,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,19.43
2001,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.78
2001,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,20.44
2001,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.28
2001,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,7.35
2001,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.5
2001,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,13.12
2001,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,4.64
2001,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,34.57
2001,Marié,15 à 19 ans,Territoires du Nord-Ouest,0.0
2001,Marié,20 à 24 ans,Territoires du Nord-Ouest,6.69
2001,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,4.29
2001,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,27.88
2001,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,2.19
2001,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,23.41
2001,Marié,15 à 19 ans,Nouvelle-Écosse,0.31
2001,Marié,20 à 24 ans,Nouvelle-Écosse,8.02
2001,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.89
2001,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,15.39
2001,Marié ou vivant en union libre,15 à 19 ans,Nunavut,12.96
2001,Marié ou vivant en union libre,20 à 24 ans,Nunavut,51.9
2001,Marié,15 à 19 ans,Nunavut,0.81
2001,Marié,20 à 24 ans,Nunavut,8.57
2001,Vivant en union libre,15 à 19 ans,Nunavut,12.15
2001,Vivant en union libre,20 à 24 ans,Nunavut,42.86
2001,Marié ou vivant en union libre,15 à 19 ans,Ontario,2.14
2001,Marié ou vivant en union libre,20 à 24 ans,Ontario,21.47
2001,Marié,15 à 19 ans,Ontario,0.68
2001,Marié,20 à 24 ans,Ontario,11.18
2001,Vivant en union libre,15 à 19 ans,Ontario,1.46
2001,Vivant en union libre,20 à 24 ans,Ontario,10.29
2001,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.97
2001,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,25.93
2001,Marié,15 à 19 ans,Île-du-Prince-Édouard,0.4
2001,Marié,20 à 24 ans,Île-du-Prince-Édouard,11.1
2001,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.57
2001,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,14.84
2001,Marié ou vivant en union libre,15 à 19 ans,Québec,3.78
2001,Marié ou vivant en union libre,20 à 24 ans,Québec,29.53
2001,Marié,15 à 19 ans,Québec,0.47
2001,Marié,20 à 24 ans,Québec,5.51
2001,Vivant en union libre,15 à 19 ans,Québec,3.3
2001,Vivant en union libre,20 à 24 ans,Québec,24.02
2001,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,3.73
2001,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,30.51
2001,Marié,15 à 19 ans,Saskatchewan,0.56
2001,Marié,20 à 24 ans,Saskatchewan,14.36
2001,Vivant en union libre,15 à 19 ans,Saskatchewan,3.15
2001,Vivant en union libre,20 à 24 ans,Saskatchewan,16.14
2001,Marié ou vivant en union libre,15 à 19 ans,Yukon,4.04
2001,Marié ou vivant en union libre,20 à 24 ans,Yukon,29.7
2001,Marié,15 à 19 ans,Yukon,0.45
2001,Marié,20 à 24 ans,Yukon,9.09
2001,Vivant en union libre,15 à 19 ans,Yukon,3.59
2001,Vivant en union libre,20 à 24 ans,Yukon,21.21
2006,Marié ou vivant en union libre,15 à 19 ans,Alberta,4.32
2006,Marié ou vivant en union libre,20 à 24 ans,Alberta,29.89
2006,Marié,15 à 19 ans,Alberta,0.93
2006,Marié,20 à 24 ans,Alberta,12.28
