Year,Géographie,Gouvernement,Elected officials,Value
2015,Canada,National,Parlement national,25.3
2016,Canada,National,Parlement national,26.1
2017,Canada,National,Parlement national,27.2
2018,Canada,National,Parlement national,27.0
2019,Canada,National,Parlement national,27.2
2020,Canada,National,Parlement national,29.0
2021,Canada,National,Parlement national,29.4
2022,Canada,National,Parlement national,30.6
2015,Canada,National,Cabinet fédéral,30.8
2016,Canada,National,Cabinet fédéral,50.0
2017,Canada,National,Cabinet fédéral,50.0
2018,Canada,National,Cabinet fédéral,50.0
2019,Canada,National,Cabinet fédéral,48.6
2020,Canada,National,Cabinet fédéral,48.6
2021,Canada,National,Cabinet fédéral,48.6
2022,Canada,National,Cabinet fédéral,48.7
2015,Terre-Neuve-et-Labrador,National,Parlement national,28.6
2016,Terre-Neuve-et-Labrador,National,Parlement national,42.9
2017,Terre-Neuve-et-Labrador,National,Parlement national,42.9
2018,Terre-Neuve-et-Labrador,National,Parlement national,28.6
2019,Terre-Neuve-et-Labrador,National,Parlement national,28.6
2020,Terre-Neuve-et-Labrador,National,Parlement national,28.6
2021,Terre-Neuve-et-Labrador,National,Parlement national,28.6
2022,Terre-Neuve-et-Labrador,,Parlement national,42.9
2015,Terre-Neuve-et-Labrador,National,Cabinet fédéral,0.0
2016,Terre-Neuve-et-Labrador,National,Cabinet fédéral,100.0
2017,Terre-Neuve-et-Labrador,National,Cabinet fédéral,100.0
2018,Terre-Neuve-et-Labrador,National,Cabinet fédéral,0.0
2019,Terre-Neuve-et-Labrador,National,Cabinet fédéral,0.0
2020,Terre-Neuve-et-Labrador,National,Cabinet fédéral,0.0
2021,Terre-Neuve-et-Labrador,National,Cabinet fédéral,0.0
2022,Terre-Neuve-et-Labrador,,Cabinet fédéral,50.0
2015,Île-du-Prince-Édouard,National,Parlement national,25.0
2016,Île-du-Prince-Édouard,National,Parlement national,0.0
2017,Île-du-Prince-Édouard,National,Parlement national,0.0
2018,Île-du-Prince-Édouard,National,Parlement national,0.0
2019,Île-du-Prince-Édouard,National,Parlement national,0.0
2020,Île-du-Prince-Édouard,National,Parlement national,0.0
2021,Île-du-Prince-Édouard,National,Parlement national,0.0
2022,Île-du-Prince-Édouard,National,Parlement national,0.0
2015,Île-du-Prince-Édouard,National,Cabinet fédéral,100.0
2016,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2017,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2018,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2019,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2020,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2021,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2022,Île-du-Prince-Édouard,National,Cabinet fédéral,0.0
2015,Nouvelle-Écosse,National,Parlement national,9.1
2016,Nouvelle-Écosse,National,Parlement national,9.1
2017,Nouvelle-Écosse,National,Parlement national,9.1
2018,Nouvelle-Écosse,National,Parlement national,9.1
2019,Nouvelle-Écosse,National,Parlement national,10.0
2020,Nouvelle-Écosse,National,Parlement national,18.2
2021,Nouvelle-Écosse,National,Parlement national,18.2
2022,Nouvelle-Écosse,National,Parlement national,9.1
2015,Nouvelle-Écosse,National,Cabinet fédéral,0.0
2016,Nouvelle-Écosse,National,Cabinet fédéral,0.0
2017,Nouvelle-Écosse,National,Cabinet fédéral,0.0
2018,Nouvelle-Écosse,National,Cabinet fédéral,0.0
2019,Nouvelle-Écosse,National,Cabinet fédéral,100.0
2020,Nouvelle-Écosse,National,Cabinet fédéral,100.0
2021,Nouvelle-Écosse,National,Cabinet fédéral,100.0
2022,Nouvelle-Écosse,National,Cabinet fédéral,0.0
2015,Nouveau-Brunswick,National,Parlement national,10.0
2016,Nouveau-Brunswick,National,Parlement national,30.0
2017,Nouveau-Brunswick,National,Parlement national,30.0
2018,Nouveau-Brunswick,National,Parlement national,30.0
2019,Nouveau-Brunswick,National,Parlement national,30.0
2020,Nouveau-Brunswick,National,Parlement national,20.0
2021,Nouveau-Brunswick,National,Parlement national,20.0
2022,Nouveau-Brunswick,National,Parlement national,20.0
2015,Nouveau-Brunswick,National,Cabinet fédéral,0.0
2016,Nouveau-Brunswick,National,Cabinet fédéral,0.0
2017,Nouveau-Brunswick,National,Cabinet fédéral,0.0
2018,Nouveau-Brunswick,National,Cabinet fédéral,50.0
2019,Nouveau-Brunswick,National,Cabinet fédéral,50.0
2020,Nouveau-Brunswick,National,Cabinet fédéral,0.0
2021,Nouveau-Brunswick,National,Cabinet fédéral,0.0
2022,Nouveau-Brunswick,National,Cabinet fédéral,50.0
2015,Québec,National,Parlement national,37.3
2016,Québec,National,Parlement national,24.4
2017,Québec,National,Parlement national,25.6
2018,Québec,National,Parlement national,25.6
2019,Québec,National,Parlement national,27.3
2020,Québec,National,Parlement national,33.3
2021,Québec,National,Parlement national,33.3
2022,Québec,National,Parlement national,35.9
2015,Québec,National,Cabinet fédéral,0.0
2016,Québec,National,Cabinet fédéral,42.9
2017,Québec,National,Cabinet fédéral,42.9
2018,Québec,National,Cabinet fédéral,42.9
2019,Québec,National,Cabinet fédéral,33.3
2020,Québec,National,Cabinet fédéral,27.3
2021,Québec,National,Cabinet fédéral,27.3
2022,Québec,National,Cabinet fédéral,36.4
2015,Ontario,National,Parlement national,19.6
2016,Ontario,National,Parlement national,31.4
2017,Ontario,National,Parlement national,33.1
2018,Ontario,National,Parlement national,34.2
