Year,Geography,Occupation,Value
2015,,,35.1
2016,,,34.6
2017,,,34.4
2018,,,34.8
2019,,,35.2
2020,,,35.9
2021,,,35.6
2022,,,35.4
2015,Canada,Senior management occupations,31.5
2015,Canada,Specialized middle management occupations,47.2
2015,Canada,Middle management occupations in retail and wholesale trade and customer services,41.8
2015,Canada,"Middle management occupations in trades, transportation, production and utilities",17.0
2015,Newfoundland and Labrador,Management occupations,38.9
2015,Newfoundland and Labrador,Senior management occupations,
2015,Newfoundland and Labrador,Specialized middle management occupations,48.2
2015,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,41.0
2015,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",17.9
2015,Prince Edward Island,Management occupations,35.4
2015,Prince Edward Island,Senior management occupations,
2015,Prince Edward Island,Specialized middle management occupations,50.0
2015,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,44.0
2015,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",13.6
2015,Nova Scotia,Management occupations,37.9
2015,Nova Scotia,Senior management occupations,
2015,Nova Scotia,Specialized middle management occupations,47.1
2015,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,44.6
2015,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",14.3
2015,New Brunswick,Management occupations,36.8
2015,New Brunswick,Senior management occupations,
2015,New Brunswick,Specialized middle management occupations,45.3
2015,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,42.9
2015,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",15.3
2015,Quebec,Management occupations,33.7
2015,Quebec,Senior management occupations,36.0
2015,Quebec,Specialized middle management occupations,49.2
2015,Quebec,Middle management occupations in retail and wholesale trade and customer services,35.9
2015,Quebec,"Middle management occupations in trades, transportation, production and utilities",15.7
2015,Ontario,Management occupations,36.9
2015,Ontario,Senior management occupations,28.4
2015,Ontario,Specialized middle management occupations,48.1
2015,Ontario,Middle management occupations in retail and wholesale trade and customer services,43.2
2015,Ontario,"Middle management occupations in trades, transportation, production and utilities",15.3
2015,Manitoba,Management occupations,31.5
2015,Manitoba,Senior management occupations,30.0
2015,Manitoba,Specialized middle management occupations,47.9
2015,Manitoba,Middle management occupations in retail and wholesale trade and customer services,39.6
2015,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.0
2015,Saskatchewan,Management occupations,30.5
2015,Saskatchewan,Senior management occupations,
2015,Saskatchewan,Specialized middle management occupations,50.4
2015,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,45.1
2015,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.6
2015,Alberta,Management occupations,33.2
2015,Alberta,Senior management occupations,37.5
2015,Alberta,Specialized middle management occupations,41.8
2015,Alberta,Middle management occupations in retail and wholesale trade and customer services,45.6
2015,Alberta,"Middle management occupations in trades, transportation, production and utilities",19.1
2015,British Columbia,Management occupations,35.9
2015,British Columbia,Senior management occupations,28.6
2015,British Columbia,Specialized middle management occupations,45.2
2015,British Columbia,Middle management occupations in retail and wholesale trade and customer services,42.9
2015,British Columbia,"Middle management occupations in trades, transportation, production and utilities",19.2
2016,Canada,Senior management occupations,36.9
2016,Canada,Specialized middle management occupations,46.8
2016,Canada,Middle management occupations in retail and wholesale trade and customer services,40.3
2016,Canada,"Middle management occupations in trades, transportation, production and utilities",16.7
2016,Newfoundland and Labrador,Management occupations,37.9
2016,Newfoundland and Labrador,Senior management occupations,
2016,Newfoundland and Labrador,Specialized middle management occupations,44.2
2016,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,40.4
2016,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",23.3
2016,Prince Edward Island,Management occupations,33.9
2016,Prince Edward Island,Senior management occupations,
2016,Prince Edward Island,Specialized middle management occupations,53.3
2016,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,47.4
2016,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",12.5
2016,Nova Scotia,Management occupations,40.7
2016,Nova Scotia,Senior management occupations,45.5
2016,Nova Scotia,Specialized middle management occupations,53.9
2016,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,45.1
2016,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",15.5
2016,New Brunswick,Management occupations,38.5
2016,New Brunswick,Senior management occupations,
2016,New Brunswick,Specialized middle management occupations,54.7
2016,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,41.1
2016,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",18.1
2016,Quebec,Management occupations,35.5
2016,Quebec,Senior management occupations,40.2
2016,Quebec,Specialized middle management occupations,46.7
2016,Quebec,Middle management occupations in retail and wholesale trade and customer services,41.6
2016,Quebec,"Middle management occupations in trades, transportation, production and utilities",16.6
2016,Ontario,Management occupations,35.1
2016,Ontario,Senior management occupations,35.7
2016,Ontario,Specialized middle management occupations,46.0
2016,Ontario,Middle management occupations in retail and wholesale trade and customer services,38.7
