Year,Economic activity,Units,Value
2000,Total,Pourcentage (%),4.31
2001,Total,Pourcentage (%),4.31
2002,Total,Pourcentage (%),4.3
2003,Total,Pourcentage (%),4.29
2004,Total,Pourcentage (%),4.28
2005,Total,Pourcentage (%),4.27
2006,Total,Pourcentage (%),4.26
2007,Total,Pourcentage (%),4.26
2008,Total,Pourcentage (%),4.13
2009,Total,Pourcentage (%),4.0
2010,Total,Pourcentage (%),3.83
2011,Total,Pourcentage (%),3.67
2012,Total,Pourcentage (%),3.75
2013,Total,Pourcentage (%),3.84
2014,Total,Pourcentage (%),3.76
2015,Total,Pourcentage (%),3.68
2016,Total,Pourcentage (%),3.71
2017,Total,Pourcentage (%),3.73
2018,Total,Pourcentage (%),3.73
2019,Total,Pourcentage (%),3.73
2020,Total,Pourcentage (%),3.73
2000,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.37
2001,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.35
2002,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.33
2003,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.31
2004,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.29
2005,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.28
2006,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.26
2007,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.24
2008,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.23
2009,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.22
2010,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.45
2011,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.4
2012,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.38
2013,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.36
2014,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.32
2015,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.28
2016,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.34
2017,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.4
2018,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.4
2019,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.4
2020,Agriculture (ISIC4 A01 A0210 A0322),Pourcentage (%),0.4
2000,Industries,Pourcentage (%),3.36
2001,Industries,Pourcentage (%),3.37
2002,Industries,Pourcentage (%),3.37
2003,Industries,Pourcentage (%),3.38
2004,Industries,Pourcentage (%),3.39
2005,Industries,Pourcentage (%),3.4
2006,Industries,Pourcentage (%),3.4
2007,Industries,Pourcentage (%),3.41
2008,Industries,Pourcentage (%),3.31
2009,Industries,Pourcentage (%),3.2
2010,Industries,Pourcentage (%),2.88
2011,Industries,Pourcentage (%),2.79
2012,Industries,Pourcentage (%),2.87
2013,Industries,Pourcentage (%),2.96
2014,Industries,Pourcentage (%),2.92
2015,Industries,Pourcentage (%),2.88
2016,Industries,Pourcentage (%),2.86
2017,Industries,Pourcentage (%),2.83
2018,Industries,Pourcentage (%),2.83
2019,Industries,Pourcentage (%),2.83
2020,Industries,Pourcentage (%),2.83
2000,Services (ISIC4 G to T),Pourcentage (%),0.59
2001,Services (ISIC4 G to T),Pourcentage (%),0.59
2002,Services (ISIC4 G to T),Pourcentage (%),0.59
2003,Services (ISIC4 G to T),Pourcentage (%),0.6
2004,Services (ISIC4 G to T),Pourcentage (%),0.6
2005,Services (ISIC4 G to T),Pourcentage (%),0.6
2006,Services (ISIC4 G to T),Pourcentage (%),0.6
2007,Services (ISIC4 G to T),Pourcentage (%),0.61
2008,Services (ISIC4 G to T),Pourcentage (%),0.59
2009,Services (ISIC4 G to T),Pourcentage (%),0.57
2010,Services (ISIC4 G to T),Pourcentage (%),0.5
2011,Services (ISIC4 G to T),Pourcentage (%),0.48
2012,Services (ISIC4 G to T),Pourcentage (%),0.5
2013,Services (ISIC4 G to T),Pourcentage (%),0.52
2014,Services (ISIC4 G to T),Pourcentage (%),0.52
2015,Services (ISIC4 G to T),Pourcentage (%),0.53
2016,Services (ISIC4 G to T),Pourcentage (%),0.51
2017,Services (ISIC4 G to T),Pourcentage (%),0.5
2018,Services (ISIC4 G to T),Pourcentage (%),0.5
2019,Services (ISIC4 G to T),Pourcentage (%),0.5
2020,Services (ISIC4 G to T),Pourcentage (%),0.5
