Year,Géographie,Genre de travail,Occupation,Sexe,Groupe d'âge,GeoCode,Value
2015,,,,,,,25.88
2016,,,,,,,26.41
2017,,,,,,,26.82
2018,,,,,,,27.57
2019,,,,,,,28.32
2020,,,,,,,30.03
2021,,,,,,,30.67
2022,,,,,,,31.96
2023,,,,,,,33.55
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Les deux sexes,15 à 24 ans,,14.99
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Les deux sexes,25 à 54 ans,,28.01
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Les deux sexes,55 ans et plus,,27.63
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Hommes,15 ans et plus,,27.82
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Hommes,15 à 24 ans,,15.7
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Hommes,25 à 54 ans,,30.08
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Hommes,55 ans et plus,,30.08
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Femmes,15 ans et plus,,23.88
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Femmes,15 à 24 ans,,14.27
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Femmes,25 à 54 ans,,25.89
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",Femmes,55 ans et plus,,25.05
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,Les deux sexes,15 ans et plus,,42.99
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,Les deux sexes,15 à 24 ans,,18.58
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,Les deux sexes,25 à 54 ans,,42.9
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,Les deux sexes,55 ans et plus,,46.39
