Year,Géographie,Status,Sexe,Groupe d'âge,GeoCode,Value
2015,,,,,,11
2016,,,,,,11
2017,,,,,,10
2018,,,,,,10
2019,,,,,,9
2020,,,,,,12
2021,,,,,,11
2022,,,,,,10
2023,,,,,,9
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,7
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,9
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 19 ans,10,6
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,13
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,17
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,18
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,23
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,12
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,19
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,24
2015,Terre-Neuve-et-Labrador,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,14
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,3
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,4
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,5
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,10
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,14
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,6
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,11
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,16
2015,Terre-Neuve-et-Labrador,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,10,4
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,10,5
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,10,6
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,10,5
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,10,9
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,10,7
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,10,8
2015,Terre-Neuve-et-Labrador,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Femmes,20 à 24 ans,10,7
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 19 ans,11,8
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 19 ans,11,8
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,15 à 24 ans,11,13
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,15 à 24 ans,11,15
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,15 à 24 ans,11,11
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,18 à 24 ans,11,17
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,18 à 24 ans,11,21
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Femmes,18 à 24 ans,11,14
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Les deux sexes,20 à 24 ans,11,19
2015,Île-du-Prince-Édouard,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Hommes,20 à 24 ans,11,22
