Year,Flux d'aide publique au développement (APD) pour l'aide pour le commerce,Value
2012,Versements bruts,37.97
2013,Versements bruts,6.45
2014,Versements bruts,19.17
2015,Versements bruts,18.73
2016,Versements bruts,16.2
2017,Versements bruts,15.14
2018,Versements bruts,9.93
2019,Versements bruts,8.91
2020,Versements bruts,5.42
2021,Versements bruts,7.32
2012,Engagements,9.415
2013,Engagements,22.17
2014,Engagements,19.51
2015,Engagements,35.596
2016,Engagements,24.706
2017,Engagements,8.793
2018,Engagements,6.836
2019,Engagements,35.376
2020,Engagements,0.816
2021,Engagements,9.335
