Year,Units,Géographie,GeoCode,Value
2015,Proportion du PIB,,,114.91
2015,Proportion du PIB,Terre-Neuve-et-Labrador,10,87.83
2015,Proportion du PIB,Île-du-Prince-Édouard,11,116.69
2015,Proportion du PIB,Nouvelle-Écosse,12,73.68
2015,Proportion du PIB,Nouveau-Brunswick,13,84.0
2015,Proportion du PIB,Québec,24,150.08
2015,Proportion du PIB,Ontario,35,134.62
2015,Proportion du PIB,Manitoba,46,115.18
2015,Proportion du PIB,Saskatchewan,47,55.78
2015,Proportion du PIB,Alberta,48,86.51
2015,Proportion du PIB,Colombie-Britannique,59,74.93
2015,Proportion du PIB,Yukon,60,6.69
2015,Proportion du PIB,Territoires du Nord-Ouest,61,
2015,Proportion du PIB,Nunavut,62,
2016,Proportion du PIB,,,112.03
2016,Proportion du PIB,Terre-Neuve-et-Labrador,10,52.95
2016,Proportion du PIB,Île-du-Prince-Édouard,11,110.09
2016,Proportion du PIB,Nouvelle-Écosse,12,83.49
2016,Proportion du PIB,Nouveau-Brunswick,13,101.2
2016,Proportion du PIB,Québec,24,148.61
2016,Proportion du PIB,Ontario,35,129.61
2016,Proportion du PIB,Manitoba,46,102.83
2016,Proportion du PIB,Saskatchewan,47,62.0
2016,Proportion du PIB,Alberta,48,81.36
2016,Proportion du PIB,Colombie-Britannique,59,73.42
2016,Proportion du PIB,Yukon,60,6.71
2016,Proportion du PIB,Territoires du Nord-Ouest,61,
2016,Proportion du PIB,Nunavut,62,
2017,Proportion du PIB,,,112.87
2017,Proportion du PIB,Terre-Neuve-et-Labrador,10,53.92
2017,Proportion du PIB,Île-du-Prince-Édouard,11,110.26
2017,Proportion du PIB,Nouvelle-Écosse,12,74.22
2017,Proportion du PIB,Nouveau-Brunswick,13,111.73
2017,Proportion du PIB,Québec,24,151.07
2017,Proportion du PIB,Ontario,35,130.51
2017,Proportion du PIB,Manitoba,46,102.47
2017,Proportion du PIB,Saskatchewan,47,59.18
2017,Proportion du PIB,Alberta,48,81.35
2017,Proportion du PIB,Colombie-Britannique,59,77.14
2017,Proportion du PIB,Yukon,60,6.58
2017,Proportion du PIB,Territoires du Nord-Ouest,61,3.25
2017,Proportion du PIB,Nunavut,62,3.54
2018,Proportion du PIB,,,115.39
2018,Proportion du PIB,Terre-Neuve-et-Labrador,10,51.65
2018,Proportion du PIB,Île-du-Prince-Édouard,11,116.92
2018,Proportion du PIB,Nouvelle-Écosse,12,64.36
2018,Proportion du PIB,Nouveau-Brunswick,13,119.89
2018,Proportion du PIB,Québec,24,150.12
2018,Proportion du PIB,Ontario,35,132.5
2018,Proportion du PIB,Manitoba,46,106.95
2018,Proportion du PIB,Saskatchewan,47,63.64
2018,Proportion du PIB,Alberta,48,91.31
2018,Proportion du PIB,Colombie-Britannique,59,78.12
2018,Proportion du PIB,Yukon,60,6.67
2018,Proportion du PIB,Territoires du Nord-Ouest,61,2.61
2018,Proportion du PIB,Nunavut,62,4.15
2019,Proportion du PIB,,,111.12
2019,Proportion du PIB,Terre-Neuve-et-Labrador,10,51.92
2019,Proportion du PIB,Île-du-Prince-Édouard,11,113.94
2019,Proportion du PIB,Nouvelle-Écosse,12,62.06
2019,Proportion du PIB,Nouveau-Brunswick,13,108.11
2019,Proportion du PIB,Québec,24,152.03
2019,Proportion du PIB,Ontario,35,126.29
2019,Proportion du PIB,Manitoba,46,108.41
2019,Proportion du PIB,Saskatchewan,47,65.45
2019,Proportion du PIB,Alberta,48,84.23
2019,Proportion du PIB,Colombie-Britannique,59,68.98
2019,Proportion du PIB,Yukon,60,6.49
2019,Proportion du PIB,Territoires du Nord-Ouest,61,3.02
2019,Proportion du PIB,Nunavut,62,4.26
2020,Proportion du PIB,,,106.82
2020,Proportion du PIB,Terre-Neuve-et-Labrador,10,47.43
2020,Proportion du PIB,Île-du-Prince-Édouard,11,124.74
2020,Proportion du PIB,Nouvelle-Écosse,12,61.66
2020,Proportion du PIB,Nouveau-Brunswick,13,113.17
2020,Proportion du PIB,Québec,24,138.0
2020,Proportion du PIB,Ontario,35,119.08
2020,Proportion du PIB,Manitoba,46,107.68
2020,Proportion du PIB,Saskatchewan,47,64.45
2020,Proportion du PIB,Alberta,48,87.23
2020,Proportion du PIB,Colombie-Britannique,59,71.94
2020,Proportion du PIB,Yukon,60,6.93
2020,Proportion du PIB,Territoires du Nord-Ouest,61,
2020,Proportion du PIB,Nunavut,62,
2021,Proportion du PIB,,,117.16
2021,Proportion du PIB,Terre-Neuve-et-Labrador,10,53.29
2021,Proportion du PIB,Île-du-Prince-Édouard,11,109.82
2021,Proportion du PIB,Nouvelle-Écosse,12,66.43
2021,Proportion du PIB,Nouveau-Brunswick,13,130.9
2021,Proportion du PIB,Québec,24,149.8
2021,Proportion du PIB,Ontario,35,131.53
2021,Proportion du PIB,Manitoba,46,109.93
2021,Proportion du PIB,Saskatchewan,47,82.92
2021,Proportion du PIB,Alberta,48,93.29
2021,Proportion du PIB,Colombie-Britannique,59,84.18
2021,Proportion du PIB,Yukon,60,8.73
2021,Proportion du PIB,Territoires du Nord-Ouest,61,4.06
2021,Proportion du PIB,Nunavut,62,5.04
2015,Par habitant,,,6.41
2015,Par habitant,Terre-Neuve-et-Labrador,10,5.18
2015,Par habitant,Île-du-Prince-Édouard,11,4.91
2015,Par habitant,Nouvelle-Écosse,12,3.2
2015,Par habitant,Nouveau-Brunswick,13,3.7
2015,Par habitant,Québec,24,7.12
2015,Par habitant,Ontario,35,7.47
2015,Par habitant,Manitoba,46,5.88
2015,Par habitant,Saskatchewan,47,3.96
2015,Par habitant,Alberta,48,6.76
2015,Par habitant,Colombie-Britannique,59,3.93
2015,Par habitant,Yukon,60,0.47
2015,Par habitant,Territoires du Nord-Ouest,61,
2015,Par habitant,Nunavut,62,
2016,Par habitant,,,6.28
2016,Par habitant,Terre-Neuve-et-Labrador,10,3.15
2016,Par habitant,Île-du-Prince-Édouard,11,4.78
2016,Par habitant,Nouvelle-Écosse,12,3.68
2016,Par habitant,Nouveau-Brunswick,13,4.55
2016,Par habitant,Québec,24,7.21
2016,Par habitant,Ontario,35,7.39
2016,Par habitant,Manitoba,46,5.27
2016,Par habitant,Saskatchewan,47,4.13
2016,Par habitant,Alberta,48,5.9
2016,Par habitant,Colombie-Britannique,59,3.99
2016,Par habitant,Yukon,60,0.49
2016,Par habitant,Territoires du Nord-Ouest,61,
2016,Par habitant,Nunavut,62,
2017,Par habitant,,,6.61
2017,Par habitant,Terre-Neuve-et-Labrador,10,3.44
2017,Par habitant,Île-du-Prince-Édouard,11,4.98
2017,Par habitant,Nouvelle-Écosse,12,3.38
2017,Par habitant,Nouveau-Brunswick,13,5.22
2017,Par habitant,Québec,24,7.62
2017,Par habitant,Ontario,35,7.65
2017,Par habitant,Manitoba,46,5.47
2017,Par habitant,Saskatchewan,47,4.13
2017,Par habitant,Alberta,48,6.37
2017,Par habitant,Colombie-Britannique,59,4.42
2017,Par habitant,Yukon,60,0.48
2017,Par habitant,Territoires du Nord-Ouest,61,0.34
2017,Par habitant,Nunavut,62,0.29
2018,Par habitant,,,6.96
2018,Par habitant,Terre-Neuve-et-Labrador,10,3.4
2018,Par habitant,Île-du-Prince-Édouard,11,5.32
2018,Par habitant,Nouvelle-Écosse,12,3.01
2018,Par habitant,Nouveau-Brunswick,13,5.78
2018,Par habitant,Québec,24,7.86
2018,Par habitant,Ontario,35,7.96
2018,Par habitant,Manitoba,46,5.8
2018,Par habitant,Saskatchewan,47,4.58
2018,Par habitant,Alberta,48,7.35
2018,Par habitant,Colombie-Britannique,59,4.64
2018,Par habitant,Yukon,60,0.49
2018,Par habitant,Territoires du Nord-Ouest,61,0.27
2018,Par habitant,Nunavut,62,0.34
2019,Par habitant,,,6.84
2019,Par habitant,Terre-Neuve-et-Labrador,10,3.55
2019,Par habitant,Île-du-Prince-Édouard,11,5.38
2019,Par habitant,Nouvelle-Écosse,12,3.0
2019,Par habitant,Nouveau-Brunswick,13,5.29
2019,Par habitant,Québec,24,8.22
2019,Par habitant,Ontario,35,7.76
2019,Par habitant,Manitoba,46,5.91
2019,Par habitant,Saskatchewan,47,4.72
2019,Par habitant,Alberta,48,6.8
2019,Par habitant,Colombie-Britannique,59,4.18
2019,Par habitant,Yukon,60,0.48
2019,Par habitant,Territoires du Nord-Ouest,61,0.31
2019,Par habitant,Nunavut,62,0.4
2020,Par habitant,,,6.21
2020,Par habitant,Terre-Neuve-et-Labrador,10,2.93
2020,Par habitant,Île-du-Prince-Édouard,11,5.84
2020,Par habitant,Nouvelle-Écosse,12,2.94
2020,Par habitant,Nouveau-Brunswick,13,5.41
2020,Par habitant,Québec,24,7.26
2020,Par habitant,Ontario,35,7.01
2020,Par habitant,Manitoba,46,5.75
2020,Par habitant,Saskatchewan,47,4.27
2020,Par habitant,Alberta,48,5.86
2020,Par habitant,Colombie-Britannique,59,4.28
2020,Par habitant,Yukon,60,0.53
2020,Par habitant,Territoires du Nord-Ouest,61,
2020,Par habitant,Nunavut,62,
2021,Par habitant,,,7.69
2021,Par habitant,Terre-Neuve-et-Labrador,10,3.88
2021,Par habitant,Île-du-Prince-Édouard,11,5.75
2021,Par habitant,Nouvelle-Écosse,12,3.48
