Year,Industrie,Taille,Value
2019,Produits alimentaires,1-9 employés,0.1253336637594767
2019,Produits alimentaires,10-19 employés,0.3139791691496602
2019,Produits alimentaires,20-49 employés,1.143469966955311
2019,Produits alimentaires,50-249 employés,5.809854203807841
2019,Produits alimentaires,250 employés et plus,7.126249876693117
2019,Produits alimentaires,All enterprises,14.518886880365406
2019,Boissons,1-9 employés,0.0329364705820116
2019,Boissons,10-19 employés,0.0643812585050631
2019,Boissons,20-49 employés,0.2789282266805289
2019,Boissons,50-249 employés,0.8911831221583014
2019,Boissons,250 employés et plus,2.5972124825775547
2019,Boissons,All enterprises,3.8646415605034594
2019,Textiles,1-9 employés,0.0550724289853485
2019,Textiles,20-49 employés,0.2147255531072245
2019,Textiles,50-249 employés,0.6408002212211069
2019,Textiles,All enterprises,1.308345160939989
2019,"Produits du bois, à l’exclusion des meubles",1-9 employés,0.0396684896377095
2019,"Produits du bois, à l’exclusion des meubles",10-19 employés,0.0737132284869553
2019,"Produits du bois, à l’exclusion des meubles",20-49 employés,0.4191569496693197
2019,"Produits du bois, à l’exclusion des meubles",50-249 employés,3.13242046433716
2019,"Produits du bois, à l’exclusion des meubles",250 employés et plus,0.7824183093840505
2019,"Produits du bois, à l’exclusion des meubles",All enterprises,4.447377445405002
2019,Papier et produits du papier,1-9 employés,0.0118224772967521
2019,Papier et produits du papier,20-49 employés,0.1461183770978118
2019,Papier et produits du papier,50-249 employés,1.904573456205596
2019,Papier et produits du papier,All enterprises,4.514351754318541
2019,Impression et reproduction de supports enregistrés,1-9 employés,0.035700446892153
2019,Impression et reproduction de supports enregistrés,10-19 employés,0.0443416688268061
2019,Impression et reproduction de supports enregistrés,20-49 employés,0.2321805721563876
2019,Impression et reproduction de supports enregistrés,50-249 employés,1.0306401346557847
2019,Impression et reproduction de supports enregistrés,250 employés et plus,0.678154894139679
2019,Impression et reproduction de supports enregistrés,All enterprises,2.0210177166708103
2019,Coke et produits pétroliers raffinés,1-9 employés,0.2426201569179285
2019,Coke et produits pétroliers raffinés,10-19 employés,0.2173835010566271
2019,Coke et produits pétroliers raffinés,20-49 employés,1.0464185768471836
2019,Coke et produits pétroliers raffinés,50-249 employés,5.273659809766652
2019,Coke et produits pétroliers raffinés,250 employés et plus,8.277315555462893
2019,Coke et produits pétroliers raffinés,All enterprises,15.057397603941087
2019,Produits en caoutchouc et en plastique,1-9 employés,0.0281233983719446
2019,Produits en caoutchouc et en plastique,10-19 employés,0.0773906054002347
2019,Produits en caoutchouc et en plastique,20-49 employés,0.3440941253955545
2019,Produits en caoutchouc et en plastique,50-249 employés,2.3788057210971
2019,Produits en caoutchouc et en plastique,250 employés et plus,2.0912997580228825
2019,Produits en caoutchouc et en plastique,All enterprises,4.919713604397909
2019,Autres produits minéraux non métalliques,1-9 employés,0.1510229025615779
2019,Autres produits minéraux non métalliques,20-49 employés,0.5345334931058616
2019,Autres produits minéraux non métalliques,50-249 employés,1.9698933484921708
2019,Autres produits minéraux non métalliques,All enterprises,3.27030588197952
2019,Métaux de base,1-9 employés,0.0140231122999744
2019,Métaux de base,10-19 employés,0.0311069815190598
2019,Métaux de base,20-49 employés,0.1681482098952335
2019,Métaux de base,50-249 employés,1.1126699728989362
2019,Métaux de base,250 employés et plus,3.669270376443079
2019,Métaux de base,All enterprises,4.9952186491664765
2019,"Ouvrages en métaux, à l’exception des machines",1-9 employés,0.0938594611154659
2019,"Ouvrages en métaux, à l’exception des machines",10-19 employés,0.1445764886991769
2019,"Ouvrages en métaux, à l’exception des machines",20-49 employés,0.8720341582628682
2019,"Ouvrages en métaux, à l’exception des machines",50-249 employés,4.519916286684381
2019,"Ouvrages en métaux, à l’exception des machines",250 employés et plus,2.565551822032303
2019,"Ouvrages en métaux, à l’exception des machines",All enterprises,8.195938216794195
2019,"Produits informatiques, électroniques et optiques",1-9 employés,0.0214662425428508
2019,"Produits informatiques, électroniques et optiques",10-19 employés,0.0408160994135104
2019,"Produits informatiques, électroniques et optiques",20-49 employés,0.17795610555007
2019,"Produits informatiques, électroniques et optiques",50-249 employés,1.3055481251596766
2019,"Produits informatiques, électroniques et optiques",250 employés et plus,1.7836412647225308
2019,"Produits informatiques, électroniques et optiques",All enterprises,3.3294278373886383
2019,Matériel électrique,1-9 employés,0.0181453975647318
2019,Matériel électrique,20-49 employés,0.1884451686573661
2019,Matériel électrique,50-249 employés,1.0987651807499983
2019,Matériel électrique,All enterprises,1.8866252718586152
2019,Machines et équipements n.c.a.,1-9 employés,0.0518663644338448
2019,Machines et équipements n.c.a.,10-19 employés,0.1007522731254475
2019,Machines et équipements n.c.a.,20-49 employés,0.5661800803291834
2019,Machines et équipements n.c.a.,50-249 employés,3.733123574191224
2019,Machines et équipements n.c.a.,250 employés et plus,3.1775017060693744
2019,Machines et équipements n.c.a.,All enterprises,7.629423994259267
2019,"Véhicules automobiles, remorques et semi-remorques",1-9 employés,0.0265614541281277
2019,"Véhicules automobiles, remorques et semi-remorques",10-19 employés,0.0509231329003926
2019,"Véhicules automobiles, remorques et semi-remorques",20-49 employés,0.2445258706399541
2019,"Véhicules automobiles, remorques et semi-remorques",50-249 employés,2.2282415084734
2019,"Véhicules automobiles, remorques et semi-remorques",250 employés et plus,12.163318979426654
2019,"Véhicules automobiles, remorques et semi-remorques",All enterprises,14.713570945568527
2019,Mobilier,1-9 employés,0.0415701424011685
2019,Mobilier,10-19 employés,0.056505484472357
2019,Mobilier,20-49 employés,0.2794037517033464
2019,Mobilier,50-249 employés,1.2813150550781118
2019,Mobilier,250 employés et plus,1.0951597886061015
2019,Mobilier,All enterprises,2.7539542222610858
2019,Autres industries manufacturières,1-9 employés,0.0550817839713187
2019,Autres industries manufacturières,10-19 employés,0.0929858260098639
2019,Autres industries manufacturières,20-49 employés,0.3412088182237149
2019,Autres industries manufacturières,50-249 employés,1.254177115985022
2019,Autres industries manufacturières,250 employés et plus,0.8303497138813521
2019,Autres industries manufacturières,All enterprises,2.5738032541814646
2019,Total de l’industrie manufacturière,1-9 employés,1.0448743856827716
2019,Total de l’industrie manufacturière,10-19 employés,1.667849811126529
2019,Total de l’industrie manufacturière,20-49 employés,7.197527996497308
2019,Total de l’industrie manufacturière,50-249 employés,39.56558730096246
2019,Total de l’industrie manufacturière,250 employés et plus,50.52416050184112
2020,Produits alimentaires,1-9 employés,0.1333247821839736
2020,Produits alimentaires,10-19 employés,0.3094556607118705
2020,Produits alimentaires,20-49 employés,1.2463337295363055
2020,Produits alimentaires,50-249 employés,6.534101800449606
2020,Produits alimentaires,250 employés et plus,8.599822592143362
2020,Produits alimentaires,All enterprises,16.823038560803994
2020,Boissons,1-9 employés,0.0447840340071164
2020,Boissons,10-19 employés,0.0938167372611365
2020,Boissons,20-49 employés,0.3054979618606919
