Year,Series,"Tranches d'effectif
",Géographie,Industries,Âge de la personne principalement responsable de la prise de décision,"Information démographique, l’entreprise est majoritairement détenue
",Value
2020,"Request rate, line of credit",,,,,,7.3
2020,"Request rate, term loan",,,,,,4.8
2020,"Overall approval rate, line of credit",,,,,,83.1
2020,"Overall approval rate, term loan",,,,,,89.0
2020,"Request rate, line of credit",1 à 4 employés,,,,,5.3
2020,"Request rate, term loan",1 à 4 employés,,,,,3.0
2020,"Overall approval rate, line of credit",1 à 4 employés,,,,,79.3
2020,"Overall approval rate, term loan",1 à 4 employés,,,,,84.2
2020,"Request rate, line of credit",5 à 19 employés,,,,,8.4
2020,"Request rate, term loan",5 à 19 employés,,,,,6.5
2020,"Overall approval rate, line of credit",5 à 19 employés,,,,,84.6
2020,"Overall approval rate, term loan",5 à 19 employés,,,,,90.3
2020,"Request rate, line of credit",20 à 99 employés,,,,,13.6
2020,"Request rate, term loan",20 à 99 employés,,,,,8.6
2020,"Overall approval rate, line of credit",20 à 99 employés,,,,,86.7
2020,"Overall approval rate, term loan",20 à 99 employés,,,,,93.8
2020,"Request rate, line of credit",100 à 499 employés,,,,,11.7
2020,"Request rate, term loan",100 à 499 employés,,,,,10.4
2020,"Overall approval rate, line of credit",100 à 499 employés,,,,,92.0
2020,"Overall approval rate, term loan",100 à 499 employés,,,,,96.3
2020,"Request rate, line of credit",,Région de l'Atlantique,,,,7.4
2020,"Request rate, term loan",,Région de l'Atlantique,,,,3.7
2020,"Overall approval rate, line of credit",,Région de l'Atlantique,,,,80.5
2020,"Overall approval rate, term loan",,Région de l'Atlantique,,,,97.6
2020,"Request rate, line of credit",,"Région de Québec
",,,,7.7
2020,"Request rate, term loan",,"Région de Québec
",,,,5.9
2020,"Overall approval rate, line of credit",,"Région de Québec
",,,,93.5
2020,"Overall approval rate, term loan",,"Région de Québec
",,,,97.2
2020,"Request rate, line of credit",,"Région de l'Ontario
",,,,7.1
2020,"Request rate, term loan",,"Région de l'Ontario
",,,,4.4
2020,"Overall approval rate, line of credit",,"Région de l'Ontario
",,,,83.6
2020,"Overall approval rate, term loan",,"Région de l'Ontario
",,,,90.9
2020,"Request rate, line of credit",,Région des Prairies,,,,6.9
2020,"Request rate, term loan",,Région des Prairies,,,,7.1
2020,"Overall approval rate, line of credit",,Région des Prairies,,,,79.5
2020,"Overall approval rate, term loan",,Région des Prairies,,,,80.5
2020,"Request rate, line of credit",,Région de la Colombie-Britannique et des Territoires,,,,7.4
2020,"Request rate, term loan",,Région de la Colombie-Britannique et des Territoires,,,,2.4
2020,"Overall approval rate, line of credit",,Région de la Colombie-Britannique et des Territoires,,,,72.8
2020,"Overall approval rate, term loan",,Région de la Colombie-Britannique et des Territoires,,,,80.8
2020,"Request rate, line of credit",,,Construction (SCIAN 23),,,7.4
2020,"Request rate, term loan",,,Construction (SCIAN 23),,,3.2
2020,"Overall approval rate, line of credit",,,Construction (SCIAN 23),,,69.8
2020,"Overall approval rate, term loan",,,Construction (SCIAN 23),,,94.1
2020,"Request rate, line of credit",,,Fabrication (SCIAN 31-33),,,9.3
2020,"Request rate, term loan",,,Fabrication (SCIAN 31-33),,,8.4
2020,"Overall approval rate, line of credit",,,Fabrication (SCIAN 31-33),,,78.4
2020,"Overall approval rate, term loan",,,Fabrication (SCIAN 31-33),,,87.1
2020,"Request rate, line of credit",,,Commerce de gros (SCIAN 41),,,7.6
2020,"Request rate, term loan",,,Commerce de gros (SCIAN 41),,,3.6
2020,"Overall approval rate, line of credit",,,Commerce de gros (SCIAN 41),,,87.9
2020,"Overall approval rate, term loan",,,Commerce de gros (SCIAN 41),,,96.1
2020,"Request rate, line of credit",,,Commerce de détail (SCIAN 44-45),,,5.5
2020,"Request rate, term loan",,,Commerce de détail (SCIAN 44-45),,,4.5
2020,"Overall approval rate, line of credit",,,Commerce de détail (SCIAN 44-45),,,91.3
2020,"Overall approval rate, term loan",,,Commerce de détail (SCIAN 44-45),,,84.6
2020,"Request rate, line of credit",,,Transport et entreposage (SCIAN 48-49),,,8.7
