Year,Geography,Science type,GeoCode,Value
2015,,,,1.69
2016,,,,1.73
2017,,,,1.69
2018,,,,1.74
2019,,,,1.76
2020,,,,1.89
2021,,,,1.7
2015,Canada,Natural sciences and engineering,,1.52
2015,Canada,"Social sciences, humanities and the arts",,0.18
2015,Newfoundland and Labrador,Total sciences,10,1.19
2015,Newfoundland and Labrador,Natural sciences and engineering,,1.02
2015,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.17
2015,Prince Edward Island,Total sciences,11,1.3
2015,Prince Edward Island,Natural sciences and engineering,,1.08
2015,Prince Edward Island,"Social sciences, humanities and the arts",,0.21
2015,Nova Scotia,Total sciences,12,1.51
2015,Nova Scotia,Natural sciences and engineering,,1.23
2015,Nova Scotia,"Social sciences, humanities and the arts",,0.28
2015,New Brunswick,Total sciences,13,0.92
2015,New Brunswick,Natural sciences and engineering,,0.72
2015,New Brunswick,"Social sciences, humanities and the arts",,0.2
2015,Quebec,Total sciences,24,2.26
2015,Quebec,Natural sciences and engineering,,2.04
2015,Quebec,"Social sciences, humanities and the arts",,0.23
2015,Ontario,Total sciences,35,1.93
2015,Ontario,Natural sciences and engineering,,1.73
2015,Ontario,"Social sciences, humanities and the arts",,0.2
2015,Manitoba,Total sciences,46,1.22
2015,Manitoba,Natural sciences and engineering,,1.05
2015,Manitoba,"Social sciences, humanities and the arts",,0.17
2015,Saskatchewan,Total sciences,47,0.96
2015,Saskatchewan,Natural sciences and engineering,,0.87
2015,Saskatchewan,"Social sciences, humanities and the arts",,0.08
2015,Alberta,Total sciences,48,1.09
2015,Alberta,Natural sciences and engineering,,1.01
2015,Alberta,"Social sciences, humanities and the arts",,0.08
2015,British Columbia,Total sciences,59,1.42
2015,British Columbia,Natural sciences and engineering,,1.26
2015,British Columbia,"Social sciences, humanities and the arts",,0.16
2015,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2015,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2015,"National Capital Region, Ontario/Quebec",Total sciences,,
2015,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2015,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2015,"National Capital Region, Quebec",Total sciences,,
2015,"National Capital Region, Quebec",Natural sciences and engineering,,
2015,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2015,"National Capital Region, Ontario",Total sciences,,
2015,"National Capital Region, Ontario",Natural sciences and engineering,,
2015,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2016,Canada,Natural sciences and engineering,,1.55
2016,Canada,"Social sciences, humanities and the arts",,0.18
2016,Newfoundland and Labrador,Total sciences,10,1.15
2016,Newfoundland and Labrador,Natural sciences and engineering,,0.98
2016,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.17
2016,Prince Edward Island,Total sciences,11,1.32
2016,Prince Edward Island,Natural sciences and engineering,,1.13
2016,Prince Edward Island,"Social sciences, humanities and the arts",,0.19
2016,Nova Scotia,Total sciences,12,1.54
2016,Nova Scotia,Natural sciences and engineering,,1.24
2016,Nova Scotia,"Social sciences, humanities and the arts",,0.29
2016,New Brunswick,Total sciences,13,1.05
2016,New Brunswick,Natural sciences and engineering,,0.86
2016,New Brunswick,"Social sciences, humanities and the arts",,0.2
2016,Quebec,Total sciences,24,2.21
2016,Quebec,Natural sciences and engineering,,1.99
2016,Quebec,"Social sciences, humanities and the arts",,0.22
2016,Ontario,Total sciences,35,1.97
2016,Ontario,Natural sciences and engineering,,1.78
2016,Ontario,"Social sciences, humanities and the arts",,0.19
2016,Manitoba,Total sciences,46,1.22
2016,Manitoba,Natural sciences and engineering,,1.04
