Year,Value,Units,Series,GeoCode
2015,85.07,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2016,84.38,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2017,84.4,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2018,84.67,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2019,84.52,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2020,83.33,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2021,83.62,Pourcentage,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",
2015,90.0,Pourcentage,"Portion de familles économiques qui reçoivent des prestations pour enfants
",
2018,90.0,Pourcentage,"Portion de familles économiques qui reçoivent des prestations pour enfants
",
2017,42.1,Ratio,"Ratio de chômeurs recevant des prestations
",
2018,39.3,Ratio,"Ratio de chômeurs recevant des prestations
",
2017,84.3,Pourcentage,"Proportion de chômeurs admissibles aux prestations d'assurance-emploi
",
2018,87.4,Pourcentage,"Proportion de chômeurs admissibles aux prestations d'assurance-emploi
",
2017,93.4,Pourcentage,"Proportion de personnes plus âgées recevant une pension
",
2018,93.7,Pourcentage,"Proportion de personnes plus âgées recevant une pension
",
2017,70.6,Pourcentage,"Pourcentage de mères d'enfants de 12 mois ou moins qui ont reçu des prestations de maternité ou parentales
",
2018,66.6,Pourcentage,"Pourcentage de mères d'enfants de 12 mois ou moins qui ont reçu des prestations de maternité ou parentales
",
