Year,Value,Units,Series
2015,1995.19,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2016,4845.27,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2017,920.81,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2018,5815.98,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2019,29.8,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2020,1330.34,Taux pour 100 000 habitants,Taux pour 100 000 habitants
2015,712343.0,Nombre,Nombre de décès
2016,1749602.0,Nombre,Nombre de décès
2017,336511.0,Nombre,Nombre de décès
2018,2155700.0,Nombre,Nombre de décès
2019,12992.0,Nombre,Nombre de décès
2020,505626.0,Nombre,Nombre de décès
