Year,Value,Series
2015,22.91,Nombre de succursales de banques commerciales par 100 000 adultes
2016,22.34,Nombre de succursales de banques commerciales par 100 000 adultes
2017,20.83,Nombre de succursales de banques commerciales par 100 000 adultes
2018,20.18,Nombre de succursales de banques commerciales par 100 000 adultes
2019,19.76,Nombre de succursales de banques commerciales par 100 000 adultes
2020,20.19,Nombre de succursales de banques commerciales par 100 000 adultes
2021,20.7,Nombre de succursales de banques commerciales par 100 000 adultes
2022,19.77,Nombre de succursales de banques commerciales par 100 000 adultes
2015,222.14,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2016,224.76,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2017,229.25,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2018,220.53,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2019,214.43,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2020,210.45,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2021,212.5,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
2022,206.07,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes
