Year,Value,Units,Series
2015,1172780.8,Tonnes métriques,Volume de fret aérien
2016,1223213.3,Tonnes métriques,Volume de fret aérien
2017,1316626.7,Tonnes métriques,Volume de fret aérien
2018,1444698.9,Tonnes métriques,Volume de fret aérien
2019,1377025.8,Tonnes métriques,Volume de fret aérien
2020,1186628.5,Tonnes métriques,Volume de fret aérien
2021,1279816.9,Tonnes métriques,Volume de fret aérien
2015,133426703.0,Number of passengers,Passagers aériens
2016,140892544.0,Number of passengers,Passagers aériens
2017,150808451.0,Number of passengers,Passagers aériens
2018,160641587.0,Number of passengers,Passagers aériens
2019,162864077.0,Number of passengers,Passagers aériens
2020,46349535.0,Number of passengers,Passagers aériens
2021,46163940.0,Number of passengers,Passagers aériens
2015,304908351.0,Tonnes métriques,Volume de fret ferroviaire
2016,292888995.0,Tonnes métriques,Volume de fret ferroviaire
2017,311701985.0,Tonnes métriques,Volume de fret ferroviaire
2018,328539280.0,Tonnes métriques,Volume de fret ferroviaire
2019,330244510.0,Tonnes métriques,Volume de fret ferroviaire
2020,321764297.0,Tonnes métriques,Volume de fret ferroviaire
2015,3921000.0,Number of passengers,Voyageurs ferroviaires
2016,4080000.0,Number of passengers,Voyageurs ferroviaires
2017,4496000.0,Number of passengers,Voyageurs ferroviaires
2018,4838000.0,Number of passengers,Voyageurs ferroviaires
2019,5102000.0,Number of passengers,Voyageurs ferroviaires
2020,1125000.0,Number of passengers,Voyageurs ferroviaires
2015,729215433.594,Metric tonnes of cargo,Volume de fret routier
2016,755515777.679,Metric tonnes of cargo,Volume de fret routier
2017,751948221.713,Metric tonnes of cargo,Volume de fret routier
2018,753715221.437,Metric tonnes of cargo,Volume de fret routier
