Year,Value,Units,GeoCode
2015,114.90543502671,Proportion du PIB,
2016,112.030269040031,Proportion du PIB,
2017,112.86501146152,Proportion du PIB,
2018,115.386516823778,Proportion du PIB,
2019,111.119583949086,Proportion du PIB,
2020,106.8217172524,Proportion du PIB,
2021,117.157081276911,Proportion du PIB,
2015,6.40599048682533,Par habitant,
2016,6.28425518756331,Par habitant,
2017,6.61107978615872,Par habitant,
2018,6.95983181907803,Par habitant,
2019,6.8370677767722,Par habitant,
2020,6.21045828568223,Par habitant,
2021,7.69151074210355,Par habitant,
