Year,Geography,Sources of waste for disposal,GeoCode,Value
2002,,,,24081371.0
2004,,,,25226766.0
2006,,,,26417011.0
2008,,,,25926476.0
2010,,,,24952415.0
2012,,,,24681474.0
2014,,,,24766650.0
2016,,,,24940747.0
2018,,,,25733021.0
2020,,,,26107720.0
2002,Canada,Residential sources of waste for disposal,,8446766.0
2002,Canada,Non-residential sources of waste for disposal,,15634606.0
2002,Newfoundland and Labrador,All sources of waste for disposal,10,376594.0
2002,Newfoundland and Labrador,Residential sources of waste for disposal,,216218.0
2002,Newfoundland and Labrador,Non-residential sources of waste for disposal,,160376.0
2002,Prince Edward Island,All sources of waste for disposal,11,
2002,Prince Edward Island,Residential sources of waste for disposal,,
2002,Prince Edward Island,Non-residential sources of waste for disposal,,
2002,Nova Scotia,All sources of waste for disposal,12,389194.0
2002,Nova Scotia,Residential sources of waste for disposal,,169649.0
2002,Nova Scotia,Non-residential sources of waste for disposal,,219546.0
2002,New Brunswick,All sources of waste for disposal,13,413606.0
2002,New Brunswick,Residential sources of waste for disposal,,203506.0
2002,New Brunswick,Non-residential sources of waste for disposal,,210100.0
2002,Quebec,All sources of waste for disposal,24,5846459.0
2002,Quebec,Residential sources of waste for disposal,,1875235.0
2002,Quebec,Non-residential sources of waste for disposal,,3971225.0
2002,Ontario,All sources of waste for disposal,35,9645633.0
2002,Ontario,Residential sources of waste for disposal,,3438408.0
2002,Ontario,Non-residential sources of waste for disposal,,6207225.0
2002,Manitoba,All sources of waste for disposal,46,896556.0
2002,Manitoba,Residential sources of waste for disposal,,412612.0
2002,Manitoba,Non-residential sources of waste for disposal,,483944.0
2002,Saskatchewan,All sources of waste for disposal,47,795124.0
2002,Saskatchewan,Residential sources of waste for disposal,,278692.0
2002,Saskatchewan,Non-residential sources of waste for disposal,,516432.0
2002,Alberta,All sources of waste for disposal,48,2890294.0
2002,Alberta,Residential sources of waste for disposal,,866398.0
2002,Alberta,Non-residential sources of waste for disposal,,2023896.0
2002,British Columbia,All sources of waste for disposal,59,2687882.0
2002,British Columbia,Residential sources of waste for disposal,,929101.0
2002,British Columbia,Non-residential sources of waste for disposal,,1758781.0
2002,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2002,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2002,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2004,Canada,Residential sources of waste for disposal,,8961583.0
2004,Canada,Non-residential sources of waste for disposal,,16265183.0
2004,Newfoundland and Labrador,All sources of waste for disposal,10,400048.0
2004,Newfoundland and Labrador,Residential sources of waste for disposal,,228004.0
2004,Newfoundland and Labrador,Non-residential sources of waste for disposal,,172044.0
2004,Prince Edward Island,All sources of waste for disposal,11,
2004,Prince Edward Island,Residential sources of waste for disposal,,
2004,Prince Edward Island,Non-residential sources of waste for disposal,,
2004,Nova Scotia,All sources of waste for disposal,12,399967.0
2004,Nova Scotia,Residential sources of waste for disposal,,179262.0
2004,Nova Scotia,Non-residential sources of waste for disposal,,220705.0
2004,New Brunswick,All sources of waste for disposal,13,442173.0
2004,New Brunswick,Residential sources of waste for disposal,,208120.0
2004,New Brunswick,Non-residential sources of waste for disposal,,234053.0
2004,Quebec,All sources of waste for disposal,24,6454000.0
2004,Quebec,Residential sources of waste for disposal,,2209000.0
2004,Quebec,Non-residential sources of waste for disposal,,4245000.0
2004,Ontario,All sources of waste for disposal,35,9809264.0
2004,Ontario,Residential sources of waste for disposal,,3489917.0
2004,Ontario,Non-residential sources of waste for disposal,,6319347.0
2004,Manitoba,All sources of waste for disposal,46,928117.0
2004,Manitoba,Residential sources of waste for disposal,,450658.0
2004,Manitoba,Non-residential sources of waste for disposal,,477459.0
2004,Saskatchewan,All sources of waste for disposal,47,794933.0
2004,Saskatchewan,Residential sources of waste for disposal,,279420.0
2004,Saskatchewan,Non-residential sources of waste for disposal,,515513.0
2004,Alberta,All sources of waste for disposal,48,3077311.0
2004,Alberta,Residential sources of waste for disposal,,943420.0
2004,Alberta,Non-residential sources of waste for disposal,,2133890.0
2004,British Columbia,All sources of waste for disposal,59,2767657.0
2004,British Columbia,Residential sources of waste for disposal,,919323.0
2004,British Columbia,Non-residential sources of waste for disposal,,1848335.0
2004,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2004,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2004,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2006,Canada,Residential sources of waste for disposal,,9748217.0
2006,Canada,Non-residential sources of waste for disposal,,16668793.0
2006,Newfoundland and Labrador,All sources of waste for disposal,10,428809.0
2006,Newfoundland and Labrador,Residential sources of waste for disposal,,227618.0
2006,Newfoundland and Labrador,Non-residential sources of waste for disposal,,201192.0
2006,Prince Edward Island,All sources of waste for disposal,11,
2006,Prince Edward Island,Residential sources of waste for disposal,,
2006,Prince Edward Island,Non-residential sources of waste for disposal,,
2006,Nova Scotia,All sources of waste for disposal,12,359105.0
2006,Nova Scotia,Residential sources of waste for disposal,,169337.0
2006,Nova Scotia,Non-residential sources of waste for disposal,,189768.0
2006,New Brunswick,All sources of waste for disposal,13,511706.0
2006,New Brunswick,Residential sources of waste for disposal,,263580.0
2006,New Brunswick,Non-residential sources of waste for disposal,,248125.0
2006,Quebec,All sources of waste for disposal,24,6808440.0
2006,Quebec,Residential sources of waste for disposal,,2980427.0
2006,Quebec,Non-residential sources of waste for disposal,,3828013.0
2006,Ontario,All sources of waste for disposal,35,9710459.0
2006,Ontario,Residential sources of waste for disposal,,3411642.0
2006,Ontario,Non-residential sources of waste for disposal,,6298818.0
2006,Manitoba,All sources of waste for disposal,46,904272.0
2006,Manitoba,Residential sources of waste for disposal,,425304.0
2006,Manitoba,Non-residential sources of waste for disposal,,478968.0
2006,Saskatchewan,All sources of waste for disposal,47,833753.0
2006,Saskatchewan,Residential sources of waste for disposal,,296062.0
2006,Saskatchewan,Non-residential sources of waste for disposal,,537691.0
2006,Alberta,All sources of waste for disposal,48,3819872.0
2006,Alberta,Residential sources of waste for disposal,,973683.0
2006,Alberta,Non-residential sources of waste for disposal,,2846189.0
2006,British Columbia,All sources of waste for disposal,59,2917080.0
2006,British Columbia,Residential sources of waste for disposal,,956968.0
2006,British Columbia,Non-residential sources of waste for disposal,,1960113.0
2006,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2006,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2006,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2008,Canada,Residential sources of waste for disposal,,9360400.0
2008,Canada,Non-residential sources of waste for disposal,,16566076.0
2008,Newfoundland and Labrador,All sources of waste for disposal,10,399184.0
2008,Newfoundland and Labrador,Residential sources of waste for disposal,,210964.0
2008,Newfoundland and Labrador,Non-residential sources of waste for disposal,,188220.0
2008,Prince Edward Island,All sources of waste for disposal,11,
2008,Prince Edward Island,Residential sources of waste for disposal,,
2008,Prince Edward Island,Non-residential sources of waste for disposal,,
2008,Nova Scotia,All sources of waste for disposal,12,354231.0
2008,Nova Scotia,Residential sources of waste for disposal,,148060.0
2008,Nova Scotia,Non-residential sources of waste for disposal,,206171.0
2008,New Brunswick,All sources of waste for disposal,13,479461.0
2008,New Brunswick,Residential sources of waste for disposal,,233703.0
2008,New Brunswick,Non-residential sources of waste for disposal,,245758.0
2008,Quebec,All sources of waste for disposal,24,6146319.0
2008,Quebec,Residential sources of waste for disposal,,2848822.0
2008,Quebec,Non-residential sources of waste for disposal,,3297497.0
2008,Ontario,All sources of waste for disposal,35,9631559.0
2008,Ontario,Residential sources of waste for disposal,,3231399.0
2008,Ontario,Non-residential sources of waste for disposal,,6400160.0
2008,Manitoba,All sources of waste for disposal,46,945441.0
2008,Manitoba,Residential sources of waste for disposal,,400297.0
2008,Manitoba,Non-residential sources of waste for disposal,,545144.0
2008,Saskatchewan,All sources of waste for disposal,47,902943.0
2008,Saskatchewan,Residential sources of waste for disposal,,289760.0
2008,Saskatchewan,Non-residential sources of waste for disposal,,613182.0
2008,Alberta,All sources of waste for disposal,48,4147558.0
2008,Alberta,Residential sources of waste for disposal,,993976.0
2008,Alberta,Non-residential sources of waste for disposal,,3153581.0
2008,British Columbia,All sources of waste for disposal,59,2811568.0
2008,British Columbia,Residential sources of waste for disposal,,960472.0
2008,British Columbia,Non-residential sources of waste for disposal,,1851097.0
2008,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2008,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2008,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2010,Canada,Residential sources of waste for disposal,,9448165.0
2010,Canada,Non-residential sources of waste for disposal,,15504250.0
2010,Newfoundland and Labrador,All sources of waste for disposal,10,394235.0
2010,Newfoundland and Labrador,Residential sources of waste for disposal,,
2010,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2010,Prince Edward Island,All sources of waste for disposal,11,
2010,Prince Edward Island,Residential sources of waste for disposal,,
2010,Prince Edward Island,Non-residential sources of waste for disposal,,
2010,Nova Scotia,All sources of waste for disposal,12,367246.0
2010,Nova Scotia,Residential sources of waste for disposal,,145589.0
2010,Nova Scotia,Non-residential sources of waste for disposal,,221657.0
2010,New Brunswick,All sources of waste for disposal,13,475265.0
2010,New Brunswick,Residential sources of waste for disposal,,219486.0
2010,New Brunswick,Non-residential sources of waste for disposal,,255779.0
2010,Quebec,All sources of waste for disposal,24,5795707.0
2010,Quebec,Residential sources of waste for disposal,,2853189.0
2010,Quebec,Non-residential sources of waste for disposal,,2942518.0
2010,Ontario,All sources of waste for disposal,35,9247415.0
2010,Ontario,Residential sources of waste for disposal,,3204264.0
2010,Ontario,Non-residential sources of waste for disposal,,6043151.0
2010,Manitoba,All sources of waste for disposal,46,1020481.0
2010,Manitoba,Residential sources of waste for disposal,,453754.0
2010,Manitoba,Non-residential sources of waste for disposal,,566727.0
2010,Saskatchewan,All sources of waste for disposal,47,937268.0
2010,Saskatchewan,Residential sources of waste for disposal,,283726.0
2010,Saskatchewan,Non-residential sources of waste for disposal,,653541.0
2010,Alberta,All sources of waste for disposal,48,3917492.0
2010,Alberta,Residential sources of waste for disposal,,1093155.0
2010,Alberta,Non-residential sources of waste for disposal,,2824337.0
2010,British Columbia,All sources of waste for disposal,59,2658271.0
2010,British Columbia,Residential sources of waste for disposal,,953761.0
2010,British Columbia,Non-residential sources of waste for disposal,,1704510.0
2010,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2010,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2010,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2012,Canada,Residential sources of waste for disposal,,9684615.0
2012,Canada,Non-residential sources of waste for disposal,,14996859.0
2012,Newfoundland and Labrador,All sources of waste for disposal,10,391571.0
2012,Newfoundland and Labrador,Residential sources of waste for disposal,,
2012,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2012,Prince Edward Island,All sources of waste for disposal,11,
2012,Prince Edward Island,Residential sources of waste for disposal,,
2012,Prince Edward Island,Non-residential sources of waste for disposal,,
2012,Nova Scotia,All sources of waste for disposal,12,365079.0
2012,Nova Scotia,Residential sources of waste for disposal,,145601.0
2012,Nova Scotia,Non-residential sources of waste for disposal,,219478.0
2012,New Brunswick,All sources of waste for disposal,13,492938.0
2012,New Brunswick,Residential sources of waste for disposal,,215755.0
2012,New Brunswick,Non-residential sources of waste for disposal,,277183.0
2012,Quebec,All sources of waste for disposal,24,5584621.0
2012,Quebec,Residential sources of waste for disposal,,2803335.0
2012,Quebec,Non-residential sources of waste for disposal,,2781286.0
2012,Ontario,All sources of waste for disposal,35,9208839.0
2012,Ontario,Residential sources of waste for disposal,,3388501.0
2012,Ontario,Non-residential sources of waste for disposal,,5820338.0
2012,Manitoba,All sources of waste for disposal,46,1017663.0
2012,Manitoba,Residential sources of waste for disposal,,444227.0
2012,Manitoba,Non-residential sources of waste for disposal,,573436.0
2012,Saskatchewan,All sources of waste for disposal,47,957670.0
