Year,Racialized groups,Sociodemographic characteristics,Value
2021,,,76.6
2021,Total visible minority,"Total, 15 years and over",79.0
2021,Total visible minority,Men+,81.5
2021,Total visible minority,Women+,76.0
2021,Total visible minority,15 to 24 years,78.0
2021,Total visible minority,25 to 64 years,80.4
2021,Total visible minority,65 years and over,75.0
2021,Total visible minority,Non-immigrants,79.0
2021,Total visible minority,Immigrants,78.0
2021,Total visible minority population,"Total, 15 years and over",77.0
2021,Total visible minority population,Men+,79.0
2021,Total visible minority population,Women+,75.0
2021,Total visible minority population,15 to 24 years,75.0
2021,Total visible minority population,25 to 64 years,78.0
2021,Total visible minority population,65 years and over,78.0
2021,Total visible minority population,Non-immigrants,72.0
2021,Total visible minority population,Immigrants,78.0
2021,South Asian,"Total, 15 years and over",81.0
2021,South Asian,Men+,83.6
2021,South Asian,Women+,78.0
2021,South Asian,15 to 24 years,80.0
2021,South Asian,25 to 64 years,80.5
2021,South Asian,65 years and over,85.5
2021,South Asian,Non-immigrants,71.0
2021,South Asian,Immigrants,83.2
2021,Chinese,"Total, 15 years and over",76.0
2021,Chinese,Men+,77.0
2021,Chinese,Women+,76.0
2021,Chinese,15 to 24 years,76.0
2021,Chinese,25 to 64 years,76.0
2021,Chinese,65 years and over,78.0
2021,Chinese,Non-immigrants,72.0
2021,Chinese,Immigrants,77.0
2021,Black,"Total, 15 years and over",75.0
2021,Black,Men+,77.0
2021,Black,Women+,74.0
2021,Black,15 to 24 years,75.0
2021,Black,25 to 64 years,76.0
2021,Black,65 years and over,76.0
2021,Black,Non-immigrants,76.0
2021,Black,Immigrants,74.0
2021,Filipino,"Total, 15 years and over",77.0
2021,Filipino,Men+,77.0
2021,Filipino,Women+,76.0
2021,Filipino,15 to 24 years,74.0
2021,Filipino,25 to 64 years,78.0
2021,Filipino,65 years and over,71.0
2021,Filipino,Non-immigrants,74.0
2021,Filipino,Immigrants,76.0
2021,Arab,"Total, 15 years and over",76.0
2021,Arab,Men+,80.0
2021,Arab,Women+,72.0
2021,Arab,15 to 24 years,70.0
2021,Arab,25 to 64 years,78.0
2021,Arab,65 years and over,67.0
2021,Arab,Non-immigrants,63.0
2021,Arab,Immigrants,79.0
2021,Latin American,"Total, 15 years and over",78.0
2021,Latin American,Men+,80.0
2021,Latin American,Women+,77.0
2021,Latin American,15 to 24 years,74.0
2021,Latin American,25 to 64 years,81.2
2021,Latin American,65 years and over,65.0
2021,Latin American,Non-immigrants,76.0
2021,Latin American,Immigrants,78.0
2021,Southeast Asian,"Total, 15 years and over",67.0
2021,Southeast Asian,Men+,75.0
2021,Southeast Asian,Women+,63.0
2021,Southeast Asian,15 to 24 years,57.0
2021,Southeast Asian,25 to 64 years,69.0
2021,Southeast Asian,65 years and over,78.0
2021,Southeast Asian,Non-immigrants,59.0
2021,Southeast Asian,Immigrants,66.0
2021,Not a visible minority,"Total, 15 years and over",80.0
2021,Not a visible minority,Men+,82.6
2021,Not a visible minority,Women+,77.0
2021,Not a visible minority,15 to 24 years,80.8
2021,Not a visible minority,25 to 64 years,81.6
2021,Not a visible minority,65 years and over,74.0
2021,Not a visible minority,Non-immigrants,80.0
2021,Not a visible minority,Immigrants,79.0
