Year,Series,Severity,Value
2000,Prevalence of anaemia in women of reproductive age,,9.3
2001,Prevalence of anaemia in women of reproductive age,,9.0
2002,Prevalence of anaemia in women of reproductive age,,8.9
2003,Prevalence of anaemia in women of reproductive age,,8.8
2004,Prevalence of anaemia in women of reproductive age,,8.8
2005,Prevalence of anaemia in women of reproductive age,,8.7
2006,Prevalence of anaemia in women of reproductive age,,8.7
2007,Prevalence of anaemia in women of reproductive age,,8.7
2008,Prevalence of anaemia in women of reproductive age,,8.7
2009,Prevalence of anaemia in women of reproductive age,,8.7
2010,Prevalence of anaemia in women of reproductive age,,8.7
2011,Prevalence of anaemia in women of reproductive age,,8.8
2012,Prevalence of anaemia in women of reproductive age,,8.8
2013,Prevalence of anaemia in women of reproductive age,,9.0
2014,Prevalence of anaemia in women of reproductive age,,9.1
2015,Prevalence of anaemia in women of reproductive age,,9.3
2016,Prevalence of anaemia in women of reproductive age,,9.5
2017,Prevalence of anaemia in women of reproductive age,,9.7
2018,Prevalence of anaemia in women of reproductive age,,10.0
2019,Prevalence of anaemia in women of reproductive age,,10.4
2000,Prevalence of anaemia in pregnant women,,15.7
2001,Prevalence of anaemia in pregnant women,,15.3
2002,Prevalence of anaemia in pregnant women,,15.1
2003,Prevalence of anaemia in pregnant women,,14.9
2004,Prevalence of anaemia in pregnant women,,14.8
2005,Prevalence of anaemia in pregnant women,,14.7
2006,Prevalence of anaemia in pregnant women,,14.6
2007,Prevalence of anaemia in pregnant women,,14.6
2008,Prevalence of anaemia in pregnant women,,14.6
2009,Prevalence of anaemia in pregnant women,,14.6
2010,Prevalence of anaemia in pregnant women,,14.6
2011,Prevalence of anaemia in pregnant women,,14.6
2012,Prevalence of anaemia in pregnant women,,14.7
2013,Prevalence of anaemia in pregnant women,,14.8
2014,Prevalence of anaemia in pregnant women,,15.0
2015,Prevalence of anaemia in pregnant women,,15.2
2016,Prevalence of anaemia in pregnant women,,15.4
2017,Prevalence of anaemia in pregnant women,,15.5
2018,Prevalence of anaemia in pregnant women,,15.7
2019,Prevalence of anaemia in pregnant women,,16.0
2000,Prevalence of anaemia in women of reproductive age,Severe,0.4
2001,Prevalence of anaemia in women of reproductive age,Severe,0.4
2002,Prevalence of anaemia in women of reproductive age,Severe,0.3
2003,Prevalence of anaemia in women of reproductive age,Severe,0.3
2004,Prevalence of anaemia in women of reproductive age,Severe,0.3
2005,Prevalence of anaemia in women of reproductive age,Severe,0.3
2006,Prevalence of anaemia in women of reproductive age,Severe,0.3
2007,Prevalence of anaemia in women of reproductive age,Severe,0.3
2008,Prevalence of anaemia in women of reproductive age,Severe,0.3
2009,Prevalence of anaemia in women of reproductive age,Severe,0.3
2010,Prevalence of anaemia in women of reproductive age,Severe,0.3
2011,Prevalence of anaemia in women of reproductive age,Severe,0.3
2012,Prevalence of anaemia in women of reproductive age,Severe,0.3
2013,Prevalence of anaemia in women of reproductive age,Severe,0.3
2014,Prevalence of anaemia in women of reproductive age,Severe,0.3
2015,Prevalence of anaemia in women of reproductive age,Severe,0.3
