Year,Series,Units,Sex,Value
2015,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Total,92.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Total,92.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Male,94.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Female,91.0
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Total,95.6
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Male,95.3
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Female,96.3
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Total,86.3
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Female,90.4
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Proportion of children achieving at least a minimum proficiency level,Male,82.1
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Total,83.7
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Female,83.9
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Proportion of children achieving at least a minimum proficiency level,Male,83.6
