Year,Geography,Occupation,Value
2015,,,34.9
2016,,,34.7
2017,,,34.6
2018,,,34.8
2019,,,35.2
2020,,,35.9
2021,,,35.7
2022,,,35.3
2023,,,35.3
2015,Canada,Legislative and senior management occupations,30.5
2015,Canada,Specialized middle management occupations,46.9
2015,Canada,Middle management occupations in retail and wholesale trade and customer services,41.5
2015,Canada,"Middle management occupations in trades, transportation, production and utilities",17.3
2015,Newfoundland and Labrador,Management occupations,39.1
2015,Newfoundland and Labrador,Legislative and senior management occupations,
2015,Newfoundland and Labrador,Specialized middle management occupations,48.1
2015,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,41.7
2015,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",20.5
2015,Prince Edward Island,Management occupations,35.4
2015,Prince Edward Island,Legislative and senior management occupations,
2015,Prince Edward Island,Specialized middle management occupations,52.9
2015,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,48.0
2015,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",14.3
2015,Nova Scotia,Management occupations,38.2
2015,Nova Scotia,Legislative and senior management occupations,
2015,Nova Scotia,Specialized middle management occupations,47.4
2015,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,44.8
2015,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",15.1
2015,New Brunswick,Management occupations,35.8
2015,New Brunswick,Legislative and senior management occupations,
2015,New Brunswick,Specialized middle management occupations,44.0
2015,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,41.0
2015,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",17.1
2015,Quebec,Management occupations,33.3
2015,Quebec,Legislative and senior management occupations,33.3
2015,Quebec,Specialized middle management occupations,50.0
2015,Quebec,Middle management occupations in retail and wholesale trade and customer services,35.4
2015,Quebec,"Middle management occupations in trades, transportation, production and utilities",15.2
2015,Ontario,Management occupations,36.6
2015,Ontario,Legislative and senior management occupations,26.4
2015,Ontario,Specialized middle management occupations,47.3
2015,Ontario,Middle management occupations in retail and wholesale trade and customer services,43.1
2015,Ontario,"Middle management occupations in trades, transportation, production and utilities",15.4
2015,Manitoba,Management occupations,31.6
2015,Manitoba,Legislative and senior management occupations,28.6
2015,Manitoba,Specialized middle management occupations,48.6
2015,Manitoba,Middle management occupations in retail and wholesale trade and customer services,39.0
2015,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.3
2015,Saskatchewan,Management occupations,30.7
2015,Saskatchewan,Legislative and senior management occupations,33.3
2015,Saskatchewan,Specialized middle management occupations,50.8
2015,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,44.1
2015,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.8
2015,Alberta,Management occupations,32.9
2015,Alberta,Legislative and senior management occupations,37.0
2015,Alberta,Specialized middle management occupations,40.6
2015,Alberta,Middle management occupations in retail and wholesale trade and customer services,44.8
2015,Alberta,"Middle management occupations in trades, transportation, production and utilities",19.6
2015,British Columbia,Management occupations,35.9
2015,British Columbia,Legislative and senior management occupations,28.0
2015,British Columbia,Specialized middle management occupations,44.6
2015,British Columbia,Middle management occupations in retail and wholesale trade and customer services,42.7
2015,British Columbia,"Middle management occupations in trades, transportation, production and utilities",21.0
2016,Canada,Legislative and senior management occupations,36.5
2016,Canada,Specialized middle management occupations,46.8
2016,Canada,Middle management occupations in retail and wholesale trade and customer services,40.2
2016,Canada,"Middle management occupations in trades, transportation, production and utilities",16.9
2016,Newfoundland and Labrador,Management occupations,36.6
2016,Newfoundland and Labrador,Legislative and senior management occupations,
2016,Newfoundland and Labrador,Specialized middle management occupations,44.2
2016,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,40.0
2016,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",19.4
2016,Prince Edward Island,Management occupations,32.2
2016,Prince Edward Island,Legislative and senior management occupations,
2016,Prince Edward Island,Specialized middle management occupations,57.1
2016,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,42.1
2016,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",12.0
2016,Nova Scotia,Management occupations,40.8
2016,Nova Scotia,Legislative and senior management occupations,45.5
2016,Nova Scotia,Specialized middle management occupations,53.0
2016,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,44.8
2016,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",16.0
2016,New Brunswick,Management occupations,38.1
2016,New Brunswick,Legislative and senior management occupations,
2016,New Brunswick,Specialized middle management occupations,55.4
2016,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,40.6
2016,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",15.9
2016,Quebec,Management occupations,35.3
2016,Quebec,Legislative and senior management occupations,39.7
2016,Quebec,Specialized middle management occupations,46.6
2016,Quebec,Middle management occupations in retail and wholesale trade and customer services,41.3
2016,Quebec,"Middle management occupations in trades, transportation, production and utilities",16.4
2016,Ontario,Management occupations,35.3
2016,Ontario,Legislative and senior management occupations,34.9
2016,Ontario,Specialized middle management occupations,46.1
2016,Ontario,Middle management occupations in retail and wholesale trade and customer services,38.8
2016,Ontario,"Middle management occupations in trades, transportation, production and utilities",16.3
2016,Manitoba,Management occupations,30.5
2016,Manitoba,Legislative and senior management occupations,
2016,Manitoba,Specialized middle management occupations,50.0
2016,Manitoba,Middle management occupations in retail and wholesale trade and customer services,36.4
2016,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.4
2016,Saskatchewan,Management occupations,31.2
2016,Saskatchewan,Legislative and senior management occupations,41.7
2016,Saskatchewan,Specialized middle management occupations,54.3
2016,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,42.9
2016,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.6
2016,Alberta,Management occupations,32.1
2016,Alberta,Legislative and senior management occupations,37.1
2016,Alberta,Specialized middle management occupations,44.2
2016,Alberta,Middle management occupations in retail and wholesale trade and customer services,42.2
2016,Alberta,"Middle management occupations in trades, transportation, production and utilities",16.1
2016,British Columbia,Management occupations,35.1
2016,British Columbia,Legislative and senior management occupations,32.8
2016,British Columbia,Specialized middle management occupations,47.1
2016,British Columbia,Middle management occupations in retail and wholesale trade and customer services,39.8
2016,British Columbia,"Middle management occupations in trades, transportation, production and utilities",18.3
2017,Canada,Legislative and senior management occupations,29.6
2017,Canada,Specialized middle management occupations,47.7
2017,Canada,Middle management occupations in retail and wholesale trade and customer services,38.7
2017,Canada,"Middle management occupations in trades, transportation, production and utilities",17.6
2017,Newfoundland and Labrador,Management occupations,37.8
2017,Newfoundland and Labrador,Legislative and senior management occupations,
2017,Newfoundland and Labrador,Specialized middle management occupations,48.0
2017,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,45.8
2017,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",16.3
2017,Prince Edward Island,Management occupations,35.9
2017,Prince Edward Island,Legislative and senior management occupations,
2017,Prince Edward Island,Specialized middle management occupations,50.0
2017,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,50.0
2017,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",13.6
2017,Nova Scotia,Management occupations,37.5
2017,Nova Scotia,Legislative and senior management occupations,
2017,Nova Scotia,Specialized middle management occupations,59.7
2017,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,35.4
2017,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",12.2
2017,New Brunswick,Management occupations,36.2
2017,New Brunswick,Legislative and senior management occupations,
2017,New Brunswick,Specialized middle management occupations,47.1
2017,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,43.9
2017,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",12.2
2017,Quebec,Management occupations,33.2
2017,Quebec,Legislative and senior management occupations,38.5
2017,Quebec,Specialized middle management occupations,42.2
2017,Quebec,Middle management occupations in retail and wholesale trade and customer services,37.9
2017,Quebec,"Middle management occupations in trades, transportation, production and utilities",17.6
2017,Ontario,Management occupations,35.7
2017,Ontario,Legislative and senior management occupations,25.8
2017,Ontario,Specialized middle management occupations,48.0
2017,Ontario,Middle management occupations in retail and wholesale trade and customer services,37.7
2017,Ontario,"Middle management occupations in trades, transportation, production and utilities",17.4
2017,Manitoba,Management occupations,30.0
2017,Manitoba,Legislative and senior management occupations,
2017,Manitoba,Specialized middle management occupations,45.2
2017,Manitoba,Middle management occupations in retail and wholesale trade and customer services,40.6
2017,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.1
2017,Saskatchewan,Management occupations,31.7
2017,Saskatchewan,Legislative and senior management occupations,57.9
2017,Saskatchewan,Specialized middle management occupations,56.2
2017,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,39.0
2017,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.8
2017,Alberta,Management occupations,32.3
2017,Alberta,Legislative and senior management occupations,
2017,Alberta,Specialized middle management occupations,46.3
2017,Alberta,Middle management occupations in retail and wholesale trade and customer services,37.9
2017,Alberta,"Middle management occupations in trades, transportation, production and utilities",18.4
2017,British Columbia,Management occupations,37.2
2017,British Columbia,Legislative and senior management occupations,
2017,British Columbia,Specialized middle management occupations,56.0
2017,British Columbia,Middle management occupations in retail and wholesale trade and customer services,42.2
