Year,Location,Value
2000,Services (ISIC4 G to T),134.68717
2000,Industries,9.92788
2001,Services (ISIC4 G to T),138.40489
2001,Industries,9.65375
2002,Services (ISIC4 G to T),142.36395
2002,Industries,9.53213
2003,Services (ISIC4 G to T),143.59313
2003,Industries,9.73338
2004,Services (ISIC4 G to T),145.25503
2004,Industries,10.20415
2005,Services (ISIC4 G to T),147.7949
2005,Industries,10.7786
2006,Services (ISIC4 G to T),151.70909
2006,,30.15922
2006,Agriculture (ISIC4 A01 A0210 A0322),0.40161
2006,Industries,10.87959
2007,Industries,10.94082
2007,,30.76853
2007,Services (ISIC4 G to T),154.49528
2007,Agriculture (ISIC4 A01 A0210 A0322),0.37574
2008,Industries,11.6843
2008,,32.15801
2008,Services (ISIC4 G to T),160.06569
2008,Agriculture (ISIC4 A01 A0210 A0322),0.39573
2009,Industries,9.8465
2009,,32.18012
2009,Services (ISIC4 G to T),170.60966
2009,Agriculture (ISIC4 A01 A0210 A0322),0.31129
2010,Industries,10.96779
2010,Services (ISIC4 G to T),179.24493
2010,Agriculture (ISIC4 A01 A0210 A0322),0.18085
2010,,31.77838
2011,Services (ISIC4 G to T),189.35407
2011,Industries,11.926
2011,Agriculture (ISIC4 A01 A0210 A0322),0.23029
2011,,33.7433
2012,Industries,12.14039
2012,,35.23702
2012,Agriculture (ISIC4 A01 A0210 A0322),0.21685
2012,Services (ISIC4 G to T),195.41939
2013,Services (ISIC4 G to T),201.82847
2013,Industries,12.66501
2013,Agriculture (ISIC4 A01 A0210 A0322),0.27607
2013,,37.08752
2014,Industries,13.60399
2014,Services (ISIC4 G to T),207.00341
2014,Agriculture (ISIC4 A01 A0210 A0322),0.24963
2014,,39.34017
2015,Services (ISIC4 G to T),215.38843
2015,Industries,12.40343
2015,,40.48743
2015,Agriculture (ISIC4 A01 A0210 A0322),0.37074
2016,Industries,11.88387
2016,,40.19733
2016,Agriculture (ISIC4 A01 A0210 A0322),0.32487
2016,Services (ISIC4 G to T),223.51562
2017,Industries,13.23619
2017,,40.9348
2017,Agriculture (ISIC4 A01 A0210 A0322),0.26848
2017,Services (ISIC4 G to T),228.9073
2018,Industries,13.10607
2018,,41.87129
2018,Services (ISIC4 G to T),237.01185
2018,Agriculture (ISIC4 A01 A0210 A0322),0.28429
2019,Agriculture (ISIC4 A01 A0210 A0322),0.28713
2019,Services (ISIC4 G to T),242.18202
2019,,42.66273
2019,Industries,13.31156
