Year,Geography,Type of electricity generation,GeoCode,Value
2015,,,,81.4444166666667
2016,,,,78.76575
2017,,,,79.9753333333333
2018,,,,79.5969166666667
2019,,,,79.3599166666667
2020,,,,82.3359166666667
2021,,,,81.64925
2022,,,,82.0549166666667
2023,,,,80.7290833333333
2015,Alberta,Hydraulic turbine,48,3.24066666666667
2015,Alberta,Total renewable and non-greenhouse gas emitting sources,48,7.06583333333333
2015,Alberta,Wind power turbine,48,3.82508333333333
2015,British Columbia,Hydraulic turbine,59,90.90725
2015,British Columbia,Total renewable and non-greenhouse gas emitting sources,59,90.90725
2015,Canada,Hydraulic turbine,,63.248
2015,Canada,Nuclear steam turbine,,16.6659166666667
2015,Canada,Solar,,0.0455
2015,Canada,Tidal power turbine,,0.00225
2015,Canada,Wind power turbine,,1.48258333333333
2015,Manitoba,Hydraulic turbine,46,98.4231666666667
2015,Manitoba,Total renewable and non-greenhouse gas emitting sources,46,99.5596666666667
2015,Manitoba,Wind power turbine,46,1.1365
2015,New Brunswick,Hydraulic turbine,13,20.7531666666667
2015,New Brunswick,Nuclear steam turbine,13,30.69575
2015,New Brunswick,Total renewable and non-greenhouse gas emitting sources,13,56.2025833333333
2015,New Brunswick,Wind power turbine,13,4.75341666666667
2015,Newfoundland and Labrador,Hydraulic turbine,10,95.7331666666667
2015,Newfoundland and Labrador,Total renewable and non-greenhouse gas emitting sources,10,95.9671666666667
2015,Newfoundland and Labrador,Wind power turbine,10,0.233916666666667
2015,Northwest Territories,Hydraulic turbine,61,24.9920833333333
2015,Northwest Territories,Total renewable and non-greenhouse gas emitting sources,61,28.3309166666667
2015,Northwest Territories,Wind power turbine,61,3.33866666666667
2015,Nova Scotia,Hydraulic turbine,12,10.3128333333333
2015,Nova Scotia,Tidal power turbine,12,0.1475
2015,Nova Scotia,Total renewable and non-greenhouse gas emitting sources,12,15.50875
2015,Nova Scotia,Wind power turbine,12,5.04841666666667
2015,Nunavut,Hydraulic turbine,62,
2015,Nunavut,Total renewable and non-greenhouse gas emitting sources,62,
2015,Ontario,Hydraulic turbine,35,25.1178333333333
2015,Ontario,Nuclear steam turbine,35,65.6689166666667
2015,Ontario,Solar,35,0.18475
2015,Ontario,Total renewable and non-greenhouse gas emitting sources,35,93.0966666666667
2015,Ontario,Wind power turbine,35,2.12541666666667
2015,Prince Edward Island,Total renewable and non-greenhouse gas emitting sources,11,98.5833333333333
2015,Prince Edward Island,Wind power turbine,11,98.5833333333333
2015,Quebec,Hydraulic turbine,24,98.9861666666667
2015,Quebec,Nuclear steam turbine,24,
2015,Quebec,Total renewable and non-greenhouse gas emitting sources,24,
2015,Quebec,Wind power turbine,24,0.389083333333333
2015,Saskatchewan,Hydraulic turbine,47,14.4148333333333
2015,Saskatchewan,Total renewable and non-greenhouse gas emitting sources,47,17.7575
2015,Saskatchewan,Wind power turbine,47,3.34241666666667
2015,Yukon,Hydraulic turbine,60,94.1393333333333
