Year,Geography,Level of government,Type of heritage,Value
2015,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5e-05
2015,Canada,Consolidated Canadian general government,Cultural services,0.00015
2015,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001
2015,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",6e-05
2015,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2015,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2015,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2015,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2015,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
