Year,Sex,Unwanted or inappropriate behaviour,Value
2018,Women,Sexual assault,2.9
2018,Men,Sexual assault,1.0
2018,Women,Physical assault,2.0
2018,Men,Physical assault,3.6
2018,Women,Unwanted or inappropriate behaviour in public,31.8
2018,Men,Unwanted or inappropriate behaviour in public,13.4
2018,Women,Unwanted or inappropriate behaviour online,18.4
2018,Men,Unwanted or inappropriate behaviour online,13.6
2018,Women,Unwanted or inappropriate behaviour in the workplace,28.8
2018,Men,Unwanted or inappropriate behaviour in the workplace,16.8
