Year,Sex,Value
2010,,9.73
2011,,16.37
2012,,16.35
2013,,16.26
2014,,15.16
2015,,14.03
2016,,14.41
2017,,14.04
2018,,13.57
2019,,13.45
2020,,8.19
2010,Female,8.32
2011,Female,14.24
2012,Female,14.12
2013,Female,14.25
2014,Female,13.84
2015,Female,11.83
2016,Female,12.19
2017,Female,11.86
2018,Female,11.86
2019,Female,11.63
2020,Female,6.97
2010,Male,11.12
2011,Male,18.47
2012,Male,18.59
2013,Male,18.29
2014,Male,16.44
2015,Male,16.17
2016,Male,16.62
2017,Male,16.2
2018,Male,15.2
2019,Male,15.05
2020,Male,9.25
