Year,Geography,Sex,Value
2015,,,12.3
2016,,,11.0
2017,,,12.2
2018,,,12.3
2019,,,12.1
2020,,,10.1
2015,Canada,Males,18.4
2015,Canada,Females,6.3
2015,Newfoundland and Labrador,Both sexes,11.9
2015,Newfoundland and Labrador,Males,19.2
2015,Newfoundland and Labrador,Females,4.8
2015,Prince Edward Island,Both sexes,5.4
2015,Prince Edward Island,Males,7.0
2015,Prince Edward Island,Females,4.0
2015,Nova Scotia,Both sexes,13.4
2015,Nova Scotia,Males,22.5
2015,Nova Scotia,Females,4.6
2015,New Brunswick,Both sexes,16.7
2015,New Brunswick,Males,26.6
2015,New Brunswick,Females,7.1
2015,Quebec,Both sexes,13.9
2015,Quebec,Males,20.7
2015,Quebec,Females,7.2
2015,Ontario,Both sexes,9.8
2015,Ontario,Males,14.3
2015,Ontario,Females,5.4
2015,Manitoba,Both sexes,13.8
2015,Manitoba,Males,18.5
2015,Manitoba,Females,9.2
2015,Saskatchewan,Both sexes,14.1
2015,Saskatchewan,Males,22.6
2015,Saskatchewan,Females,5.3
2015,Alberta,Both sexes,15.8
2015,Alberta,Males,22.9
2015,Alberta,Females,8.4
2015,British Columbia,Both sexes,11.6
2015,British Columbia,Males,18.1
2015,British Columbia,Females,5.2
2015,Yukon,Both sexes,13.4
2015,Yukon,Males,26.4
2015,Yukon,Females,0.0
2015,Northwest Territories,Both sexes,20.4
2015,Northwest Territories,Males,39.9
2015,Northwest Territories,Females,0.0
2015,Nunavut,Both sexes,79.2
2015,Nunavut,Males,132.0
2015,Nunavut,Females,22.6
2016,Canada,Males,16.3
2016,Canada,Females,5.7
2016,Newfoundland and Labrador,Both sexes,13.8
2016,Newfoundland and Labrador,Males,21.0
2016,Newfoundland and Labrador,Females,6.7
2016,Prince Edward Island,Both sexes,6.7
2016,Prince Edward Island,Males,12.3
2016,Prince Edward Island,Females,1.3
2016,Nova Scotia,Both sexes,13.2
2016,Nova Scotia,Males,20.9
2016,Nova Scotia,Females,5.8
2016,New Brunswick,Both sexes,15.8
2016,New Brunswick,Males,25.4
2016,New Brunswick,Females,6.5
2016,Quebec,Both sexes,9.4
2016,Quebec,Males,14.4
2016,Quebec,Females,4.4
2016,Ontario,Both sexes,9.8
2016,Ontario,Males,14.4
2016,Ontario,Females,5.3
2016,Manitoba,Both sexes,15.2
2016,Manitoba,Males,21.5
2016,Manitoba,Females,8.9
2016,Saskatchewan,Both sexes,15.7
2016,Saskatchewan,Males,21.9
2016,Saskatchewan,Females,9.3
2016,Alberta,Both sexes,13.9
2016,Alberta,Males,20.3
2016,Alberta,Females,7.4
2016,British Columbia,Both sexes,10.1
2016,British Columbia,Males,15.2
2016,British Columbia,Females,5.1
2016,Yukon,Both sexes,18.4
2016,Yukon,Males,25.8
2016,Yukon,Females,10.7
2016,Northwest Territories,Both sexes,26.9
2016,Northwest Territories,Males,35.0
2016,Northwest Territories,Females,18.4
2016,Nunavut,Both sexes,67.2
2016,Nunavut,Males,93.5
2016,Nunavut,Females,39.1
2017,Canada,Males,18.4
2017,Canada,Females,6.2
2017,Newfoundland and Labrador,Both sexes,17.4
2017,Newfoundland and Labrador,Males,26.7
2017,Newfoundland and Labrador,Females,8.3
2017,Prince Edward Island,Both sexes,11.3
2017,Prince Edward Island,Males,16.3
2017,Prince Edward Island,Females,6.5
2017,Nova Scotia,Both sexes,14.5
2017,Nova Scotia,Males,22.2
2017,Nova Scotia,Females,7.2
2017,New Brunswick,Both sexes,13.0
2017,New Brunswick,Males,21.4
2017,New Brunswick,Females,4.9
2017,Quebec,Both sexes,12.8
2017,Quebec,Males,19.0
2017,Quebec,Females,6.6
2017,Ontario,Both sexes,10.5
2017,Ontario,Males,15.6
2017,Ontario,Females,5.6
2017,Manitoba,Both sexes,15.5
2017,Manitoba,Males,20.6
2017,Manitoba,Females,10.5
2017,Saskatchewan,Both sexes,16.3
2017,Saskatchewan,Males,24.2
