Year,Geography,Type of provider,Value
2015,Alberta,Audiologists,4.0
2015,Alberta,Chiropractors,25.0
2015,Alberta,Dental assistants,119.6
2015,Alberta,Dental hygienists,74.0
2015,Alberta,Dentists,58.6
2015,Alberta,Dietitians,29.9
2015,Alberta,Environmental public health professionals,9.0
2015,Alberta,Family medicine,125.8
2015,Alberta,Genetic counsellors,0.7
2015,Alberta,Health information management professionals,
2015,Alberta,Health information management professionals,0.0
2015,Alberta,Licensed practical nurses,297.5
2015,Alberta,Medical laboratory technologists,61.0
2015,Alberta,Medical physicists,1.1
2015,Alberta,Medical radiation technologists,52.9
2015,Alberta,Midwives,2.3
2015,Alberta,Nurse practitioners,10.0
2015,Alberta,Occupational therapists,49.1
2015,Alberta,Opticians,
2015,Alberta,Opticians,0.0
2015,Alberta,Optometrists,17.9
2015,Alberta,Paramedics,199.5
2015,Alberta,Pharmacists,116.3
2015,Alberta,Pharmacy technicians,32.5
2015,Alberta,Physician assistants,0.6
2015,Alberta,Physicians,241.7
2015,Alberta,Physiotherapists,63.4
2015,Alberta,Psychologists,
2015,Alberta,Psychologists,0.0
2015,Alberta,Registered nurses,838.8
2015,Alberta,Registered psychiatric nurses,31.6
2015,Alberta,Regulated nurses,1177.9
2015,Alberta,Respiratory therapists,40.5
2015,Alberta,Social workers,164.8
2015,Alberta,Specialists,116.0
2015,Alberta,Speech language pathologists,32.6
2015,Alberta,Speech language pathologists,32.6
2016,Alberta,Audiologists,4.1
2016,Alberta,Chiropractors,24.8
2016,Alberta,Dental assistants,131.7
2016,Alberta,Dental hygienists,74.6
2016,Alberta,Dentists,58.7
2016,Alberta,Dietitians,30.4
2016,Alberta,Environmental public health professionals,9.3
2016,Alberta,Family medicine,126.8
2016,Alberta,Genetic counsellors,0.7
2016,Alberta,Health information management professionals,17.1
2016,Alberta,Licensed practical nurses,316.0
2016,Alberta,Medical laboratory technologists,60.4
2016,Alberta,Medical physicists,1.1
2016,Alberta,Medical radiation technologists,57.6
2016,Alberta,Midwives,2.6
2016,Alberta,Nurse practitioners,10.7
2016,Alberta,Occupational therapists,49.4
2016,Alberta,Opticians,25.1
2016,Alberta,Optometrists,18.3
2016,Alberta,Paramedics,197.7
2016,Alberta,Pharmacists,122.0
2016,Alberta,Pharmacy technicians,33.0
2016,Alberta,Physician assistants,0.7
2016,Alberta,Physicians,245.3
2016,Alberta,Physiotherapists,66.0
2016,Alberta,Psychologists,80.9
2016,Alberta,Registered nurses,833.9
2016,Alberta,Registered psychiatric nurses,31.3
2016,Alberta,Regulated nurses,1192.0
2016,Alberta,Respiratory therapists,39.9
2016,Alberta,Social workers,171.8
2016,Alberta,Specialists,118.5
2016,Alberta,Speech language pathologists,33.5
2016,Alberta,Speech language pathologists,33.5
2017,Alberta,Audiologists,4.0
2017,Alberta,Chiropractors,25.0
2017,Alberta,Dental assistants,139.1
2017,Alberta,Dental hygienists,74.9
2017,Alberta,Dentists,59.4
2017,Alberta,Dietitians,30.4
2017,Alberta,Environmental public health professionals,9.4
2017,Alberta,Family medicine,130.2
2017,Alberta,Genetic counsellors,0.7
2017,Alberta,Health information management professionals,17.7
2017,Alberta,Licensed practical nurses,329.1
2017,Alberta,Medical laboratory technologists,60.5
2017,Alberta,Medical physicists,1.0
2017,Alberta,Medical radiation technologists,54.3
2017,Alberta,Midwives,2.8
2017,Alberta,Nurse practitioners,11.3
2017,Alberta,Occupational therapists,50.6
2017,Alberta,Opticians,24.5
2017,Alberta,Opticians,24.5
2017,Alberta,Optometrists,18.7
2017,Alberta,Paramedics,195.4
2017,Alberta,Pharmacists,124.4
2017,Alberta,Pharmacy technicians,34.3
2017,Alberta,Physician assistants,0.9
2017,Alberta,Physicians,251.8
2017,Alberta,Physiotherapists,67.1
2017,Alberta,Psychologists,84.6
2017,Alberta,Psychotherapists/counselling therapists,
2017,Alberta,Psychotherapists/counselling therapists,0.0
2017,Alberta,Registered nurses,835.8
2017,Alberta,Registered psychiatric nurses,31.1
2017,Alberta,Regulated nurses,1207.3
2017,Alberta,Respiratory therapists,43.0
2017,Alberta,Social workers,165.9
2017,Alberta,Specialists,121.6
2017,Alberta,Speech language pathologists,33.7
2017,Alberta,Speech language pathologists,33.7
2018,Alberta,Audiologists,4.3
2018,Alberta,Chiropractors,25.4
2018,Alberta,Dental assistants,137.4
2018,Alberta,Dental hygienists,75.6
2018,Alberta,Dentists,62.7
2018,Alberta,Dietitians,30.6
2018,Alberta,Environmental public health professionals,9.0
2018,Alberta,Family medicine,127.7
2018,Alberta,Genetic counsellors,0.6
2018,Alberta,Health information management professionals,
2018,Alberta,Health information management professionals,0.0
2018,Alberta,Licensed practical nurses,344.4
2018,Alberta,Medical laboratory technologists,59.7
2018,Alberta,Medical physicists,1.1
2018,Alberta,Medical radiation technologists,56.2
2018,Alberta,Midwives,3.0
2018,Alberta,Nurse practitioners,12.3
2018,Alberta,Occupational therapists,51.4
2018,Alberta,Opticians,
2018,Alberta,Opticians,0.0
2018,Alberta,Optometrists,18.6
2018,Alberta,Paramedics,191.8
2018,Alberta,Pharmacists,126.4
2018,Alberta,Pharmacy technicians,35.2
2018,Alberta,Physician assistants,0.9
2018,Alberta,Physicians,251.4
2018,Alberta,Physiotherapists,69.1
2018,Alberta,Psychologists,86.7
2018,Alberta,Psychotherapists/counselling therapists,
2018,Alberta,Psychotherapists/counselling therapists,0.0
2018,Alberta,Registered nurses,830.4
2018,Alberta,Registered psychiatric nurses,31.0
2018,Alberta,Regulated nurses,1218.1
2018,Alberta,Respiratory therapists,43.1
2018,Alberta,Social workers,170.1
2018,Alberta,Specialists,123.7
2018,Alberta,Speech language pathologists,34.5
2018,Alberta,Speech language pathologists,34.5
2019,Alberta,Audiologists,4.3
2019,Alberta,Chiropractors,27.0
2019,Alberta,Chiropractors,27.0
2019,Alberta,Dental assistants,138.5
2019,Alberta,Dental hygienists,75.2
2019,Alberta,Dentists,61.4
2019,Alberta,Dietitians,30.8
2019,Alberta,Environmental public health professionals,8.8
2019,Alberta,Family medicine,128.3
2019,Alberta,Genetic counsellors,0.6
2019,Alberta,Health information management professionals,17.8
2019,Alberta,Licensed practical nurses,355.6
2019,Alberta,Medical laboratory technologists,59.1
2019,Alberta,Medical physicists,1.1
2019,Alberta,Medical radiation technologists,55.2
2019,Alberta,Midwives,3.2
2019,Alberta,Nurse practitioners,13.1
2019,Alberta,Occupational therapists,51.8
2019,Alberta,Opticians,7.1
2019,Alberta,Optometrists,19.0
2019,Alberta,Paramedics,204.1
2019,Alberta,Pharmacists,127.5
