Year,Series,Units,Sex,Value
2015,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Total,92.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Total,92.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Male,94.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Female,91.0
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%) (%),Total,95.6
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%) (%),Male,95.3
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%) (%),Female,96.3
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%) (%),Total,86.3
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%) (%),Female,90.4
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage (%) (%),Male,82.1
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Total,83.7
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Female,83.9
2018,Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage (%) (%),Male,83.6
