Year,Geography,Age group,Type of institution attended,GeoCode,Value
2014/2015,Canada,15 to 19 years,Total participation rate,,83.0
2014/2015,Canada,15 to 19 years,Elementary/High School,,58.0
2014/2015,Canada,15 to 19 years,College,,12.0
2014/2015,Canada,15 to 19 years,University,,12.0
2014/2015,Canada,20 to 24 years,Total participation rate,,40.0
2014/2015,Canada,20 to 24 years,Elementary/High School,,2.0
2014/2015,Canada,20 to 24 years,College,,12.0
2014/2015,Canada,20 to 24 years,University,,26.0
2014/2015,Canada,25 to 29 years,Total participation rate,,12.0
2014/2015,Canada,25 to 29 years,Elementary/High School,,1.0
2014/2015,Canada,25 to 29 years,College,,4.0
2014/2015,Canada,25 to 29 years,University,,8.0
2014/2015,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,85.0
2014/2015,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,62.0
2014/2015,Newfoundland and Labrador,15 to 19 years,College,10,7.0
2014/2015,Newfoundland and Labrador,15 to 19 years,University,10,15.0
2014/2015,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,36.0
2014/2015,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2014/2015,Newfoundland and Labrador,20 to 24 years,College,10,11.0
2014/2015,Newfoundland and Labrador,20 to 24 years,University,10,24.0
2014/2015,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,14.0
2014/2015,Newfoundland and Labrador,25 to 29 years,Elementary/High School,10,
2014/2015,Newfoundland and Labrador,25 to 29 years,College,10,3.0
2014/2015,Newfoundland and Labrador,25 to 29 years,University,10,11.0
2014/2015,Prince Edward Island,15 to 19 years,Total participation rate,11,83.0
2014/2015,Prince Edward Island,15 to 19 years,Elementary/High School,11,63.0
2014/2015,Prince Edward Island,15 to 19 years,College,11,6.0
2014/2015,Prince Edward Island,15 to 19 years,University,11,14.0
2014/2015,Prince Edward Island,20 to 24 years,Total participation rate,11,38.0
2014/2015,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2014/2015,Prince Edward Island,20 to 24 years,College,11,10.0
2014/2015,Prince Edward Island,20 to 24 years,University,11,28.0
2014/2015,Prince Edward Island,25 to 29 years,Total participation rate,11,11.0
2014/2015,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2014/2015,Prince Edward Island,25 to 29 years,College,11,4.0
2014/2015,Prince Edward Island,25 to 29 years,University,11,7.0
2014/2015,Nova Scotia,15 to 19 years,Total participation rate,12,83.0
2014/2015,Nova Scotia,15 to 19 years,Elementary/High School,12,64.0
2014/2015,Nova Scotia,15 to 19 years,College,12,7.0
2014/2015,Nova Scotia,15 to 19 years,University,12,11.0
2014/2015,Nova Scotia,20 to 24 years,Total participation rate,12,34.0
2014/2015,Nova Scotia,20 to 24 years,Elementary/High School,12,
2014/2015,Nova Scotia,20 to 24 years,College,12,9.0
2014/2015,Nova Scotia,20 to 24 years,University,12,24.0
2014/2015,Nova Scotia,25 to 29 years,Total participation rate,12,12.0
2014/2015,Nova Scotia,25 to 29 years,Elementary/High School,12,
2014/2015,Nova Scotia,25 to 29 years,College,12,3.0
2014/2015,Nova Scotia,25 to 29 years,University,12,9.0
2014/2015,New Brunswick,15 to 19 years,Total participation rate,13,84.0
2014/2015,New Brunswick,15 to 19 years,Elementary/High School,13,64.0
2014/2015,New Brunswick,15 to 19 years,College,13,7.0
2014/2015,New Brunswick,15 to 19 years,University,13,13.0
2014/2015,New Brunswick,20 to 24 years,Total participation rate,13,29.0
2014/2015,New Brunswick,20 to 24 years,Elementary/High School,13,
2014/2015,New Brunswick,20 to 24 years,College,13,6.0
2014/2015,New Brunswick,20 to 24 years,University,13,22.0
2014/2015,New Brunswick,25 to 29 years,Total participation rate,13,9.0
2014/2015,New Brunswick,25 to 29 years,Elementary/High School,13,
2014/2015,New Brunswick,25 to 29 years,College,13,3.0
2014/2015,New Brunswick,25 to 29 years,University,13,6.0
2014/2015,Quebec,15 to 19 years,Total participation rate,24,83.0
2014/2015,Quebec,15 to 19 years,Elementary/High School,24,49.0
2014/2015,Quebec,15 to 19 years,College,24,31.0
2014/2015,Quebec,15 to 19 years,University,24,3.0
2014/2015,Quebec,20 to 24 years,Total participation rate,24,47.0
2014/2015,Quebec,20 to 24 years,Elementary/High School,24,4.0
2014/2015,Quebec,20 to 24 years,College,24,14.0
2014/2015,Quebec,20 to 24 years,University,24,30.0
2014/2015,Quebec,25 to 29 years,Total participation rate,24,18.0
2014/2015,Quebec,25 to 29 years,Elementary/High School,24,1.0
2014/2015,Quebec,25 to 29 years,College,24,3.0
2014/2015,Quebec,25 to 29 years,University,24,13.0
2014/2015,Ontario,15 to 19 years,Total participation rate,35,87.0
2014/2015,Ontario,15 to 19 years,Elementary/High School,35,62.0
2014/2015,Ontario,15 to 19 years,College,35,8.0
2014/2015,Ontario,15 to 19 years,University,35,17.0
2014/2015,Ontario,20 to 24 years,Total participation rate,35,43.0
2014/2015,Ontario,20 to 24 years,Elementary/High School,35,1.0
2014/2015,Ontario,20 to 24 years,College,35,15.0
2014/2015,Ontario,20 to 24 years,University,35,27.0
2014/2015,Ontario,25 to 29 years,Total participation rate,35,11.0
2014/2015,Ontario,25 to 29 years,Elementary/High School,35,1.0
2014/2015,Ontario,25 to 29 years,College,35,5.0
2014/2015,Ontario,25 to 29 years,University,35,6.0
2014/2015,Manitoba,15 to 19 years,Total participation rate,46,78.0
2014/2015,Manitoba,15 to 19 years,Elementary/High School,46,61.0
2014/2015,Manitoba,15 to 19 years,College,46,3.0
2014/2015,Manitoba,15 to 19 years,University,46,13.0
2014/2015,Manitoba,20 to 24 years,Total participation rate,46,31.0
2014/2015,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2014/2015,Manitoba,20 to 24 years,College,46,6.0
2014/2015,Manitoba,20 to 24 years,University,46,24.0
2014/2015,Manitoba,25 to 29 years,Total participation rate,46,12.0
2014/2015,Manitoba,25 to 29 years,Elementary/High School,46,1.0
2014/2015,Manitoba,25 to 29 years,College,46,3.0
2014/2015,Manitoba,25 to 29 years,University,46,8.0
2014/2015,Saskatchewan,15 to 19 years,Total participation rate,47,78.0
2014/2015,Saskatchewan,15 to 19 years,Elementary/High School,47,63.0
2014/2015,Saskatchewan,15 to 19 years,College,47,5.0
2014/2015,Saskatchewan,15 to 19 years,University,47,10.0
2014/2015,Saskatchewan,20 to 24 years,Total participation rate,47,31.0
2014/2015,Saskatchewan,20 to 24 years,Elementary/High School,47,1.0
2014/2015,Saskatchewan,20 to 24 years,College,47,6.0
2014/2015,Saskatchewan,20 to 24 years,University,47,24.0
2014/2015,Saskatchewan,25 to 29 years,Total participation rate,47,10.0
2014/2015,Saskatchewan,25 to 29 years,Elementary/High School,47,
2014/2015,Saskatchewan,25 to 29 years,College,47,2.0
2014/2015,Saskatchewan,25 to 29 years,University,47,8.0
2014/2015,Alberta,15 to 19 years,Total participation rate,48,78.0
2014/2015,Alberta,15 to 19 years,Elementary/High School,48,61.0
2014/2015,Alberta,15 to 19 years,College,48,5.0
2014/2015,Alberta,15 to 19 years,University,48,12.0
2014/2015,Alberta,20 to 24 years,Total participation rate,48,28.0
2014/2015,Alberta,20 to 24 years,Elementary/High School,48,1.0
2014/2015,Alberta,20 to 24 years,College,48,7.0
2014/2015,Alberta,20 to 24 years,University,48,20.0
2014/2015,Alberta,25 to 29 years,Total participation rate,48,9.0
2014/2015,Alberta,25 to 29 years,Elementary/High School,48,
2014/2015,Alberta,25 to 29 years,College,48,3.0
2014/2015,Alberta,25 to 29 years,University,48,6.0
2014/2015,British Columbia,15 to 19 years,Total participation rate,59,76.0
2014/2015,British Columbia,15 to 19 years,Elementary/High School,59,55.0
2014/2015,British Columbia,15 to 19 years,College,59,8.0
2014/2015,British Columbia,15 to 19 years,University,59,13.0
2014/2015,British Columbia,20 to 24 years,Total participation rate,59,39.0
2014/2015,British Columbia,20 to 24 years,Elementary/High School,59,1.0
2014/2015,British Columbia,20 to 24 years,College,59,11.0
2014/2015,British Columbia,20 to 24 years,University,59,27.0
2014/2015,British Columbia,25 to 29 years,Total participation rate,59,12.0
2014/2015,British Columbia,25 to 29 years,Elementary/High School,59,
2014/2015,British Columbia,25 to 29 years,College,59,4.0
2014/2015,British Columbia,25 to 29 years,University,59,7.0
2014/2015,Yukon,15 to 19 years,Total participation rate,60,78.0
2014/2015,Yukon,15 to 19 years,Elementary/High School,60,64.0
2014/2015,Yukon,15 to 19 years,College,60,
2014/2015,Yukon,15 to 19 years,University,60,
2014/2015,Yukon,20 to 24 years,Total participation rate,60,28.0
2014/2015,Yukon,20 to 24 years,Elementary/High School,60,
2014/2015,Yukon,20 to 24 years,College,60,13.0
2014/2015,Yukon,20 to 24 years,University,60,15.0
2014/2015,Yukon,25 to 29 years,Total participation rate,60,
2014/2015,Yukon,25 to 29 years,Elementary/High School,60,
2014/2015,Yukon,25 to 29 years,College,60,
2014/2015,Yukon,25 to 29 years,University,60,
2014/2015,Northwest Territories,15 to 19 years,Total participation rate,61,74.0
2014/2015,Northwest Territories,15 to 19 years,Elementary/High School,61,62.0
2014/2015,Northwest Territories,15 to 19 years,College,61,
2014/2015,Northwest Territories,15 to 19 years,University,61,8.0
2014/2015,Northwest Territories,20 to 24 years,Total participation rate,61,32.0
2014/2015,Northwest Territories,20 to 24 years,Elementary/High School,61,
2014/2015,Northwest Territories,20 to 24 years,College,61,13.0
2014/2015,Northwest Territories,20 to 24 years,University,61,15.0
2014/2015,Northwest Territories,25 to 29 years,Total participation rate,61,8.0
2014/2015,Northwest Territories,25 to 29 years,Elementary/High School,61,
2014/2015,Northwest Territories,25 to 29 years,College,61,
2014/2015,Northwest Territories,25 to 29 years,University,61,
2014/2015,Nunavut,15 to 19 years,Total participation rate,62,63.0
2014/2015,Nunavut,15 to 19 years,Elementary/High School,62,61.0
2014/2015,Nunavut,15 to 19 years,College,62,
2014/2015,Nunavut,15 to 19 years,University,62,
2014/2015,Nunavut,20 to 24 years,Total participation rate,62,12.0
2014/2015,Nunavut,20 to 24 years,Elementary/High School,62,
2014/2015,Nunavut,20 to 24 years,College,62,
2014/2015,Nunavut,20 to 24 years,University,62,
2014/2015,Nunavut,25 to 29 years,Total participation rate,62,
2014/2015,Nunavut,25 to 29 years,Elementary/High School,62,
2014/2015,Nunavut,25 to 29 years,College,62,
2014/2015,Nunavut,25 to 29 years,University,62,
2015/2016,Canada,15 to 19 years,Total participation rate,,83.0
2015/2016,Canada,15 to 19 years,Elementary/High School,,60.0
2015/2016,Canada,15 to 19 years,College,,12.0
2015/2016,Canada,15 to 19 years,University,,12.0
2015/2016,Canada,20 to 24 years,Total participation rate,,40.0
2015/2016,Canada,20 to 24 years,Elementary/High School,,2.0
2015/2016,Canada,20 to 24 years,College,,12.0
2015/2016,Canada,20 to 24 years,University,,27.0
2015/2016,Canada,25 to 29 years,Total participation rate,,12.0
2015/2016,Canada,25 to 29 years,Elementary/High School,,1.0
2015/2016,Canada,25 to 29 years,College,,4.0
2015/2016,Canada,25 to 29 years,University,,8.0
