Year,Geography,Land use category,Water quality category,Value
2016-2018,Canada,Agriculture,Excellent,0
2016-2018,Canada,Agriculture,Good,6
2016-2018,Canada,Forestry,Excellent,1
2016-2018,Canada,Forestry,Good,6
2016-2018,Canada,Mining,Excellent,0
2016-2018,Canada,Mining,Good,2
2016-2018,Canada,Populated,Excellent,0
2016-2018,Canada,Populated,Good,0
2016-2018,Canada,Mixed pressures,Excellent,2
2016-2018,Canada,Mixed pressures,Good,13
2016-2018,Canada,Undeveloped,Excellent,3
2016-2018,Canada,Undeveloped,Good,7
2016-2018,Canada,Total,Excellent,5
2016-2018,Canada,Total,Good,35
2016-2018,Atlantic Ocean,Total,Excellent,4
2016-2018,Atlantic Ocean,Total,Good,53
2016-2018,Great Lakes and St. Lawrence River,Total,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Total,Good,29
2016-2018,Hudson Bay,Total,Excellent,11
2016-2018,Hudson Bay,Total,Good,31
2016-2018,Mackenzie River,Total,Excellent,15
2016-2018,Mackenzie River,Total,Good,35
2016-2018,Pacific Ocean,Total,Excellent,8
2016-2018,Pacific Ocean,Total,Good,28
2016-2018,Atlantic Ocean,Agriculture,Excellent,0
2016-2018,Atlantic Ocean,Agriculture,Good,7
2016-2018,Atlantic Ocean,Forestry,Excellent,2
2016-2018,Atlantic Ocean,Forestry,Good,18
2016-2018,Atlantic Ocean,Mining,Excellent,0
2016-2018,Atlantic Ocean,Mining,Good,2
2016-2018,Atlantic Ocean,Populated,Excellent,0
2016-2018,Atlantic Ocean,Populated,Good,0
2016-2018,Atlantic Ocean,Mixed pressures,Excellent,0
2016-2018,Atlantic Ocean,Mixed pressures,Good,9
2016-2018,Atlantic Ocean,Undeveloped,Excellent,2
2016-2018,Atlantic Ocean,Undeveloped,Good,18
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Good,5
2016-2018,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Forestry,Good,2
2016-2018,Great Lakes and St. Lawrence River,Mining,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Mining,Good,5
2016-2018,Great Lakes and St. Lawrence River,Populated,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Populated,Good,0
2016-2018,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Mixed pressures,Good,10
2016-2018,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2016-2018,Great Lakes and St. Lawrence River,Undeveloped,Good,7
2016-2018,Hudson Bay,Agriculture,Excellent,0
2016-2018,Hudson Bay,Agriculture,Good,11
2016-2018,Hudson Bay,Forestry,Excellent,0
2016-2018,Hudson Bay,Forestry,Good,0
2016-2018,Hudson Bay,Mining,Excellent,0
2016-2018,Hudson Bay,Mining,Good,0
2016-2018,Hudson Bay,Populated,Excellent,0
2016-2018,Hudson Bay,Populated,Good,0
2016-2018,Hudson Bay,Mixed pressures,Excellent,7
