Year,Economic activity,Units,Value
2000,Total,Percentage (%),4.31
2001,Total,Percentage (%),4.31
2002,Total,Percentage (%),4.3
2003,Total,Percentage (%),4.29
2004,Total,Percentage (%),4.28
2005,Total,Percentage (%),4.27
2006,Total,Percentage (%),4.26
2007,Total,Percentage (%),4.26
2008,Total,Percentage (%),4.13
2009,Total,Percentage (%),4.0
2010,Total,Percentage (%),3.83
2011,Total,Percentage (%),3.67
2012,Total,Percentage (%),3.75
2013,Total,Percentage (%),3.84
2014,Total,Percentage (%),3.76
2015,Total,Percentage (%),3.68
2016,Total,Percentage (%),3.71
2017,Total,Percentage (%),3.73
2018,Total,Percentage (%),3.73
2019,Total,Percentage (%),3.73
2020,Total,Percentage (%),3.73
2000,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.37
2001,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.35
2002,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.33
2003,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.31
2004,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.29
2005,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.28
2006,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.26
2007,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.24
2008,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.23
2009,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.22
2010,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.45
2011,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.4
2012,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.38
2013,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.36
2014,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.32
2015,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.28
2016,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.34
2017,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.4
2018,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.4
2019,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.4
2020,Agriculture (ISIC4 A01 A0210 A0322),Percentage (%),0.4
2000,Industries,Percentage (%),3.36
2001,Industries,Percentage (%),3.37
2002,Industries,Percentage (%),3.37
2003,Industries,Percentage (%),3.38
2004,Industries,Percentage (%),3.39
2005,Industries,Percentage (%),3.4
2006,Industries,Percentage (%),3.4
2007,Industries,Percentage (%),3.41
2008,Industries,Percentage (%),3.31
2009,Industries,Percentage (%),3.2
2010,Industries,Percentage (%),2.88
2011,Industries,Percentage (%),2.79
2012,Industries,Percentage (%),2.87
2013,Industries,Percentage (%),2.96
2014,Industries,Percentage (%),2.92
2015,Industries,Percentage (%),2.88
2016,Industries,Percentage (%),2.86
2017,Industries,Percentage (%),2.83
2018,Industries,Percentage (%),2.83
2019,Industries,Percentage (%),2.83
2020,Industries,Percentage (%),2.83
2000,Services (ISIC4 G to T),Percentage (%),0.59
2001,Services (ISIC4 G to T),Percentage (%),0.59
2002,Services (ISIC4 G to T),Percentage (%),0.59
2003,Services (ISIC4 G to T),Percentage (%),0.6
2004,Services (ISIC4 G to T),Percentage (%),0.6
2005,Services (ISIC4 G to T),Percentage (%),0.6
2006,Services (ISIC4 G to T),Percentage (%),0.6
2007,Services (ISIC4 G to T),Percentage (%),0.61
2008,Services (ISIC4 G to T),Percentage (%),0.59
2009,Services (ISIC4 G to T),Percentage (%),0.57
2010,Services (ISIC4 G to T),Percentage (%),0.5
2011,Services (ISIC4 G to T),Percentage (%),0.48
2012,Services (ISIC4 G to T),Percentage (%),0.5
2013,Services (ISIC4 G to T),Percentage (%),0.52
2014,Services (ISIC4 G to T),Percentage (%),0.52
2015,Services (ISIC4 G to T),Percentage (%),0.53
2016,Services (ISIC4 G to T),Percentage (%),0.51
2017,Services (ISIC4 G to T),Percentage (%),0.5
2018,Services (ISIC4 G to T),Percentage (%),0.5
2019,Services (ISIC4 G to T),Percentage (%),0.5
2020,Services (ISIC4 G to T),Percentage (%),0.5
