Year,Series,Units,Value
2020,Number of (shared) basins showing high surface-water extent changes,Percentage,4.0
2015,Number of (shared) basins showing high surface-water extent changes,Percentage,1.0
2020,Number of (shared) basins showing high surface-water extent changes,Number,57.0
2015,Number of (shared) basins showing high surface-water extent changes,Number,18.0
2016/18 (baseline),Wetlands area,Square kilometers,806938.0
2016/18 (baseline),Wetlands area,Percentage,8.17
2017/19,"Lake water quality, turbidity",Number,17.0
2017/19,"Lake water quality, turbidity",Percentage,11.0
2017/19,"Lake water quality, trophic state",Number,61.0
2017/19,"Lake water quality, trophic state",Percentage,39.0
2017/19,"Lake water quality, trophic state and turbidity",Number,13.0
2017/19,"Lake water quality, trophic state and turbidity",Percentage,8.0
2017/19,"Lake water quality, no or improving condition",Number,66.0
2017/19,"Lake water quality, no or improving condition",Percentage,42.0
