Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2015,,,,,,,25.88
2016,,,,,,,26.41
2017,,,,,,,26.82
2018,,,,,,,27.57
2019,,,,,,,28.32
2020,,,,,,,30.03
2021,,,,,,,30.67
2022,,,,,,,31.96
2023,,,,,,,33.55
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,,14.99
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,,28.01
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Both sexes,55 years and over,,27.63
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Males,15 years and over,,27.82
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Males,15 to 24 years,,15.7
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Males,25 to 54 years,,30.08
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Males,55 years and over,,30.08
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Females,15 years and over,,23.88
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Females,15 to 24 years,,14.27
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Females,25 to 54 years,,25.89
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",Females,55 years and over,,25.05
2015,Canada,Both full- and part-time employees,Management occupations,Both sexes,15 years and over,,42.99
2015,Canada,Both full- and part-time employees,Management occupations,Both sexes,15 to 24 years,,18.58
2015,Canada,Both full- and part-time employees,Management occupations,Both sexes,25 to 54 years,,42.9
2015,Canada,Both full- and part-time employees,Management occupations,Both sexes,55 years and over,,46.39
2015,Canada,Both full- and part-time employees,Management occupations,Males,15 years and over,,45.65
2015,Canada,Both full- and part-time employees,Management occupations,Males,15 to 24 years,,19.48
2015,Canada,Both full- and part-time employees,Management occupations,Males,25 to 54 years,,45.55
2015,Canada,Both full- and part-time employees,Management occupations,Males,55 years and over,,48.51
2015,Canada,Both full- and part-time employees,Management occupations,Females,15 years and over,,39.02
2015,Canada,Both full- and part-time employees,Management occupations,Females,15 to 24 years,,17.72
2015,Canada,Both full- and part-time employees,Management occupations,Females,25 to 54 years,,39.04
