Year,Geography,Sex,Age group,GeoCode,Value
2015,,,,,6.9
2016,,,,,7.0
2017,,,,,6.4
2018,,,,,5.8
2019,,,,,5.7
2020,,,,,9.7
2021,,,,,7.5
2022,,,,,5.3
2023,,,,,5.4
2015,Canada,Both sexes,15 to 24 years,,12.8
2015,Canada,Both sexes,25 years and over,,5.9
2015,Canada,Both sexes,25 to 44 years,,6.2
2015,Canada,Both sexes,45 to 64 years,,5.8
2015,Canada,Both sexes,45 years and over,,5.7
2015,Canada,Both sexes,25 to 54 years,,5.9
2015,Canada,Both sexes,55 years and over,,6.0
2015,Canada,Both sexes,15 to 64 years,,7.0
2015,Canada,Both sexes,15 to 19 years,,17.5
2015,Canada,Both sexes,20 to 24 years,,10.1
2015,Canada,Both sexes,25 to 29 years,,7.5
2015,Canada,Both sexes,30 to 34 years,,5.8
2015,Canada,Both sexes,35 to 39 years,,5.8
2015,Canada,Both sexes,40 to 44 years,,5.6
2015,Canada,Both sexes,45 to 49 years,,5.2
2015,Canada,Both sexes,50 to 54 years,,5.6
2015,Canada,Both sexes,55 to 59 years,,6.1
2015,Canada,Both sexes,60 to 64 years,,6.7
2015,Canada,Both sexes,65 years and over,,4.5
2015,Canada,Both sexes,65 to 69 years,,5.4
2015,Canada,Both sexes,70 years and over,,2.8
2015,Canada,Males,15 years and over,,7.5
2015,Canada,Males,15 to 24 years,,14.6
2015,Canada,Males,25 years and over,,6.3
2015,Canada,Males,25 to 44 years,,6.5
2015,Canada,Males,45 to 64 years,,6.3
2015,Canada,Males,45 years and over,,6.1
2015,Canada,Males,25 to 54 years,,6.3
2015,Canada,Males,55 years and over,,6.4
2015,Canada,Males,15 to 64 years,,7.6
2015,Canada,Males,15 to 19 years,,19.2
2015,Canada,Males,20 to 24 years,,12.2
2015,Canada,Males,25 to 29 years,,8.3
2015,Canada,Males,30 to 34 years,,6.0
2015,Canada,Males,35 to 39 years,,5.9
2015,Canada,Males,40 to 44 years,,5.7
2015,Canada,Males,45 to 49 years,,5.5
2015,Canada,Males,50 to 54 years,,6.2
2015,Canada,Males,55 to 59 years,,6.4
2015,Canada,Males,60 to 64 years,,7.5
2015,Canada,Males,65 years and over,,4.8
2015,Canada,Males,65 to 69 years,,6.0
2015,Canada,Males,70 years and over,,2.6
2015,Canada,Females,15 years and over,,6.3
2015,Canada,Females,15 to 24 years,,10.8
2015,Canada,Females,25 years and over,,5.5
2015,Canada,Females,25 to 44 years,,5.8
2015,Canada,Females,45 to 64 years,,5.3
2015,Canada,Females,45 years and over,,5.2
2015,Canada,Females,25 to 54 years,,5.5
2015,Canada,Females,55 years and over,,5.4
2015,Canada,Females,15 to 64 years,,6.4
2015,Canada,Females,15 to 19 years,,15.8
2015,Canada,Females,20 to 24 years,,7.8
2015,Canada,Females,25 to 29 years,,6.6
2015,Canada,Females,30 to 34 years,,5.5
2015,Canada,Females,35 to 39 years,,5.6
2015,Canada,Females,40 to 44 years,,5.5
2015,Canada,Females,45 to 49 years,,4.9
2015,Canada,Females,50 to 54 years,,5.1
2015,Canada,Females,55 to 59 years,,5.7
2015,Canada,Females,60 to 64 years,,5.7
2015,Canada,Females,65 years and over,,4.1
2015,Canada,Females,65 to 69 years,,4.4
2015,Canada,Females,70 years and over,,3.4
2015,Newfoundland and Labrador,Both sexes,15 years and over,10,13.2
2015,Newfoundland and Labrador,Both sexes,15 to 24 years,10,16.6
2015,Newfoundland and Labrador,Both sexes,25 years and over,10,12.6
2015,Newfoundland and Labrador,Both sexes,25 to 44 years,10,10.6
2015,Newfoundland and Labrador,Both sexes,45 to 64 years,10,14.2
2015,Newfoundland and Labrador,Both sexes,45 years and over,10,14.2
2015,Newfoundland and Labrador,Both sexes,25 to 54 years,10,11.3
2015,Newfoundland and Labrador,Both sexes,55 years and over,10,16.5
2015,Newfoundland and Labrador,Both sexes,15 to 64 years,10,13.1
