Year,Units,Geography,GeoCode,Value
2015,Proportion of GDP,,,114.90543502671
2015,Proportion of GDP,Newfoundland and Labrador,10,87.8334456532204
2015,Proportion of GDP,Prince Edward Island,11,116.689388961892
2015,Proportion of GDP,Nova Scotia,12,73.6788285300115
2015,Proportion of GDP,New Brunswick,13,84.001375063522
2015,Proportion of GDP,Quebec,24,150.082021425605
2015,Proportion of GDP,Ontario,35,134.624237443042
2015,Proportion of GDP,Manitoba,46,115.183537297363
2015,Proportion of GDP,Saskatchewan,47,55.7793674698795
2015,Proportion of GDP,Alberta,48,86.5086960815173
2015,Proportion of GDP,British Columbia,59,74.929042522649
2015,Proportion of GDP,Yukon,60,6.6896813353566
2015,Proportion of GDP,Northwest Territories,61,
2015,Proportion of GDP,Nunavut,62,
2016,Proportion of GDP,,,112.030269040031
2016,Proportion of GDP,Newfoundland and Labrador,10,52.949490783337
2016,Proportion of GDP,Prince Edward Island,11,110.093318695107
2016,Proportion of GDP,Nova Scotia,12,83.4921031755571
2016,Proportion of GDP,New Brunswick,13,101.197378386251
2016,Proportion of GDP,Quebec,24,148.606324754211
2016,Proportion of GDP,Ontario,35,129.611797169519
2016,Proportion of GDP,Manitoba,46,102.832387292342
2016,Proportion of GDP,Saskatchewan,47,61.9977937485138
2016,Proportion of GDP,Alberta,48,81.3557020513056
2016,Proportion of GDP,British Columbia,59,73.4217049622602
2016,Proportion of GDP,Yukon,60,6.70670491215489
2016,Proportion of GDP,Northwest Territories,61,
2016,Proportion of GDP,Nunavut,62,
2017,Proportion of GDP,,,112.86501146152
2017,Proportion of GDP,Newfoundland and Labrador,10,53.9179875333927
2017,Proportion of GDP,Prince Edward Island,11,110.255522827688
2017,Proportion of GDP,Nova Scotia,12,74.2163965461514
2017,Proportion of GDP,New Brunswick,13,111.729066651781
2017,Proportion of GDP,Quebec,24,151.072153990933
2017,Proportion of GDP,Ontario,35,130.509846917315
2017,Proportion of GDP,Manitoba,46,102.473830399102
2017,Proportion of GDP,Saskatchewan,47,59.1764830482076
2017,Proportion of GDP,Alberta,48,81.3465490465183
2017,Proportion of GDP,British Columbia,59,77.1425661481563
2017,Proportion of GDP,Yukon,60,6.57891085674644
2017,Proportion of GDP,Northwest Territories,61,3.25416036308623
2017,Proportion of GDP,Nunavut,62,3.53843615968327
2018,Proportion of GDP,,,115.386516823778
2018,Proportion of GDP,Newfoundland and Labrador,10,51.6459568070774
2018,Proportion of GDP,Prince Edward Island,11,116.917227552628
2018,Proportion of GDP,Nova Scotia,12,64.3586629526462
2018,Proportion of GDP,New Brunswick,13,119.887211367673
2018,Proportion of GDP,Quebec,24,150.116544799118
2018,Proportion of GDP,Ontario,35,132.495867941551
2018,Proportion of GDP,Manitoba,46,106.950771411438
2018,Proportion of GDP,Saskatchewan,47,63.6424968926284
2018,Proportion of GDP,Alberta,48,91.307768084123
2018,Proportion of GDP,British Columbia,59,78.1194013288858
2018,Proportion of GDP,Yukon,60,6.66956231206148
2018,Proportion of GDP,Northwest Territories,61,2.60683942225998
2018,Proportion of GDP,Nunavut,62,4.15025252525253
2019,Proportion of GDP,,,111.119583949086
2019,Proportion of GDP,Newfoundland and Labrador,10,51.9166922582987
2019,Proportion of GDP,Prince Edward Island,11,113.935483870968
2019,Proportion of GDP,Nova Scotia,12,62.0579280010249
2019,Proportion of GDP,New Brunswick,13,108.114748929238
2019,Proportion of GDP,Quebec,24,152.030101170903
2019,Proportion of GDP,Ontario,35,126.289884732161
2019,Proportion of GDP,Manitoba,46,108.407069922011
2019,Proportion of GDP,Saskatchewan,47,65.4461604004686
2019,Proportion of GDP,Alberta,48,84.2323443459591
2019,Proportion of GDP,British Columbia,59,68.9794655542359
2019,Proportion of GDP,Yukon,60,6.4944733420026
2019,Proportion of GDP,Northwest Territories,61,3.0186295503212
2019,Proportion of GDP,Nunavut,62,4.26060267857143
2020,Proportion of GDP,,,106.8217172524
2020,Proportion of GDP,Newfoundland and Labrador,10,47.4255668951826
2020,Proportion of GDP,Prince Edward Island,11,124.737344288365
2020,Proportion of GDP,Nova Scotia,12,61.662687140935
2020,Proportion of GDP,New Brunswick,13,113.173187341434
2020,Proportion of GDP,Quebec,24,138.002048698722
2020,Proportion of GDP,Ontario,35,119.077385778927
2020,Proportion of GDP,Manitoba,46,107.676295240035
2020,Proportion of GDP,Saskatchewan,47,64.4522754061395
2020,Proportion of GDP,Alberta,48,87.2256961999717
2020,Proportion of GDP,British Columbia,59,71.9360997175408
2020,Proportion of GDP,Yukon,60,6.92502314100586
2020,Proportion of GDP,Northwest Territories,61,
2020,Proportion of GDP,Nunavut,62,
2021,Proportion of GDP,,,117.157081276911
2021,Proportion of GDP,Newfoundland and Labrador,10,53.2935639518021
2021,Proportion of GDP,Prince Edward Island,11,109.823461226382
2021,Proportion of GDP,Nova Scotia,12,66.4277900818488
2021,Proportion of GDP,New Brunswick,13,130.904172925272
2021,Proportion of GDP,Quebec,24,149.797672735923
2021,Proportion of GDP,Ontario,35,131.525415827416
2021,Proportion of GDP,Manitoba,46,109.934138337049
2021,Proportion of GDP,Saskatchewan,47,82.9224707014663
2021,Proportion of GDP,Alberta,48,93.2909935217872
2021,Proportion of GDP,British Columbia,59,84.1831242619753
2021,Proportion of GDP,Yukon,60,8.7286717062635
2021,Proportion of GDP,Northwest Territories,61,4.06262585581957
2021,Proportion of GDP,Nunavut,62,5.03969270166453
2015,Per capita,,,6.40599048682533
2015,Per capita,Newfoundland and Labrador,10,5.18252205477195
2015,Per capita,Prince Edward Island,11,4.91473302616468
2015,Per capita,Nova Scotia,12,3.20205226769173
2015,Per capita,New Brunswick,13,3.70313978403937
2015,Per capita,Quebec,24,7.11680871290888
2015,Per capita,Ontario,35,7.46860003685676
2015,Per capita,Manitoba,46,5.87787439822879
2015,Per capita,Saskatchewan,47,3.96488032207906
2015,Per capita,Alberta,48,6.764036645272
2015,Per capita,British Columbia,59,3.93414542537164
2015,Per capita,Yukon,60,0.467869461395596
2015,Per capita,Northwest Territories,61,
2015,Per capita,Nunavut,62,
2016,Per capita,,,6.28425518756331
2016,Per capita,Newfoundland and Labrador,10,3.15231023788027
2016,Per capita,Prince Edward Island,11,4.77621130986807
2016,Per capita,Nova Scotia,12,3.68394658407493
2016,Per capita,New Brunswick,13,4.55113119800878
2016,Per capita,Quebec,24,7.21221986518275
2016,Per capita,Ontario,35,7.38648567384825
2016,Per capita,Manitoba,46,5.26612025059754
2016,Per capita,Saskatchewan,47,4.13108688743797
2016,Per capita,Alberta,48,5.89983129415897
2016,Per capita,British Columbia,59,3.98762545660339
2016,Per capita,Yukon,60,0.485251770565803
2016,Per capita,Northwest Territories,61,
2016,Per capita,Nunavut,62,
2017,Per capita,,,6.61107978615872
2017,Per capita,Newfoundland and Labrador,10,3.43871356121829
2017,Per capita,Prince Edward Island,11,4.97756013882794
2017,Per capita,Nova Scotia,12,3.38341430658409
2017,Per capita,New Brunswick,13,5.22165320282121
2017,Per capita,Quebec,24,7.61858624777962
2017,Per capita,Ontario,35,7.65222487820129
2017,Per capita,Manitoba,46,5.47265637291259
2017,Per capita,Saskatchewan,47,4.12866122881153
2017,Per capita,Alberta,48,6.37284643135036
2017,Per capita,British Columbia,59,4.41759761463096
2017,Per capita,Yukon,60,0.478843726331734
2017,Per capita,Northwest Territories,61,0.335412443474193
2017,Per capita,Nunavut,62,0.285649603153465
2018,Per capita,,,6.95983181907803
2018,Per capita,Newfoundland and Labrador,10,3.39900677372707
2018,Per capita,Prince Edward Island,11,5.32238780672247
2018,Per capita,Nova Scotia,12,3.01343585077723
2018,Per capita,New Brunswick,13,5.78315359839855
2018,Per capita,Quebec,24,7.8559927719717
2018,Per capita,Ontario,35,7.96440276847011
2018,Per capita,Manitoba,46,5.8005965294846
2018,Per capita,Saskatchewan,47,4.58361702475626
2018,Per capita,Alberta,48,7.35343759996743
2018,Per capita,British Columbia,59,4.63670218158913
2018,Per capita,Yukon,60,0.492657765492732
2018,Per capita,Northwest Territories,61,0.272848536048554
2018,Per capita,Nunavut,62,0.344702828828356
2019,Per capita,,,6.8370677767722
2019,Per capita,Newfoundland and Labrador,10,3.55274756556311
2019,Per capita,Prince Edward Island,11,5.38486459703085
2019,Per capita,Nova Scotia,12,2.99555987520652
2019,Per capita,New Brunswick,13,5.29452419678612
2019,Per capita,Quebec,24,8.22085173804663
2019,Per capita,Ontario,35,7.75575627164835
