Year,Value
1970,0.0
1971,1.45
1972,2.66
1973,3.52
1974,3.98
1975,4.53
1976,4.85
1977,5.03
1978,5.59
1979,6.34
1980,7.25
1981,8.03
1982,8.01
1983,8.11
1984,8.97
1985,9.7
1986,10.02
1987,8.85
1988,8.06
1989,7.23
1990,6.96
1991,6.58
1992,6.3
1993,6.5
1994,7.07
1995,7.15
1996,6.95
1997,6.52
1998,5.27
1999,4.17
2000,3.31
2001,2.77
2002,2.07
2003,1.59
2004,1.07
2005,1.17
2006,1.32
2007,1.17
2008,0.43
2009,-0.14
2010,-0.76
2011,-1.28
2012,-2.59
2013,-4.32
2014,-5.86
2015,-6.61
2016,-6.44
2017,-7.48
2018,-7.43
