Year,Value,Series,GeoCode
2013,66.0313712261764,Wastewater discharge from manufacturing industries,
2015,63.1190926275992,Wastewater discharge from manufacturing industries,
2017,63.0986619982493,Wastewater discharge from manufacturing industries,
2020,64.3180083377371,Wastewater discharge from manufacturing industries,
2013,98.1,Wastewater discharged from municipal sewage systems,
2014,98.07,Wastewater discharged from municipal sewage systems,
2015,98.11,Wastewater discharged from municipal sewage systems,
2016,98.13,Wastewater discharged from municipal sewage systems,
2017,98.08,Wastewater discharged from municipal sewage systems,
2018,98.1,Wastewater discharged from municipal sewage systems,
2019,98.2,Wastewater discharged from municipal sewage systems,
2020,98.23,Wastewater discharged from municipal sewage systems,
