Year,Value,Units,GeoCode
2015,114.90543502671,Proportion of GDP,
2016,112.030269040031,Proportion of GDP,
2017,112.86501146152,Proportion of GDP,
2018,115.386516823778,Proportion of GDP,
2019,111.119583949086,Proportion of GDP,
2020,106.8217172524,Proportion of GDP,
2021,117.157081276911,Proportion of GDP,
2015,6.40599048682533,Per capita,
2016,6.28425518756331,Per capita,
2017,6.61107978615872,Per capita,
2018,6.95983181907803,Per capita,
2019,6.8370677767722,Per capita,
2020,6.21045828568223,Per capita,
2021,7.69151074210355,Per capita,
