Year,Value,Units,Series
2016,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2017,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2018,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2019,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2020,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2021,99.5,Percentage,Evolved High-Speed Packet Access (HSPA+)
2016,98.6,Percentage,Long-Term Evolution (LTE)
2017,99.1,Percentage,Long-Term Evolution (LTE)
2018,99.3,Percentage,Long-Term Evolution (LTE)
2019,99.5,Percentage,Long-Term Evolution (LTE)
2020,99.5,Percentage,Long-Term Evolution (LTE)
2021,99.4,Percentage,Long-Term Evolution (LTE)
2016,83.4,Percentage,Long-Term Evolution - A (LTE-A)
2017,92.4,Percentage,Long-Term Evolution - A (LTE-A)
2018,94.9,Percentage,Long-Term Evolution - A (LTE-A)
2019,95.9,Percentage,Long-Term Evolution - A (LTE-A)
2020,97.5,Percentage,Long-Term Evolution - A (LTE-A)
2021,97.8,Percentage,Long-Term Evolution - A (LTE-A)
2016,0.0,Percentage,5G
2017,0.0,Percentage,5G
2018,0.0,Percentage,5G
2019,0.0,Percentage,5G
2020,53.3,Percentage,5G
2021,87.8,Percentage,5G
