Value,Disaggregation combinations using this value,Number of indicators
1 to 14 years,21,1
1 to 4 years,21,1
10 to 14 years,21,1
15 to 19 years,21,1
15 to 24,21,1
20 to 24 years,21,1
25 to 29 years,21,1
25 to 34 years,21,1
30 to 34 years,21,1
35 to 39 years,21,1
35 to 44 years,21,1
40 to 44 years,21,1
45 to 49 years,21,1
45 to 54 years,21,1
5 to 9 years,21,1
50 to 54 years,21,1
55 to 59 years,21,1
55 to 64 years,21,1
60 to 64 years,21,1
65 to 69 years,21,1
65 to 74 years,21,1
70 to 74 years,21,1
75 to 79 years,21,1
75 to 84 years,21,1
80 to 84 years,21,1
85 and over,21,1
85 to 89 years,21,1
90 years and over,21,1
All ages,21,1
