Value,Disaggregation combinations using this value,Number of indicators
15 to 19 years,635,4
15 to 24 years,1697,5
15 to 64 years,33,1
15 years and over,1120,2
16 to 24 years,168,1
18 to 24 years,504,1
20 to 24 years,635,4
25 to 29 years,593,3
25 to 34 years,396,3
25 to 44 years,44,2
25 to 54 years,1182,3
25 years and over,33,1
30 to 34 years,257,3
35 to 39 years,33,1
35 to 44 years,396,3
40 to 44 years,33,1
45 to 49 years,33,1
45 to 54 years,396,3
45 to 64 years,44,2
45 years and over,33,1
50 to 54 years,33,1
55 to 59 years,33,1
55 to 64 years,228,2
55 to 65 years,168,1
55 years and over,1122,2
60 to 64 years,33,1
65 to 69 years,33,1
65 years and over,104,3
70 years and over,33,1
Internet users aged 15 to 24 years,56,1
Internet users aged 25 to 44 years,56,1
Internet users aged 45 to 64 years,56,1
Internet users aged 65 years and over,56,1
"Total, 15 to 29 years",503,1
"Total, 15 years and over",70,2
"Total, 25 to 64 years",168,1
Total age groups,168,1
"Total, Internet users aged 15 years and over",56,1
