Value,Disaggregation combinations using this value,Number of indicators
1 to 4 years,9,1
10 to 14 years,9,1
15 to 19 years,9,1
20 to 24 years,9,1
25 to 29 years,9,1
30 to 34 years,9,1
35 to 39 years,9,1
40 to 44 years,9,1
45 to 49 years,9,1
5 to 9 years,9,1
50 to 54 years,9,1
55 to 59 years,9,1
60 to 64 years,9,1
65 to 69 years,9,1
70 to 74 years,9,1
75 to 79 years,9,1
80 to 84 years,9,1
85 to 89 years,9,1
90 years and over,9,1
All ages,8,1
Neonatal 0 to 27 days,3,1
Neonatal 1 day,3,1
Neonatal 14 to 20 days,3,1
Neonatal 2 days,3,1
Neonatal 21 to 27 days,3,1
Neonatal 3 days,3,1
Neonatal 4 days,3,1
Neonatal 5 days,3,1
Neonatal 6 days,3,1
Neonatal 7 to 13 days,3,1
Neonatal under 1 day,3,1
Not stated,9,1
Post-neonatal 1 month,3,1
Post-neonatal 1 to 11 months,3,1
Post-neonatal 10 months,3,1
Post-neonatal 11 months,3,1
Post-neonatal 2 months,3,1
Post-neonatal 3 months,3,1
Post-neonatal 4 months,3,1
Post-neonatal 5 months,3,1
Post-neonatal 6 months,3,1
Post-neonatal 7 months,3,1
Post-neonatal 8 months,3,1
Post-neonatal 9 months,3,1
Total infant deaths under 1 year,2,1
Under 1 year,9,1
