Value,Disaggregation combinations using this value,Number of indicators
Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,3,1
Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,3,1
Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,3,1
Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,3,1
Proportion of population covered by 5G,1,1
Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),1,1
Proportion of population covered by Long-Term Evolution - A (LTE-A),1,1
Proportion of population covered by Long-Term Evolution (LTE),1,1
Proportion of population using basic drinking water services,1,1
Proportion of population using basic sanitation services,1,1
Proportion of population with access to electricity,1,1
Proportion of population with primary reliance on clean fuels and technology,1,1
Proportion of population within 500 metres of a public transit stop,13,1
Proportion of the rural population who live within 2 km of an all-season road,14,1
