Value,Disaggregation combinations using this value,Number of indicators
data.All persons,63,1
data.Elderly females not in an economic family,52,1
data.Elderly males not in an economic family,52,1
data.Elderly persons not in an economic family,52,1
data.Non-elderly females not in an economic family,52,1
data.Non-elderly males not in an economic family,52,1
data.Non-elderly persons not in an economic family,52,1
data.Persons in couple families with children,52,1
data.Persons in couple families with other relatives,52,1
data.Persons in couples,52,1
data.Persons in economic families,52,1
data.Persons in elderly couples,52,1
data.Persons in elderly families,52,1
data.Persons in female lone-parent families,52,1
data.Persons in lone-parent families,52,1
data.Persons in male lone-parent families,52,1
data.Persons in non-elderly families,52,1
data.Persons in other elderly families,52,1
data.Persons in other non-elderly families,52,1
data.Persons not in an economic family,52,1
