Value,Disaggregation combinations using this value,Number of indicators
Aerospace product and parts manufacturing,14,1
"Agricultural, construction and mining machinery manufacturing",14,1
Alumina and aluminum production and processing,14,1
Animal food manufacturing,14,1
Apparel knitting mills,14,1
Apparel manufacturing,14,1
Architectural and structural metals manufacturing,14,1
Audio and video equipment manufacturing,14,1
Bakeries and tortilla manufacturing,14,1
Basic chemical manufacturing,14,1
Basic metals,6,1
Beverage and tobacco product manufacturing,14,1
Beverage manufacturing,14,1
Beverages,6,1
"Boiler, tank and shipping container manufacturing",14,1
Cannabis product manufacturing,14,1
Cement and concrete product manufacturing,14,1
Chemical manufacturing,14,1
Clay product and refractory manufacturing,14,1
Clothing accessories and other clothing manufacturing,14,1
"Coating, engraving, cold and heat treating and allied activities",14,1
Coke and refined petroleum products,6,1
Commercial and service industry machinery manufacturing,14,1
Communications equipment manufacturing,14,1
Computer and electronic product manufacturing,14,1
Computer and peripheral equipment manufacturing,14,1
"Computer, electronic and optical products",6,1
Converted paper product manufacturing,14,1
Cut and sew clothing manufacturing,14,1
Cutlery and hand tool manufacturing,14,1
Dairy product manufacturing,14,1
Durable goods,14,1
Electric lighting equipment manufacturing,14,1
"Electrical equipment, appliance and component manufacturing",14,1
Electrical equipment manufacturing,14,1
Electrical equipment,4,1
"Engine, turbine and power transmission equipment manufacturing",14,1
Fabric mills,14,1
Fabricated metal product manufacturing,14,1
"Fabricated metal products, except machinery",6,1
"Fibre, yarn and thread mills",14,1
Food manufacturing,14,1
Food products,6,1
Footwear manufacturing,14,1
Forging and stamping,14,1
Foundries,14,1
Fruit and vegetable preserving and specialty food manufacturing,14,1
Furniture and related product manufacturing,14,1
Furniture,6,1
Glass and glass product manufacturing,14,1
Grain and oilseed milling,14,1
Hardware manufacturing,14,1
Household and institutional furniture and kitchen cabinet manufacturing,14,1
Household appliance manufacturing,14,1
Industrial machinery manufacturing,14,1
Iron and steel mills and ferro-alloy manufacturing,14,1
Leather and allied product manufacturing,14,1
Leather and hide tanning and finishing,14,1
Lime and gypsum product manufacturing,14,1
"Machine shops, turned product, and screw, nut and bolt manufacturing",14,1
Machinery and equipment n.e.c.,6,1
Machinery manufacturing,14,1
Manufacturing and reproducing magnetic and optical media,14,1
Meat product manufacturing,14,1
Medical equipment and supplies manufacturing,14,1
Metalworking machinery manufacturing,14,1
Miscellaneous manufacturing,14,1
Motor vehicle body and trailer manufacturing,14,1
Motor vehicle manufacturing,14,1
Motor vehicle parts manufacturing,14,1
"Motor vehicles, trailers and semi-trailers",6,1
"Navigational, measuring, medical and control instruments manufacturing",14,1
Non-durable goods,14,1
Non-ferrous metal (except aluminum) production and processing,14,1
Non-metallic mineral product manufacturing,14,1
Office furniture (including fixtures) manufacturing,14,1
Other chemical product manufacturing,14,1
Other electrical equipment and component manufacturing,14,1
Other fabricated metal product manufacturing,14,1
Other food manufacturing,14,1
Other furniture-related product manufacturing,14,1
Other general-purpose machinery manufacturing,14,1
Other leather and allied product manufacturing,14,1
Other manufacturing,6,1
Other miscellaneous manufacturing,14,1
Other non-metallic mineral product manufacturing,14,1
Other non-metallic mineral products,4,1
Other textile product mills,14,1
Other transportation equipment manufacturing,14,1
Other wood product manufacturing,14,1
"Paint, coating and adhesive manufacturing",14,1
Paper and paper products,4,1
Paper manufacturing,14,1
"Pesticide, fertilizer and other agricultural chemical manufacturing",14,1
Petroleum and coal product manufacturing,14,1
Pharmaceutical and medicine manufacturing,14,1
Plastic product manufacturing,14,1
Plastics and rubber products manufacturing,14,1
Primary metal manufacturing,14,1
Printing and related support activities,14,1
Printing and reproduction of recorded media,6,1
"Pulp, paper and paperboard mills",14,1
Railroad rolling stock manufacturing,14,1
"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",14,1
Rubber and plastics products,6,1
Rubber product manufacturing,14,1
Sawmills and wood preservation,14,1
Seafood product preparation and packaging,14,1
Semiconductor and other electronic component manufacturing,14,1
Ship and boat building,14,1
"Soap, cleaning compound and toilet preparation manufacturing",14,1
Spring and wire product manufacturing,14,1
Steel product manufacturing from purchased steel,14,1
Sugar and confectionery product manufacturing,14,1
Textile and fabric finishing and fabric coating,14,1
Textile furnishings mills,14,1
Textile mills,14,1
Textile product mills,14,1
Textiles,4,1
Tobacco manufacturing,14,1
Total manufacturing,18,2
Transportation equipment manufacturing,14,1
"Veneer, plywood and engineered wood product manufacturing",14,1
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",14,1
Wood product manufacturing,14,1
"Wood products, excluding furniture",6,1
