Value,Disaggregation combinations using this value,Number of indicators
Audiologists,14,1
Chiropractors,14,1
Dental assistants,14,1
Dental hygienists,14,1
Dentists,14,1
Dietitians,14,1
Environmental public health professionals,14,1
Family medicine,14,1
Genetic counsellors,14,1
Health information management professionals,14,1
Licensed practical nurses,14,1
Medical laboratory technologists,14,1
Medical physicists,14,1
Medical radiation technologists,14,1
Midwives,14,1
Nurse practitioners,14,1
Occupational therapists,14,1
Opticians,14,1
Optometrists,14,1
Paramedics,14,1
Pharmacists,14,1
Pharmacy technicians,14,1
Physician assistants,14,1
Physicians,14,1
Physiotherapists,14,1
Psychologists,14,1
Psychotherapists/counselling therapists,12,1
Registered nurses,14,1
Registered psychiatric nurses,13,1
Regulated nurses,14,1
Respiratory therapists,14,1
Social workers,14,1
Specialists,14,1
Speech language pathologists,14,1
